train_id,name,direction
MU_SKY_G_1,ミュースカイ1,down
MU_SKY_G_3,ミュースカイ3,down
MU_SKY_G_5,ミュースカイ5,down
MU_SKY_G_7,ミュースカイ7,down
MU_SKY_G_2,ミュースカイ2,up
MU_SKY_G_4,ミュースカイ4,up
MU_SKY_G_6,ミュースカイ6,up
MU_SKY_G_8,ミュースカイ8,up
MU_SKY_G_10,ミュースカイ10,up
MU_SKY_G_12,ミュースカイ12,up
MU_SKY_N_1,ミュースカイ1,down
MU_SKY_N_3,ミュースカイ3,down
MU_SKY_N_5,ミュースカイ5,down
MU_SKY_N_7,ミュースカイ7,down
MU_SKY_N_9,ミュースカイ9,down
MU_SKY_N_11,ミュースカイ11,down
MU_SKY_N_13,ミュースカイ13,down
MU_SKY_N_15,ミュースカイ15,down
MU_SKY_N_17,ミュースカイ17,down
MU_SKY_N_19,ミュースカイ19,down
MU_SKY_N_21,ミュースカイ21,down
MU_SKY_N_23,ミュースカイ23,down
MU_SKY_N_25,ミュースカイ25,down
MU_SKY_N_27,ミュースカイ27,down
MU_SKY_N_29,ミュースカイ29,down
MU_SKY_N_31,ミュースカイ31,down
MU_SKY_N_33,ミュースカイ33,down
MU_SKY_N_35,ミュースカイ35,down
MU_SKY_N_37,ミュースカイ37,down
MU_SKY_N_39,ミュースカイ39,down
MU_SKY_N_41,ミュースカイ41,down
MU_SKY_N_43,ミュースカイ43,down
MU_SKY_N_45,ミュースカイ45,down
MU_SKY_N_47,ミュースカイ47,down
MU_SKY_N_49,ミュースカイ49,down
MU_SKY_N_51,ミュースカイ51,down
MU_SKY_N_53,ミュースカイ53,down
MU_SKY_N_55,ミュースカイ55,down
MU_SKY_N_57,ミュースカイ57,down
MU_SKY_N_59,ミュースカイ59,down
MU_SKY_N_61,ミュースカイ61,down
MU_SKY_N_63,ミュースカイ63,down
MU_SKY_N_2,ミュースカイ2,up
MU_SKY_N_4,ミュースカイ4,up
MU_SKY_N_6,ミュースカイ6,up
MU_SKY_N_8,ミュースカイ8,up
MU_SKY_N_10,ミュースカイ10,up
MU_SKY_N_12,ミュースカイ12,up
MU_SKY_N_14,ミュースカイ14,up
MU_SKY_N_16,ミュースカイ16,up
MU_SKY_N_18,ミュースカイ18,up
MU_SKY_N_20,ミュースカイ20,up
MU_SKY_N_22,ミュースカイ22,up
MU_SKY_N_24,ミュースカイ24,up
MU_SKY_N_26,ミュースカイ26,up
MU_SKY_N_28,ミュースカイ28,up
MU_SKY_N_30,ミュースカイ30,up
MU_SKY_N_32,ミュースカイ32,up
MU_SKY_N_34,ミュースカイ34,up
