train_id,stop_order,station_id,arrival,departure
MU_SKY_G_1,1,MEITETSU_GIFU,,05:55
MU_SKY_G_1,2,MEITETSU_ICHINOMIYA,06:04,06:05
MU_SKY_G_1,3,MEITETSU_NAGOYA,06:18,06:19
MU_SKY_G_1,4,KANAYAMA,06:23,06:24
MU_SKY_G_1,5,JINGUMAE,06:27,06:28
MU_SKY_G_1,6,CENTRAIR,06:58,
MU_SKY_G_3,1,MEITETSU_GIFU,,09:21
MU_SKY_G_3,2,MEITETSU_ICHINOMIYA,09:30,09:31
MU_SKY_G_3,3,MEITETSU_NAGOYA,09:44,09:45
MU_SKY_G_3,4,KANAYAMA,09:49,09:50
MU_SKY_G_3,5,JINGUMAE,09:53,09:54
MU_SKY_G_3,6,CENTRAIR,10:24,
MU_SKY_G_5,1,MEITETSU_GIFU,,19:21
MU_SKY_G_5,2,MEITETSU_ICHINOMIYA,19:30,19:31
MU_SKY_G_5,3,MEITETSU_NAGOYA,19:44,19:45
MU_SKY_G_5,4,KANAYAMA,19:49,19:50
MU_SKY_G_5,5,JINGUMAE,19:53,19:54
MU_SKY_G_5,6,CENTRAIR,20:24,
MU_SKY_G_7,1,MEITETSU_GIFU,,20:21
MU_SKY_G_7,2,MEITETSU_ICHINOMIYA,20:30,20:31
MU_SKY_G_7,3,MEITETSU_NAGOYA,20:44,20:45
MU_SKY_G_7,4,KANAYAMA,20:49,20:50
MU_SKY_G_7,5,JINGUMAE,20:53,20:54
MU_SKY_G_7,6,CENTRAIR,21:24,
MU_SKY_G_2,1,CENTRAIR,,08:00
MU_SKY_G_2,2,JINGUMAE,08:30,08:31
MU_SKY_G_2,3,KANAYAMA,08:34,08:35
MU_SKY_G_2,4,MEITETSU_NAGOYA,08:39,08:40
MU_SKY_G_2,5,MEITETSU_ICHINOMIYA,08:53,08:54
MU_SKY_G_2,6,MEITETSU_GIFU,09:03,
MU_SKY_G_4,1,CENTRAIR,,09:07
MU_SKY_G_4,2,JINGUMAE,09:37,09:38
MU_SKY_G_4,3,KANAYAMA,09:41,09:42
MU_SKY_G_4,4,MEITETSU_NAGOYA,09:46,09:47
MU_SKY_G_4,5,MEITETSU_ICHINOMIYA,10:00,10:01
MU_SKY_G_4,6,MEITETSU_GIFU,10:10,
MU_SKY_G_6,1,CENTRAIR,,18:06
MU_SKY_G_6,2,JINGUMAE,18:36,18:37
MU_SKY_G_6,3,KANAYAMA,18:40,18:41
MU_SKY_G_6,4,MEITETSU_NAGOYA,18:45,18:46
MU_SKY_G_6,5,MEITETSU_ICHINOMIYA,18:59,19:00
MU_SKY_G_6,6,MEITETSU_GIFU,19:09,
MU_SKY_G_8,1,CENTRAIR,,19:06
MU_SKY_G_8,2,JINGUMAE,19:36,19:37
MU_SKY_G_8,3,KANAYAMA,19:40,19:41
MU_SKY_G_8,4,MEITETSU_NAGOYA,19:45,19:46
MU_SKY_G_8,5,MEITETSU_ICHINOMIYA,19:59,20:00
MU_SKY_G_8,6,MEITETSU_GIFU,20:09,
MU_SKY_G_10,1,CENTRAIR,,20:07
MU_SKY_G_10,2,JINGUMAE,20:37,20:38
MU_SKY_G_10,3,KANAYAMA,20:41,20:42
MU_SKY_G_10,4,MEITETSU_NAGOYA,20:46,20:47
MU_SKY_G_10,5,MEITETSU_ICHINOMIYA,21:00,21:01
MU_SKY_G_10,6,MEITETSU_GIFU,21:10,
MU_SKY_G_12,1,CENTRAIR,,21:07
MU_SKY_G_12,2,JINGUMAE,21:37,21:38
MU_SKY_G_12,3,KANAYAMA,21:41,21:42
MU_SKY_G_12,4,MEITETSU_NAGOYA,21:46,21:47
MU_SKY_G_12,5,MEITETSU_ICHINOMIYA,22:00,22:01
MU_SKY_G_12,6,MEITETSU_GIFU,22:10,
MU_SKY_N_1,1,MEITETSU_NAGOYA,,06:02
MU_SKY_N_1,2,KANAYAMA,06:06,06:07
MU_SKY_N_1,3,JINGUMAE,06:10,06:11
MU_SKY_N_1,4,CENTRAIR,06:41,
