train_id,name,direction
MU_SKY_INUYAMA_1,ミュースカイ1,down
MU_SKY_INUYAMA_3,ミュースカイ3,down
MU_SKY_INUYAMA_5,ミュースカイ5,down
MU_SKY_INUYAMA_7,ミュースカイ7,down
MU_SKY_INUYAMA_9,ミュースカイ9,down
MU_SKY_INUYAMA_11,ミュースカイ11,down
MU_SKY_INUYAMA_13,ミュースカイ13,down
MU_SKY_INUYAMA_15,ミュースカイ15,down
MU_SKY_INUYAMA_17,ミュースカイ17,down
MU_SKY_INUYAMA_19,ミュースカイ19,down
MU_SKY_INUYAMA_21,ミュースカイ21,down
MU_SKY_INUYAMA_2,ミュースカイ2,up
MU_SKY_INUYAMA_4,ミュースカイ4,up
MU_SKY_INUYAMA_6,ミュースカイ6,up
MU_SKY_INUYAMA_8,ミュースカイ8,up
MU_SKY_INUYAMA_10,ミュースカイ10,up
MU_SKY_INUYAMA_12,ミュースカイ12,up
MU_SKY_INUYAMA_14,ミュースカイ14,up
MU_SKY_INUYAMA_16,ミュースカイ16,up
