train_id,stop_order,station_id,arrival,departure
MU_SKY_INUYAMA_1,1,SHIN_UNUMA,,06:11
MU_SKY_INUYAMA_1,2,INUYAMA,06:14,06:15
MU_SKY_INUYAMA_1,3,MEITETSU_NAGOYA,06:44,06:45
MU_SKY_INUYAMA_1,4,KANAYAMA,06:49,06:50
MU_SKY_INUYAMA_1,5,JINGUMAE,06:53,06:54
MU_SKY_INUYAMA_1,6,CENTRAIR,07:14,
MU_SKY_INUYAMA_3,1,SHIN_UNUMA,,06:38
MU_SKY_INUYAMA_3,2,INUYAMA,06:41,06:42
MU_SKY_INUYAMA_3,3,MEITETSU_NAGOYA,07:11,07:12
MU_SKY_INUYAMA_3,4,KANAYAMA,07:16,07:17
MU_SKY_INUYAMA_3,5,JINGUMAE,07:20,07:21
MU_SKY_INUYAMA_3,6,CENTRAIR,07:41,
MU_SKY_INUYAMA_5,1,SHIN_UNUMA,,07:12
MU_SKY_INUYAMA_5,2,INUYAMA,07:15,07:16
MU_SKY_INUYAMA_5,3,MEITETSU_NAGOYA,07:45,07:46
MU_SKY_INUYAMA_5,4,KANAYAMA,07:50,07:51
MU_SKY_INUYAMA_5,5,JINGUMAE,07:54,07:55
MU_SKY_INUYAMA_5,6,CENTRAIR,08:15,
MU_SKY_INUYAMA_7,1,SHIN_UNUMA,,07:46
MU_SKY_INUYAMA_7,2,INUYAMA,07:49,07:50
MU_SKY_INUYAMA_7,3,MEITETSU_NAGOYA,08:19,08:20
MU_SKY_INUYAMA_7,4,KANAYAMA,08:24,08:25
MU_SKY_INUYAMA_7,5,JINGUMAE,08:28,08:29
MU_SKY_INUYAMA_7,6,CENTRAIR,08:49,
MU_SKY_INUYAMA_9,1,SHIN_UNUMA,,08:13
MU_SKY_INUYAMA_9,2,INUYAMA,08:16,08:17
MU_SKY_INUYAMA_9,3,MEITETSU_NAGOYA,08:46,08:47
MU_SKY_INUYAMA_9,4,KANAYAMA,08:51,08:52
MU_SKY_INUYAMA_9,5,JINGUMAE,08:55,08:56
MU_SKY_INUYAMA_9,6,CENTRAIR,09:16,
MU_SKY_INUYAMA_11,1,SHIN_UNUMA,,08:44
MU_SKY_INUYAMA_11,2,INUYAMA,08:47,08:48
MU_SKY_INUYAMA_11,3,MEITETSU_NAGOYA,09:17,09:18
MU_SKY_INUYAMA_11,4,KANAYAMA,09:22,09:23
MU_SKY_INUYAMA_11,5,JINGUMAE,09:26,09:27
MU_SKY_INUYAMA_11,6,CENTRAIR,09:47,
MU_SKY_INUYAMA_13,1,SHIN_UNUMA,,09:46
MU_SKY_INUYAMA_13,2,INUYAMA,09:49,09:50
MU_SKY_INUYAMA_13,3,MEITETSU_NAGOYA,10:19,10:20
MU_SKY_INUYAMA_13,4,KANAYAMA,10:24,10:25
MU_SKY_INUYAMA_13,5,JINGUMAE,10:28,10:29
MU_SKY_INUYAMA_13,6,CENTRAIR,10:49,
MU_SKY_INUYAMA_15,1,SHIN_UNUMA,,17:44
MU_SKY_INUYAMA_15,2,INUYAMA,17:47,17:48
MU_SKY_INUYAMA_15,3,MEITETSU_NAGOYA,18:17,18:18
MU_SKY_INUYAMA_15,4,KANAYAMA,18:22,18:23
MU_SKY_INUYAMA_15,5,JINGUMAE,18:26,18:27
MU_SKY_INUYAMA_15,6,CENTRAIR,18:47,
MU_SKY_INUYAMA_17,1,SHIN_UNUMA,,18:44
MU_SKY_INUYAMA_17,2,INUYAMA,18:47,18:48
MU_SKY_INUYAMA_17,3,MEITETSU_NAGOYA,19:17,19:18
MU_SKY_INUYAMA_17,4,KANAYAMA,19:22,19:23
MU_SKY_INUYAMA_17,5,JINGUMAE,19:26,19:27
MU_SKY_INUYAMA_17,6,CENTRAIR,19:47,
MU_SKY_INUYAMA_19,1,SHIN_UNUMA,,19:44
MU_SKY_INUYAMA_19,2,INUYAMA,19:47,19:48
MU_SKY_INUYAMA_19,3,MEITETSU_NAGOYA,20:17,20:18
MU_SKY_INUYAMA_19,4,KANAYAMA,20:22,20:23
