train_id,stop_order,station_id,arrival,departure
NANKI_1,1,NAGOYA,,08:00
NANKI_1,2,KUWANA,08:25,08:26
NANKI_1,3,YOKKAICHI,08:35,08:36
NANKI_1,4,TSU,09:00,09:01
NANKI_1,5,MATSUSAKA,09:15,09:16
NANKI_1,6,OWASE,10:40,10:41
NANKI_1,7,KUMANOSHI,11:05,11:06
NANKI_1,8,SHINGU,11:35,11:37
NANKI_1,9,KII_KATSUURA,11:55,
NANKI_3,1,NAGOYA,,10:00
NANKI_3,2,KUWANA,10:25,10:26
NANKI_3,3,YOKKAICHI,10:35,10:36
NANKI_3,4,TSU,11:00,11:01
NANKI_3,5,MATSUSAKA,11:15,11:16
NANKI_3,6,OWASE,12:40,12:41
NANKI_3,7,KUMANOSHI,13:05,13:06
NANKI_3,8,SHINGU,13:35,13:37
NANKI_3,9,KII_KATSUURA,13:55,
NANKI_5,1,NAGOYA,,14:00
NANKI_5,2,KUWANA,14:25,14:26
NANKI_5,3,YOKKAICHI,14:35,14:36
NANKI_5,4,TSU,15:00,15:01
NANKI_5,5,MATSUSAKA,15:15,15:16
NANKI_5,6,OWASE,16:40,16:41
NANKI_5,7,KUMANOSHI,17:05,17:06
NANKI_5,8,SHINGU,17:35,17:37
NANKI_5,9,KII_KATSUURA,17:55,
NANKI_7,1,NAGOYA,,18:00
NANKI_7,2,KUWANA,18:25,18:26
NANKI_7,3,YOKKAICHI,18:35,18:36
NANKI_7,4,TSU,19:00,19:01
NANKI_7,5,MATSUSAKA,19:15,19:16
NANKI_7,6,OWASE,20:40,20:41
NANKI_7,7,KUMANOSHI,21:05,21:06
NANKI_7,8,SHINGU,21:35,21:37
NANKI_7,9,KII_KATSUURA,21:55,
NANKI_2,1,KII_KATSUURA,,07:00
NANKI_2,2,SHINGU,07:18,07:20
NANKI_2,3,KUMANOSHI,07:49,07:50
NANKI_2,4,OWASE,08:14,08:15
NANKI_2,5,MATSUSAKA,09:39,09:40
NANKI_2,6,TSU,09:54,09:55
NANKI_2,7,YOKKAICHI,10:19,10:20
NANKI_2,8,KUWANA,10:29,10:30
NANKI_2,9,NAGOYA,10:55,
NANKI_4,1,KII_KATSUURA,,11:00
NANKI_4,2,SHINGU,11:18,11:20
NANKI_4,3,KUMANOSHI,11:49,11:50
NANKI_4,4,OWASE,12:14,12:15
NANKI_4,5,MATSUSAKA,13:39,13:40
NANKI_4,6,TSU,13:54,13:55
NANKI_4,7,YOKKAICHI,14:19,14:20
NANKI_4,8,KUWANA,14:29,14:30
NANKI_4,9,NAGOYA,14:55,
NANKI_6,1,KII_KATSUURA,,14:00
NANKI_6,2,SHINGU,14:18,14:20
NANKI_6,3,KUMANOSHI,14:49,14:50
NANKI_6,4,OWASE,15:14,15:15
NANKI_6,5,MATSUSAKA,16:39,16:40
NANKI_6,6,TSU,16:54,16:55
NANKI_6,7,YOKKAICHI,17:19,17:20
NANKI_6,8,KUWANA,17:29,17:30
NANKI_6,9,NAGOYA,17:55,
NANKI_8,1,KII_KATSUURA,,17:00
NANKI_8,2,SHINGU,17:18,17:20
NANKI_8,3,KUMANOSHI,17:49,17:50
NANKI_8,4,OWASE,18:14,18:15
NANKI_8,5,MATSUSAKA,19:39,19:40
NANKI_8,6,TSU,19:54,19:55
NANKI_8,7,YOKKAICHI,20:19,20:20
NANKI_8,8,KUWANA,20:29,20:30
NANKI_8,9,NAGOYA,20:55,
