train_id,stop_order,station_id,arrival,departure
NANPU_1,1,OKAYAMA,,06:30
NANPU_1,2,KOJIMA,06:48,06:49
NANPU_1,3,UTAZU,06:58,06:59
NANPU_1,4,TADOTSU,07:05,07:06
NANPU_1,5,KOTOHIRA,07:24,07:25
NANPU_1,6,AWA_IKEDA,07:49,07:50
NANPU_1,7,TOSA_YAMADA,08:42,08:43
NANPU_1,8,KOCHI,09:05,
NANPU_3,1,OKAYAMA,,07:30
NANPU_3,2,KOJIMA,07:48,07:49
NANPU_3,3,UTAZU,07:58,07:59
NANPU_3,4,TADOTSU,08:05,08:06
NANPU_3,5,KOTOHIRA,08:24,08:25
NANPU_3,6,AWA_IKEDA,08:49,08:50
NANPU_3,7,TOSA_YAMADA,09:42,09:43
NANPU_3,8,KOCHI,10:05,
NANPU_5,1,OKAYAMA,,08:30
NANPU_5,2,KOJIMA,08:48,08:49
NANPU_5,3,UTAZU,08:58,08:59
NANPU_5,4,TADOTSU,09:05,09:06
NANPU_5,5,KOTOHIRA,09:24,09:25
NANPU_5,6,AWA_IKEDA,09:49,09:50
NANPU_5,7,TOSA_YAMADA,10:42,10:43
NANPU_5,8,KOCHI,11:05,
NANPU_7,1,OKAYAMA,,09:30
NANPU_7,2,KOJIMA,09:48,09:49
NANPU_7,3,UTAZU,09:58,09:59
NANPU_7,4,TADOTSU,10:05,10:06
NANPU_7,5,KOTOHIRA,10:24,10:25
NANPU_7,6,AWA_IKEDA,10:49,10:50
NANPU_7,7,TOSA_YAMADA,11:42,11:43
NANPU_7,8,KOCHI,12:05,
NANPU_9,1,OKAYAMA,,10:30
NANPU_9,2,KOJIMA,10:48,10:49
NANPU_9,3,UTAZU,10:58,10:59
NANPU_9,4,TADOTSU,11:05,11:06
NANPU_9,5,KOTOHIRA,11:24,11:25
NANPU_9,6,AWA_IKEDA,11:49,11:50
NANPU_9,7,TOSA_YAMADA,12:42,12:43
NANPU_9,8,KOCHI,13:05,
NANPU_11,1,OKAYAMA,,11:30
NANPU_11,2,KOJIMA,11:48,11:49
NANPU_11,3,UTAZU,11:58,11:59
NANPU_11,4,TADOTSU,12:05,12:06
NANPU_11,5,KOTOHIRA,12:24,12:25
NANPU_11,6,AWA_IKEDA,12:49,12:50
NANPU_11,7,TOSA_YAMADA,13:42,13:43
NANPU_11,8,KOCHI,14:05,
NANPU_13,1,OKAYAMA,,12:30
NANPU_13,2,KOJIMA,12:48,12:49
NANPU_13,3,UTAZU,12:58,12:59
NANPU_13,4,TADOTSU,13:05,13:06
NANPU_13,5,KOTOHIRA,13:24,13:25
NANPU_13,6,AWA_IKEDA,13:49,13:50
NANPU_13,7,TOSA_YAMADA,14:42,14:43
NANPU_13,8,KOCHI,15:05,
NANPU_15,1,OKAYAMA,,13:30
NANPU_15,2,KOJIMA,13:48,13:49
NANPU_15,3,UTAZU,13:58,13:59
NANPU_15,4,TADOTSU,14:05,14:06
NANPU_15,5,KOTOHIRA,14:24,14:25
NANPU_15,6,AWA_IKEDA,14:49,14:50
NANPU_15,7,TOSA_YAMADA,15:42,15:43
NANPU_15,8,KOCHI,16:05,
NANPU_17,1,OKAYAMA,,14:30
