train_id,name,direction
NANPU_1,南風1,down
NANPU_3,南風3,down
NANPU_5,南風5,down
NANPU_7,南風7,down
NANPU_9,南風9,down
NANPU_11,南風11,down
NANPU_13,南風13,down
NANPU_15,南風15,down
NANPU_17,南風17,down
NANPU_19,南風19,down
NANPU_21,南風21,down
NANPU_23,南風23,down
NANPU_25,南風25,down
NANPU_27,南風27,down
NANPU_29,南風29,down
NANPU_31,南風31,down
NANPU_2,南風2,up
NANPU_4,南風4,up
NANPU_6,南風6,up
NANPU_8,南風8,up
NANPU_10,南風10,up
NANPU_12,南風12,up
NANPU_14,南風14,up
NANPU_16,南風16,up
NANPU_18,南風18,up
NANPU_20,南風20,up
NANPU_22,南風22,up
NANPU_24,南風24,up
NANPU_26,南風26,up
NANPU_28,南風28,up
NANPU_30,南風30,up
NANPU_32,南風32,up
