train_id,stop_order,station_id,arrival,departure
NP_1,1,OKAYAMA,,07:00
NP_1,2,KOJIMA,07:22,07:23
NP_1,3,UTAZU,07:35,07:36
NP_1,4,TADOTSU,07:43,07:44
NP_1,5,KOTOHIRA,07:55,07:56
NP_1,6,AWA_IKEDA,08:25,08:26
NP_1,7,TOSA_YAMADA,09:15,09:16
NP_1,8,KOCHI,09:35,
NP_3,1,OKAYAMA,,08:00
NP_3,2,KOJIMA,08:22,08:23
NP_3,3,UTAZU,08:35,08:36
NP_3,4,TADOTSU,08:43,08:44
NP_3,5,KOTOHIRA,08:55,08:56
NP_3,6,AWA_IKEDA,09:25,09:26
NP_3,7,TOSA_YAMADA,10:15,10:16
NP_3,8,KOCHI,10:35,
NP_5,1,OKAYAMA,,09:00
NP_5,2,KOJIMA,09:22,09:23
NP_5,3,UTAZU,09:35,09:36
NP_5,4,TADOTSU,09:43,09:44
NP_5,5,KOTOHIRA,09:55,09:56
NP_5,6,AWA_IKEDA,10:25,10:26
NP_5,7,TOSA_YAMADA,11:15,11:16
NP_5,8,KOCHI,11:35,
NP_7,1,OKAYAMA,,10:00
NP_7,2,KOJIMA,10:22,10:23
NP_7,3,UTAZU,10:35,10:36
NP_7,4,TADOTSU,10:43,10:44
NP_7,5,KOTOHIRA,10:55,10:56
NP_7,6,AWA_IKEDA,11:25,11:26
NP_7,7,TOSA_YAMADA,12:15,12:16
NP_7,8,KOCHI,12:35,
NP_9,1,OKAYAMA,,11:00
NP_9,2,KOJIMA,11:22,11:23
NP_9,3,UTAZU,11:35,11:36
NP_9,4,TADOTSU,11:43,11:44
NP_9,5,KOTOHIRA,11:55,11:56
NP_9,6,AWA_IKEDA,12:25,12:26
NP_9,7,TOSA_YAMADA,13:15,13:16
NP_9,8,KOCHI,13:35,
NP_11,1,OKAYAMA,,12:00
NP_11,2,KOJIMA,12:22,12:23
NP_11,3,UTAZU,12:35,12:36
NP_11,4,TADOTSU,12:43,12:44
NP_11,5,KOTOHIRA,12:55,12:56
NP_11,6,AWA_IKEDA,13:25,13:26
NP_11,7,TOSA_YAMADA,14:15,14:16
NP_11,8,KOCHI,14:35,
NP_13,1,OKAYAMA,,13:00
NP_13,2,KOJIMA,13:22,13:23
NP_13,3,UTAZU,13:35,13:36
NP_13,4,TADOTSU,13:43,13:44
NP_13,5,KOTOHIRA,13:55,13:56
NP_13,6,AWA_IKEDA,14:25,14:26
NP_13,7,TOSA_YAMADA,15:15,15:16
NP_13,8,KOCHI,15:35,
NP_15,1,OKAYAMA,,14:00
NP_15,2,KOJIMA,14:22,14:23
NP_15,3,UTAZU,14:35,14:36
NP_15,4,TADOTSU,14:43,14:44
NP_15,5,KOTOHIRA,14:55,14:56
NP_15,6,AWA_IKEDA,15:25,15:26
NP_15,7,TOSA_YAMADA,16:15,16:16
NP_15,8,KOCHI,16:35,
NP_17,1,OKAYAMA,,15:00
NP_17,2,KOJIMA,15:22,15:23
NP_17,3,UTAZU,15:35,15:36
NP_17,4,TADOTSU,15:43,15:44
NP_17,5,KOTOHIRA,15:55,15:56
NP_17,6,AWA_IKEDA,16:25,16:26
NP_17,7,TOSA_YAMADA,17:15,17:16
NP_17,8,KOCHI,17:35,
NP_19,1,OKAYAMA,,16:00
NP_19,2,KOJIMA,16:22,16:23
NP_19,3,UTAZU,16:35,16:36
NP_19,4,TADOTSU,16:43,16:44
NP_19,5,KOTOHIRA,16:55,16:56
NP_19,6,AWA_IKEDA,17:25,17:26
NP_19,7,TOSA_YAMADA,18:15,18:16
NP_19,8,KOCHI,18:35,
NP_21,1,OKAYAMA,,17:00
NP_21,2,KOJIMA,17:22,17:23
NP_21,3,UTAZU,17:35,17:36
NP_21,4,TADOTSU,17:43,17:44
NP_21,5,KOTOHIRA,17:55,17:56
NP_21,6,AWA_IKEDA,18:25,18:26
NP_21,7,TOSA_YAMADA,19:15,19:16
NP_21,8,KOCHI,19:35,
NP_23,1,OKAYAMA,,18:00
NP_23,2,KOJIMA,18:22,18:23
NP_23,3,UTAZU,18:35,18:36
NP_23,4,TADOTSU,18:43,18:44
NP_23,5,KOTOHIRA,18:55,18:56
NP_23,6,AWA_IKEDA,19:25,19:26
NP_23,7,TOSA_YAMADA,20:15,20:16
NP_23,8,KOCHI,20:35,
NP_25,1,OKAYAMA,,19:00
NP_25,2,KOJIMA,19:22,19:23
NP_25,3,UTAZU,19:35,19:36
NP_25,4,TADOTSU,19:43,19:44
NP_25,5,KOTOHIRA,19:55,19:56
NP_25,6,AWA_IKEDA,20:25,20:26
NP_25,7,TOSA_YAMADA,21:15,21:16
NP_25,8,KOCHI,21:35,
NP_2,1,KOCHI,,06:00
