train_id,stop_order,station_id,arrival,departure
NEX_1,1,OFUNA,,05:15
NEX_1,2,YOKOHAMA,05:34,05:35
NEX_1,3,SHINAGAWA,06:05,06:06
NEX_1,4,TOKYO,06:15,06:17
NEX_1,5,NARITA,07:10,07:11
NEX_1,6,AIRPORT_TERMINAL_2,07:20,07:21
NEX_1,7,NARITA_AIRPORT,07:25,
NEX_3,1,OFUNA,,05:45
NEX_3,2,YOKOHAMA,06:04,06:05
NEX_3,3,SHINAGAWA,06:35,06:36
NEX_3,4,TOKYO,06:45,06:47
NEX_3,5,NARITA,07:40,07:41
NEX_3,6,AIRPORT_TERMINAL_2,07:50,07:51
NEX_3,7,NARITA_AIRPORT,07:55,
NEX_5,1,OFUNA,,06:15
NEX_5,2,YOKOHAMA,06:34,06:35
NEX_5,3,SHINAGAWA,07:05,07:06
NEX_5,4,TOKYO,07:15,07:17
NEX_5,5,NARITA,08:10,08:11
NEX_5,6,AIRPORT_TERMINAL_2,08:20,08:21
NEX_5,7,NARITA_AIRPORT,08:25,
NEX_7,1,OFUNA,,06:45
NEX_7,2,YOKOHAMA,07:04,07:05
NEX_7,3,SHINAGAWA,07:35,07:36
NEX_7,4,TOKYO,07:45,07:47
NEX_7,5,NARITA,08:40,08:41
NEX_7,6,AIRPORT_TERMINAL_2,08:50,08:51
NEX_7,7,NARITA_AIRPORT,08:55,
NEX_9,1,OFUNA,,07:15
NEX_9,2,YOKOHAMA,07:34,07:35
NEX_9,3,SHINAGAWA,08:05,08:06
NEX_9,4,TOKYO,08:15,08:17
NEX_9,5,NARITA,09:10,09:11
NEX_9,6,AIRPORT_TERMINAL_2,09:20,09:21
NEX_9,7,NARITA_AIRPORT,09:25,
NEX_11,1,OFUNA,,07:45
NEX_11,2,YOKOHAMA,08:04,08:05
NEX_11,3,SHINAGAWA,08:35,08:36
NEX_11,4,TOKYO,08:45,08:47
NEX_11,5,NARITA,09:40,09:41
NEX_11,6,AIRPORT_TERMINAL_2,09:50,09:51
NEX_11,7,NARITA_AIRPORT,09:55,
NEX_13,1,OFUNA,,08:15
NEX_13,2,YOKOHAMA,08:34,08:35
NEX_13,3,SHINAGAWA,09:05,09:06
NEX_13,4,TOKYO,09:15,09:17
NEX_13,5,NARITA,10:10,10:11
NEX_13,6,AIRPORT_TERMINAL_2,10:20,10:21
NEX_13,7,NARITA_AIRPORT,10:25,
NEX_15,1,OFUNA,,08:45
NEX_15,2,YOKOHAMA,09:04,09:05
NEX_15,3,SHINAGAWA,09:35,09:36
NEX_15,4,TOKYO,09:45,09:47
NEX_15,5,NARITA,10:40,10:41
NEX_15,6,AIRPORT_TERMINAL_2,10:50,10:51
NEX_15,7,NARITA_AIRPORT,10:55,
NEX_17,1,OFUNA,,09:15
NEX_17,2,YOKOHAMA,09:34,09:35
NEX_17,3,SHINAGAWA,10:05,10:06
NEX_17,4,TOKYO,10:15,10:17
NEX_17,5,NARITA,11:10,11:11
NEX_17,6,AIRPORT_TERMINAL_2,11:20,11:21
NEX_17,7,NARITA_AIRPORT,11:25,
NEX_19,1,OFUNA,,09:45
NEX_19,2,YOKOHAMA,10:04,10:05
NEX_19,3,SHINAGAWA,10:35,10:36
NEX_19,4,TOKYO,10:45,10:47
NEX_19,5,NARITA,11:40,11:41
NEX_19,6,AIRPORT_TERMINAL_2,11:50,11:51
NEX_19,7,NARITA_AIRPORT,11:55,
NEX_21,1,OFUNA,,10:15
NEX_21,2,YOKOHAMA,10:34,10:35
NEX_21,3,SHINAGAWA,11:05,11:06
NEX_21,4,TOKYO,11:15,11:17
NEX_21,5,NARITA,12:10,12:11
NEX_21,6,AIRPORT_TERMINAL_2,12:20,12:21
NEX_21,7,NARITA_AIRPORT,12:25,
NEX_23,1,OFUNA,,10:45
NEX_23,2,YOKOHAMA,11:04,11:05
NEX_23,3,SHINAGAWA,11:35,11:36
NEX_23,4,TOKYO,11:45,11:47
NEX_23,5,NARITA,12:40,12:41
NEX_23,6,AIRPORT_TERMINAL_2,12:50,12:51
NEX_23,7,NARITA_AIRPORT,12:55,
NEX_25,1,OFUNA,,11:15
NEX_25,2,YOKOHAMA,11:34,11:35
NEX_25,3,SHINAGAWA,12:05,12:06
NEX_25,4,TOKYO,12:15,12:17
NEX_25,5,NARITA,13:10,13:11
NEX_25,6,AIRPORT_TERMINAL_2,13:20,13:21
NEX_25,7,NARITA_AIRPORT,13:25,
NEX_27,1,OFUNA,,11:45
NEX_27,2,YOKOHAMA,12:04,12:05
NEX_27,3,SHINAGAWA,12:35,12:36
NEX_27,4,TOKYO,12:45,12:47
NEX_27,5,NARITA,13:40,13:41
NEX_27,6,AIRPORT_TERMINAL_2,13:50,13:51
NEX_27,7,NARITA_AIRPORT,13:55,
NEX_29,1,OFUNA,,12:15
NEX_29,2,YOKOHAMA,12:34,12:35
NEX_29,3,SHINAGAWA,13:05,13:06
NEX_29,4,TOKYO,13:15,13:17
NEX_29,5,NARITA,14:10,14:11
NEX_29,6,AIRPORT_TERMINAL_2,14:20,14:21
NEX_29,7,NARITA_AIRPORT,14:25,
NEX_31,1,OFUNA,,12:45
NEX_31,2,YOKOHAMA,13:04,13:05
NEX_31,3,SHINAGAWA,13:35,13:36
NEX_31,4,TOKYO,13:45,13:47
NEX_31,5,NARITA,14:40,14:41
NEX_31,6,AIRPORT_TERMINAL_2,14:50,14:51
NEX_31,7,NARITA_AIRPORT,14:55,
NEX_33,1,OFUNA,,13:15
NEX_33,2,YOKOHAMA,13:34,13:35
NEX_33,3,SHINAGAWA,14:05,14:06
NEX_33,4,TOKYO,14:15,14:17
NEX_33,5,NARITA,15:10,15:11
NEX_33,6,AIRPORT_TERMINAL_2,15:20,15:21
NEX_33,7,NARITA_AIRPORT,15:25,
NEX_35,1,OFUNA,,13:45
NEX_35,2,YOKOHAMA,14:04,14:05
NEX_35,3,SHINAGAWA,14:35,14:36
NEX_35,4,TOKYO,14:45,14:47
NEX_35,5,NARITA,15:40,15:41
NEX_35,6,AIRPORT_TERMINAL_2,15:50,15:51
NEX_35,7,NARITA_AIRPORT,15:55,
NEX_37,1,OFUNA,,14:15
NEX_37,2,YOKOHAMA,14:34,14:35
NEX_37,3,SHINAGAWA,15:05,15:06
NEX_37,4,TOKYO,15:15,15:17
NEX_37,5,NARITA,16:10,16:11
NEX_37,6,AIRPORT_TERMINAL_2,16:20,16:21
NEX_37,7,NARITA_AIRPORT,16:25,
NEX_39,1,OFUNA,,14:45
NEX_39,2,YOKOHAMA,15:04,15:05
NEX_39,3,SHINAGAWA,15:35,15:36
NEX_39,4,TOKYO,15:45,15:47
NEX_39,5,NARITA,16:40,16:41
NEX_39,6,AIRPORT_TERMINAL_2,16:50,16:51
NEX_39,7,NARITA_AIRPORT,16:55,
NEX_41,1,OFUNA,,15:15
NEX_41,2,YOKOHAMA,15:34,15:35
NEX_41,3,SHINAGAWA,16:05,16:06
NEX_41,4,TOKYO,16:15,16:17
NEX_41,5,NARITA,17:10,17:11
NEX_41,6,AIRPORT_TERMINAL_2,17:20,17:21
NEX_41,7,NARITA_AIRPORT,17:25,
NEX_43,1,OFUNA,,15:45
NEX_43,2,YOKOHAMA,16:04,16:05
NEX_43,3,SHINAGAWA,16:35,16:36
NEX_43,4,TOKYO,16:45,16:47
NEX_43,5,NARITA,17:40,17:41
NEX_43,6,AIRPORT_TERMINAL_2,17:50,17:51
NEX_43,7,NARITA_AIRPORT,17:55,
NEX_45,1,OFUNA,,16:15
NEX_45,2,YOKOHAMA,16:34,16:35
NEX_45,3,SHINAGAWA,17:05,17:06
NEX_45,4,TOKYO,17:15,17:17
NEX_45,5,NARITA,18:10,18:11
NEX_45,6,AIRPORT_TERMINAL_2,18:20,18:21
NEX_45,7,NARITA_AIRPORT,18:25,
NEX_47,1,OFUNA,,16:45
NEX_47,2,YOKOHAMA,17:04,17:05
NEX_47,3,SHINAGAWA,17:35,17:36
NEX_47,4,TOKYO,17:45,17:47
NEX_47,5,NARITA,18:40,18:41
NEX_47,6,AIRPORT_TERMINAL_2,18:50,18:51
NEX_47,7,NARITA_AIRPORT,18:55,
NEX_49,1,OFUNA,,17:15
NEX_49,2,YOKOHAMA,17:34,17:35
NEX_49,3,SHINAGAWA,18:05,18:06
NEX_49,4,TOKYO,18:15,18:17
NEX_49,5,NARITA,19:10,19:11
NEX_49,6,AIRPORT_TERMINAL_2,19:20,19:21
NEX_49,7,NARITA_AIRPORT,19:25,
NEX_51,1,OFUNA,,17:45
NEX_51,2,YOKOHAMA,18:04,18:05
NEX_51,3,SHINAGAWA,18:35,18:36
NEX_51,4,TOKYO,18:45,18:47
NEX_51,5,NARITA,19:40,19:41
NEX_51,6,AIRPORT_TERMINAL_2,19:50,19:51
NEX_51,7,NARITA_AIRPORT,19:55,
NEX_53,1,OFUNA,,18:15
NEX_53,2,YOKOHAMA,18:34,18:35
NEX_53,3,SHINAGAWA,19:05,19:06
NEX_53,4,TOKYO,19:15,19:17
NEX_53,5,NARITA,20:10,20:11
NEX_53,6,AIRPORT_TERMINAL_2,20:20,20:21
NEX_53,7,NARITA_AIRPORT,20:25,
NEX_55,1,OFUNA,,18:45
NEX_55,2,YOKOHAMA,19:04,19:05
NEX_55,3,SHINAGAWA,19:35,19:36
NEX_55,4,TOKYO,19:45,19:47
NEX_55,5,NARITA,20:40,20:41
NEX_55,6,AIRPORT_TERMINAL_2,20:50,20:51
NEX_55,7,NARITA_AIRPORT,20:55,
NEX_57,1,OFUNA,,19:15
NEX_57,2,YOKOHAMA,19:34,19:35
NEX_57,3,SHINAGAWA,20:05,20:06
NEX_57,4,TOKYO,20:15,20:17
NEX_57,5,NARITA,21:10,21:11
NEX_57,6,AIRPORT_TERMINAL_2,21:20,21:21
NEX_57,7,NARITA_AIRPORT,21:25,
NEX_59,1,OFUNA,,19:45
NEX_59,2,YOKOHAMA,20:04,20:05
NEX_59,3,SHINAGAWA,20:35,20:36
NEX_59,4,TOKYO,20:45,20:47
NEX_59,5,NARITA,21:40,21:41
NEX_59,6,AIRPORT_TERMINAL_2,21:50,21:51
NEX_59,7,NARITA_AIRPORT,21:55,
NEX_2,1,NARITA_AIRPORT,,07:09
NEX_2,2,AIRPORT_TERMINAL_2,07:13,07:14
NEX_2,3,NARITA,07:24,07:25
NEX_2,4,TOKYO,08:17,08:19
NEX_2,5,SHINAGAWA,08:29,08:30
NEX_2,6,YOKOHAMA,08:59,09:00
NEX_2,7,OFUNA,09:19,
NEX_4,1,NARITA_AIRPORT,,07:39
NEX_4,2,AIRPORT_TERMINAL_2,07:43,07:44
