train_id,name,direction
NEX_1,NEX1,down
NEX_3,NEX3,down
NEX_5,NEX5,down
NEX_7,NEX7,down
NEX_9,NEX9,down
NEX_11,NEX11,down
NEX_13,NEX13,down
NEX_15,NEX15,down
NEX_17,NEX17,down
NEX_19,NEX19,down
NEX_21,NEX21,down
NEX_23,NEX23,down
NEX_25,NEX25,down
NEX_27,NEX27,down
NEX_29,NEX29,down
NEX_31,NEX31,down
NEX_33,NEX33,down
NEX_35,NEX35,down
NEX_37,NEX37,down
NEX_39,NEX39,down
NEX_41,NEX41,down
NEX_43,NEX43,down
NEX_45,NEX45,down
NEX_47,NEX47,down
NEX_49,NEX49,down
NEX_51,NEX51,down
NEX_53,NEX53,down
NEX_55,NEX55,down
NEX_57,NEX57,down
NEX_59,NEX59,down
NEX_2,NEX2,up
NEX_4,NEX4,up
NEX_6,NEX6,up
NEX_8,NEX8,up
NEX_10,NEX10,up
NEX_12,NEX12,up
NEX_14,NEX14,up
NEX_16,NEX16,up
NEX_18,NEX18,up
NEX_20,NEX20,up
NEX_22,NEX22,up
NEX_24,NEX24,up
NEX_26,NEX26,up
NEX_28,NEX28,up
NEX_30,NEX30,up
NEX_32,NEX32,up
NEX_34,NEX34,up
NEX_36,NEX36,up
NEX_38,NEX38,up
NEX_40,NEX40,up
NEX_42,NEX42,up
NEX_44,NEX44,up
NEX_46,NEX46,up
NEX_48,NEX48,up
NEX_50,NEX50,up
NEX_52,NEX52,up
NEX_54,NEX54,up
NEX_56,NEX56,up
NEX_58,NEX58,up
NEX_60,NEX60,up
