train_id,stop_order,station_id,arrival,departure
NICHIRIN_1,1,OITA,,06:13
NICHIRIN_1,2,SAIKI,07:08,07:10
NICHIRIN_1,3,NOBEOKA,07:58,08:00
NICHIRIN_1,4,HYUGASHI,08:38,08:39
NICHIRIN_1,5,MIYAZAKI,09:23,
NICHIRIN_3,1,OITA,,07:30
NICHIRIN_3,2,SAIKI,08:25,08:27
NICHIRIN_3,3,NOBEOKA,09:15,09:17
NICHIRIN_3,4,HYUGASHI,09:55,09:56
NICHIRIN_3,5,MIYAZAKI,10:40,
NICHIRIN_5,1,OITA,,09:00
NICHIRIN_5,2,SAIKI,09:55,09:57
NICHIRIN_5,3,NOBEOKA,10:45,10:47
NICHIRIN_5,4,HYUGASHI,11:25,11:26
NICHIRIN_5,5,MIYAZAKI,12:10,
NICHIRIN_7,1,OITA,,10:30
NICHIRIN_7,2,SAIKI,11:25,11:27
NICHIRIN_7,3,NOBEOKA,12:15,12:17
NICHIRIN_7,4,HYUGASHI,12:55,12:56
NICHIRIN_7,5,MIYAZAKI,13:40,
NICHIRIN_9,1,OITA,,12:00
NICHIRIN_9,2,SAIKI,12:55,12:57
NICHIRIN_9,3,NOBEOKA,13:45,13:47
NICHIRIN_9,4,HYUGASHI,14:25,14:26
NICHIRIN_9,5,MIYAZAKI,15:10,
NICHIRIN_11,1,OITA,,13:30
NICHIRIN_11,2,SAIKI,14:25,14:27
NICHIRIN_11,3,NOBEOKA,15:15,15:17
NICHIRIN_11,4,HYUGASHI,15:55,15:56
NICHIRIN_11,5,MIYAZAKI,16:40,
NICHIRIN_13,1,OITA,,15:00
NICHIRIN_13,2,SAIKI,15:55,15:57
NICHIRIN_13,3,NOBEOKA,16:45,16:47
NICHIRIN_13,4,HYUGASHI,17:25,17:26
NICHIRIN_13,5,MIYAZAKI,18:10,
NICHIRIN_15,1,OITA,,16:30
NICHIRIN_15,2,SAIKI,17:25,17:27
NICHIRIN_15,3,NOBEOKA,18:15,18:17
NICHIRIN_15,4,HYUGASHI,18:55,18:56
