train_id,name,direction
NICHIRIN_1,にちりん1号,down
NICHIRIN_3,にちりん3号,down
NICHIRIN_5,にちりん5号,down
NICHIRIN_7,にちりん7号,down
NICHIRIN_9,にちりん9号,down
NICHIRIN_11,にちりん11号,down
NICHIRIN_13,にちりん13号,down
NICHIRIN_15,にちりん15号,down
NICHIRIN_17,にちりん17号,down
NICHIRIN_19,にちりん19号,down
NICHIRIN_2,にちりん2号,up
NICHIRIN_4,にちりん4号,up
NICHIRIN_6,にちりん6号,up
NICHIRIN_8,にちりん8号,up
NICHIRIN_10,にちりん10号,up
NICHIRIN_12,にちりん12号,up
NICHIRIN_14,にちりん14号,up
NICHIRIN_16,にちりん16号,up
NICHIRIN_18,にちりん18号,up
NICHIRIN_20,にちりん20号,up
NICHIRIN_S_1,にちりんシーガイア1号,down
NICHIRIN_S_2,にちりんシーガイア2号,up
