train_id,stop_order,station_id,arrival,departure
NC_1,1,KOKURA,,08:00
NC_1,2,NAKATSU,08:40,08:41
NC_1,3,USA,09:00,09:01
NC_1,4,BEPPU,09:25,09:26
NC_1,5,OITA,09:35,09:37
NC_1,6,SAIKI,10:25,10:26
NC_1,7,NOBEOKA,11:10,11:11
NC_1,8,HYUGASHI,11:30,11:31
NC_1,9,MIYAZAKI,12:30,
NC_3,1,OITA,,07:00
NC_3,2,SAIKI,07:50,07:51
NC_3,3,NOBEOKA,08:35,08:36
NC_3,4,HYUGASHI,08:55,08:56
NC_3,5,MIYAZAKI,09:55,
NC_5,1,OITA,,09:00
NC_5,2,SAIKI,09:50,09:51
NC_5,3,NOBEOKA,10:35,10:36
NC_5,4,HYUGASHI,10:55,10:56
NC_5,5,MIYAZAKI,11:55,
NC_7,1,OITA,,10:00
NC_7,2,SAIKI,10:50,10:51
NC_7,3,NOBEOKA,11:35,11:36
NC_7,4,HYUGASHI,11:55,11:56
NC_7,5,MIYAZAKI,12:55,
NC_9,1,OITA,,12:00
NC_9,2,SAIKI,12:50,12:51
NC_9,3,NOBEOKA,13:35,13:36
NC_9,4,HYUGASHI,13:55,13:56
NC_9,5,MIYAZAKI,14:55,
NC_11,1,OITA,,13:00
NC_11,2,SAIKI,13:50,13:51
NC_11,3,NOBEOKA,14:35,14:36
NC_11,4,HYUGASHI,14:55,14:56
NC_11,5,MIYAZAKI,15:55,
NC_13,1,OITA,,15:00
NC_13,2,SAIKI,15:50,15:51
NC_13,3,NOBEOKA,16:35,16:36
NC_13,4,HYUGASHI,16:55,16:56
NC_13,5,MIYAZAKI,17:55,
NC_15,1,OITA,,16:00
NC_15,2,SAIKI,16:50,16:51
NC_15,3,NOBEOKA,17:35,17:36
NC_15,4,HYUGASHI,17:55,17:56
NC_15,5,MIYAZAKI,18:55,
NC_17,1,OITA,,18:00
NC_17,2,SAIKI,18:50,18:51
NC_17,3,NOBEOKA,19:35,19:36
NC_17,4,HYUGASHI,19:55,19:56
NC_17,5,MIYAZAKI,20:55,
NC_19,1,OITA,,19:00
NC_19,2,SAIKI,19:50,19:51
NC_19,3,NOBEOKA,20:35,20:36
NC_19,4,HYUGASHI,20:55,20:56
NC_19,5,MIYAZAKI,21:55,
NC_2,1,MIYAZAKI,,14:00
NC_2,2,HYUGASHI,15:00,15:01
NC_2,3,NOBEOKA,15:20,15:21
NC_2,4,SAIKI,16:05,16:06
NC_2,5,OITA,16:55,16:57
NC_2,6,BEPPU,17:07,17:08
NC_2,7,USA,17:32,17:33
NC_2,8,NAKATSU,17:52,17:53
NC_2,9,KOKURA,18:30,
NC_4,1,MIYAZAKI,,06:00
NC_4,2,HYUGASHI,07:00,07:01
NC_4,3,NOBEOKA,07:20,07:21
NC_4,4,SAIKI,08:05,08:06
NC_4,5,OITA,08:55,
NC_6,1,MIYAZAKI,,08:00
NC_6,2,HYUGASHI,09:00,09:01
NC_6,3,NOBEOKA,09:20,09:21
NC_6,4,SAIKI,10:05,10:06
NC_6,5,OITA,10:55,
NC_8,1,MIYAZAKI,,09:00
NC_8,2,HYUGASHI,10:00,10:01
NC_8,3,NOBEOKA,10:20,10:21
NC_8,4,SAIKI,11:05,11:06
NC_8,5,OITA,11:55,
NC_10,1,MIYAZAKI,,11:00
NC_10,2,HYUGASHI,12:00,12:01
NC_10,3,NOBEOKA,12:20,12:21
NC_10,4,SAIKI,13:05,13:06
NC_10,5,OITA,13:55,
NC_12,1,MIYAZAKI,,12:00
NC_12,2,HYUGASHI,13:00,13:01
NC_12,3,NOBEOKA,13:20,13:21
NC_12,4,SAIKI,14:05,14:06
NC_12,5,OITA,14:55,
NC_14,1,MIYAZAKI,,15:00
NC_14,2,HYUGASHI,16:00,16:01
NC_14,3,NOBEOKA,16:20,16:21
NC_14,4,SAIKI,17:05,17:06
NC_14,5,OITA,17:55,
NC_16,1,MIYAZAKI,,16:00
NC_16,2,HYUGASHI,17:00,17:01
NC_16,3,NOBEOKA,17:20,17:21
NC_16,4,SAIKI,18:05,18:06
NC_16,5,OITA,18:55,
NC_18,1,MIYAZAKI,,17:00
NC_18,2,HYUGASHI,18:00,18:01
NC_18,3,NOBEOKA,18:20,18:21
NC_18,4,SAIKI,19:05,19:06
NC_18,5,OITA,19:55,
NC_20,1,MIYAZAKI,,18:00
NC_20,2,HYUGASHI,19:00,19:01
NC_20,3,NOBEOKA,19:20,19:21
NC_20,4,SAIKI,20:05,20:06
NC_20,5,OITA,20:55,
