train_id,stop_order,station_id,arrival,departure
KAMOME_1,1,TAKEO_ONSEN,,06:23
KAMOME_1,2,URESHINO_ONSEN,06:30,06:31
KAMOME_1,3,SHIN_OMURA,06:41,06:42
KAMOME_1,4,ISAHAYA,06:46,06:47
KAMOME_1,5,NAGASAKI,06:53,
KAMOME_3,1,TAKEO_ONSEN,,07:25
KAMOME_3,2,URESHINO_ONSEN,07:32,07:33
KAMOME_3,3,SHIN_OMURA,07:43,07:44
KAMOME_3,4,ISAHAYA,07:48,07:49
KAMOME_3,5,NAGASAKI,07:55,
KAMOME_5,1,TAKEO_ONSEN,,07:55
KAMOME_5,2,URESHINO_ONSEN,08:02,08:03
KAMOME_5,3,SHIN_OMURA,08:13,08:14
KAMOME_5,4,ISAHAYA,08:18,08:19
KAMOME_5,5,NAGASAKI,08:25,
KAMOME_7,1,TAKEO_ONSEN,,08:25
KAMOME_7,2,URESHINO_ONSEN,08:32,08:33
KAMOME_7,3,SHIN_OMURA,08:43,08:44
KAMOME_7,4,ISAHAYA,08:48,08:49
KAMOME_7,5,NAGASAKI,08:55,
KAMOME_9,1,TAKEO_ONSEN,,08:55
KAMOME_9,2,URESHINO_ONSEN,09:02,09:03
KAMOME_9,3,SHIN_OMURA,09:13,09:14
KAMOME_9,4,ISAHAYA,09:18,09:19
KAMOME_9,5,NAGASAKI,09:25,
KAMOME_11,1,TAKEO_ONSEN,,09:25
KAMOME_11,2,URESHINO_ONSEN,09:32,09:33
KAMOME_11,3,SHIN_OMURA,09:43,09:44
KAMOME_11,4,ISAHAYA,09:48,09:49
KAMOME_11,5,NAGASAKI,09:55,
KAMOME_13,1,TAKEO_ONSEN,,09:55
KAMOME_13,2,URESHINO_ONSEN,10:02,10:03
KAMOME_13,3,SHIN_OMURA,10:13,10:14
KAMOME_13,4,ISAHAYA,10:18,10:19
KAMOME_13,5,NAGASAKI,10:25,
KAMOME_15,1,TAKEO_ONSEN,,10:25
KAMOME_15,2,URESHINO_ONSEN,10:32,10:33
KAMOME_15,3,SHIN_OMURA,10:43,10:44
KAMOME_15,4,ISAHAYA,10:48,10:49
KAMOME_15,5,NAGASAKI,10:55,
KAMOME_17,1,TAKEO_ONSEN,,10:55
KAMOME_17,2,URESHINO_ONSEN,11:02,11:03
KAMOME_17,3,SHIN_OMURA,11:13,11:14
KAMOME_17,4,ISAHAYA,11:18,11:19
KAMOME_17,5,NAGASAKI,11:25,
KAMOME_19,1,TAKEO_ONSEN,,11:25
KAMOME_19,2,URESHINO_ONSEN,11:32,11:33
KAMOME_19,3,SHIN_OMURA,11:43,11:44
KAMOME_19,4,ISAHAYA,11:48,11:49
KAMOME_19,5,NAGASAKI,11:55,
KAMOME_21,1,TAKEO_ONSEN,,11:55
KAMOME_21,2,URESHINO_ONSEN,12:02,12:03
KAMOME_21,3,SHIN_OMURA,12:13,12:14
KAMOME_21,4,ISAHAYA,12:18,12:19
KAMOME_21,5,NAGASAKI,12:25,
KAMOME_23,1,TAKEO_ONSEN,,12:25
KAMOME_23,2,URESHINO_ONSEN,12:32,12:33
KAMOME_23,3,SHIN_OMURA,12:43,12:44
KAMOME_23,4,ISAHAYA,12:48,12:49
KAMOME_23,5,NAGASAKI,12:55,
KAMOME_25,1,TAKEO_ONSEN,,12:55
KAMOME_25,2,URESHINO_ONSEN,13:02,13:03
KAMOME_25,3,SHIN_OMURA,13:13,13:14
KAMOME_25,4,ISAHAYA,13:18,13:19
KAMOME_25,5,NAGASAKI,13:25,
