train_id,name,direction
NK_1,西九州1,down
NK_3,西九州3,down
NK_5,西九州5,down
NK_7,西九州7,down
NK_9,西九州9,down
NK_11,西九州11,down
NK_13,西九州13,down
NK_15,西九州15,down
NK_17,西九州17,down
NK_19,西九州19,down
NK_21,西九州21,down
NK_23,西九州23,down
NK_25,西九州25,down
NK_27,西九州27,down
NK_29,西九州29,down
NK_31,西九州31,down
NK_33,西九州33,down
NK_35,西九州35,down
NK_37,西九州37,down
NK_39,西九州39,down
NK_41,西九州41,down
NK_43,西九州43,down
NK_45,西九州45,down
NK_47,西九州47,down
NK_49,西九州49,down
NK_51,西九州51,down
NK_53,西九州53,down
NK_55,西九州55,down
NK_57,西九州57,down
NK_2,西九州2,up
NK_4,西九州4,up
NK_6,西九州6,up
NK_8,西九州8,up
NK_10,西九州10,up
NK_12,西九州12,up
NK_14,西九州14,up
NK_16,西九州16,up
NK_18,西九州18,up
NK_20,西九州20,up
NK_22,西九州22,up
NK_24,西九州24,up
NK_26,西九州26,up
NK_28,西九州28,up
NK_30,西九州30,up
NK_32,西九州32,up
NK_34,西九州34,up
NK_36,西九州36,up
NK_38,西九州38,up
NK_40,西九州40,up
NK_42,西九州42,up
NK_44,西九州44,up
NK_46,西九州46,up
NK_48,西九州48,up
NK_50,西九州50,up
NK_52,西九州52,up
NK_54,西九州54,up
NK_56,西九州56,up
NK_58,西九州58,up
