train_id,stop_order,station_id,arrival,departure
KAMOME_1,1,TAKEO_ONSEN,,06:00
KAMOME_1,2,URESHINO_ONSEN,06:07,06:08
KAMOME_1,3,SHIN_OMURA,06:18,06:19
KAMOME_1,4,ISAHAYA,06:23,06:24
KAMOME_1,5,NAGASAKI,06:30,
KAMOME_3,1,TAKEO_ONSEN,,06:23
KAMOME_3,2,URESHINO_ONSEN,06:30,06:31
KAMOME_3,3,SHIN_OMURA,06:41,06:42
KAMOME_3,4,ISAHAYA,06:46,06:47
KAMOME_3,5,NAGASAKI,06:53,
KAMOME_5,1,TAKEO_ONSEN,,06:45
KAMOME_5,2,URESHINO_ONSEN,06:52,06:53
KAMOME_5,3,SHIN_OMURA,07:03,07:04
KAMOME_5,4,ISAHAYA,07:08,07:09
KAMOME_5,5,NAGASAKI,07:15,
KAMOME_7,1,TAKEO_ONSEN,,07:08
KAMOME_7,2,URESHINO_ONSEN,07:15,07:16
KAMOME_7,3,SHIN_OMURA,07:26,07:27
KAMOME_7,4,ISAHAYA,07:31,07:32
KAMOME_7,5,NAGASAKI,07:38,
KAMOME_9,1,TAKEO_ONSEN,,07:23
KAMOME_9,2,URESHINO_ONSEN,07:30,07:31
KAMOME_9,3,SHIN_OMURA,07:41,07:42
KAMOME_9,4,ISAHAYA,07:46,07:47
KAMOME_9,5,NAGASAKI,07:53,
KAMOME_11,1,TAKEO_ONSEN,,07:38
KAMOME_11,2,URESHINO_ONSEN,07:45,07:46
KAMOME_11,3,SHIN_OMURA,07:56,07:57
KAMOME_11,4,ISAHAYA,08:01,08:02
KAMOME_11,5,NAGASAKI,08:08,
KAMOME_13,1,TAKEO_ONSEN,,07:54
KAMOME_13,2,URESHINO_ONSEN,08:01,08:02
KAMOME_13,3,SHIN_OMURA,08:12,08:13
KAMOME_13,4,ISAHAYA,08:17,08:18
KAMOME_13,5,NAGASAKI,08:24,
KAMOME_15,1,TAKEO_ONSEN,,08:10
KAMOME_15,2,URESHINO_ONSEN,08:17,08:18
KAMOME_15,3,SHIN_OMURA,08:28,08:29
KAMOME_15,4,ISAHAYA,08:33,08:34
KAMOME_15,5,NAGASAKI,08:40,
KAMOME_17,1,TAKEO_ONSEN,,08:25
KAMOME_17,2,URESHINO_ONSEN,08:32,08:33
KAMOME_17,3,SHIN_OMURA,08:43,08:44
KAMOME_17,4,ISAHAYA,08:48,08:49
KAMOME_17,5,NAGASAKI,08:55,
KAMOME_19,1,TAKEO_ONSEN,,08:40
KAMOME_19,2,URESHINO_ONSEN,08:47,08:48
KAMOME_19,3,SHIN_OMURA,08:58,08:59
KAMOME_19,4,ISAHAYA,09:03,09:04
KAMOME_19,5,NAGASAKI,09:10,
KAMOME_21,1,TAKEO_ONSEN,,08:55
KAMOME_21,2,URESHINO_ONSEN,09:02,09:03
KAMOME_21,3,SHIN_OMURA,09:13,09:14
KAMOME_21,4,ISAHAYA,09:18,09:19
KAMOME_21,5,NAGASAKI,09:25,
KAMOME_23,1,TAKEO_ONSEN,,09:10
KAMOME_23,2,URESHINO_ONSEN,09:17,09:18
KAMOME_23,3,SHIN_OMURA,09:28,09:29
KAMOME_23,4,ISAHAYA,09:33,09:34
KAMOME_23,5,NAGASAKI,09:40,
KAMOME_25,1,TAKEO_ONSEN,,09:25
KAMOME_25,2,URESHINO_ONSEN,09:32,09:33
KAMOME_25,3,SHIN_OMURA,09:43,09:44
KAMOME_25,4,ISAHAYA,09:48,09:49
KAMOME_25,5,NAGASAKI,09:55,
KAMOME_27,1,TAKEO_ONSEN,,09:40
KAMOME_27,2,URESHINO_ONSEN,09:47,09:48
KAMOME_27,3,SHIN_OMURA,09:58,09:59
KAMOME_27,4,ISAHAYA,10:03,10:04
KAMOME_27,5,NAGASAKI,10:10,
KAMOME_29,1,TAKEO_ONSEN,,09:55
KAMOME_29,2,URESHINO_ONSEN,10:02,10:03
KAMOME_29,3,SHIN_OMURA,10:13,10:14
KAMOME_29,4,ISAHAYA,10:18,10:19
KAMOME_29,5,NAGASAKI,10:25,
KAMOME_31,1,TAKEO_ONSEN,,10:25
KAMOME_31,2,URESHINO_ONSEN,10:32,10:33
KAMOME_31,3,SHIN_OMURA,10:43,10:44
KAMOME_31,4,ISAHAYA,10:48,10:49
KAMOME_31,5,NAGASAKI,10:55,
KAMOME_33,1,TAKEO_ONSEN,,10:55
KAMOME_33,2,URESHINO_ONSEN,11:02,11:03
KAMOME_33,3,SHIN_OMURA,11:13,11:14
KAMOME_33,4,ISAHAYA,11:18,11:19
KAMOME_33,5,NAGASAKI,11:25,
KAMOME_35,1,TAKEO_ONSEN,,11:25
KAMOME_35,2,URESHINO_ONSEN,11:32,11:33
KAMOME_35,3,SHIN_OMURA,11:43,11:44
KAMOME_35,4,ISAHAYA,11:48,11:49
KAMOME_35,5,NAGASAKI,11:55,
KAMOME_37,1,TAKEO_ONSEN,,11:55
KAMOME_37,2,URESHINO_ONSEN,12:02,12:03
KAMOME_37,3,SHIN_OMURA,12:13,12:14
KAMOME_37,4,ISAHAYA,12:18,12:19
KAMOME_37,5,NAGASAKI,12:25,
KAMOME_39,1,TAKEO_ONSEN,,12:25
KAMOME_39,2,URESHINO_ONSEN,12:32,12:33
KAMOME_39,3,SHIN_OMURA,12:43,12:44
KAMOME_39,4,ISAHAYA,12:48,12:49
KAMOME_39,5,NAGASAKI,12:55,
KAMOME_41,1,TAKEO_ONSEN,,12:55
KAMOME_41,2,URESHINO_ONSEN,13:02,13:03
KAMOME_41,3,SHIN_OMURA,13:13,13:14
KAMOME_41,4,ISAHAYA,13:18,13:19
KAMOME_41,5,NAGASAKI,13:25,
KAMOME_43,1,TAKEO_ONSEN,,13:25
KAMOME_43,2,URESHINO_ONSEN,13:32,13:33
KAMOME_43,3,SHIN_OMURA,13:43,13:44
KAMOME_43,4,ISAHAYA,13:48,13:49
KAMOME_43,5,NAGASAKI,13:55,
KAMOME_45,1,TAKEO_ONSEN,,13:55
KAMOME_45,2,URESHINO_ONSEN,14:02,14:03
KAMOME_45,3,SHIN_OMURA,14:13,14:14
KAMOME_45,4,ISAHAYA,14:18,14:19
KAMOME_45,5,NAGASAKI,14:25,
KAMOME_47,1,TAKEO_ONSEN,,14:25
KAMOME_47,2,URESHINO_ONSEN,14:32,14:33
KAMOME_47,3,SHIN_OMURA,14:43,14:44
KAMOME_47,4,ISAHAYA,14:48,14:49
KAMOME_47,5,NAGASAKI,14:55,
KAMOME_49,1,TAKEO_ONSEN,,14:55
KAMOME_49,2,URESHINO_ONSEN,15:02,15:03
KAMOME_49,3,SHIN_OMURA,15:13,15:14
KAMOME_49,4,ISAHAYA,15:18,15:19
KAMOME_49,5,NAGASAKI,15:25,
KAMOME_51,1,TAKEO_ONSEN,,15:25
KAMOME_51,2,URESHINO_ONSEN,15:32,15:33
KAMOME_51,3,SHIN_OMURA,15:43,15:44
KAMOME_51,4,ISAHAYA,15:48,15:49
KAMOME_51,5,NAGASAKI,15:55,
KAMOME_53,1,TAKEO_ONSEN,,15:55
KAMOME_53,2,URESHINO_ONSEN,16:02,16:03
KAMOME_53,3,SHIN_OMURA,16:13,16:14
KAMOME_53,4,ISAHAYA,16:18,16:19
KAMOME_53,5,NAGASAKI,16:25,
KAMOME_55,1,TAKEO_ONSEN,,16:10
KAMOME_55,2,URESHINO_ONSEN,16:17,16:18
KAMOME_55,3,SHIN_OMURA,16:28,16:29
KAMOME_55,4,ISAHAYA,16:33,16:34
KAMOME_55,5,NAGASAKI,16:40,
KAMOME_57,1,TAKEO_ONSEN,,16:25
KAMOME_57,2,URESHINO_ONSEN,16:32,16:33
KAMOME_57,3,SHIN_OMURA,16:43,16:44
KAMOME_57,4,ISAHAYA,16:48,16:49
KAMOME_57,5,NAGASAKI,16:55,
KAMOME_59,1,TAKEO_ONSEN,,16:55
KAMOME_59,2,URESHINO_ONSEN,17:02,17:03
KAMOME_59,3,SHIN_OMURA,17:13,17:14
KAMOME_59,4,ISAHAYA,17:18,17:19
KAMOME_59,5,NAGASAKI,17:25,
KAMOME_61,1,TAKEO_ONSEN,,17:10
KAMOME_61,2,URESHINO_ONSEN,17:17,17:18
KAMOME_61,3,SHIN_OMURA,17:28,17:29
KAMOME_61,4,ISAHAYA,17:33,17:34
KAMOME_61,5,NAGASAKI,17:40,
KAMOME_63,1,TAKEO_ONSEN,,17:25
KAMOME_63,2,URESHINO_ONSEN,17:32,17:33
KAMOME_63,3,SHIN_OMURA,17:43,17:44
KAMOME_63,4,ISAHAYA,17:48,17:49
KAMOME_63,5,NAGASAKI,17:55,
KAMOME_65,1,TAKEO_ONSEN,,17:55
KAMOME_65,2,URESHINO_ONSEN,18:02,18:03
KAMOME_65,3,SHIN_OMURA,18:13,18:14
KAMOME_65,4,ISAHAYA,18:18,18:19
KAMOME_65,5,NAGASAKI,18:25,
KAMOME_67,1,TAKEO_ONSEN,,18:10
KAMOME_67,2,URESHINO_ONSEN,18:17,18:18
KAMOME_67,3,SHIN_OMURA,18:28,18:29
KAMOME_67,4,ISAHAYA,18:33,18:34
KAMOME_67,5,NAGASAKI,18:40,
KAMOME_69,1,TAKEO_ONSEN,,18:25
KAMOME_69,2,URESHINO_ONSEN,18:32,18:33
KAMOME_69,3,SHIN_OMURA,18:43,18:44
KAMOME_69,4,ISAHAYA,18:48,18:49
KAMOME_69,5,NAGASAKI,18:55,
