train_id,stop_order,station_id,arrival,departure
ODORIKO_1,1,TOKYO,,08:00
ODORIKO_1,2,SHINAGAWA,08:07,08:08
ODORIKO_1,3,YOKOHAMA,08:25,08:27
ODORIKO_1,4,ODAWARA,09:07,09:08
ODORIKO_1,5,ATAMI,09:20,09:22
ODORIKO_1,6,ITO,09:45,09:47
ODORIKO_1,7,IZUKOGEN,10:05,10:07
ODORIKO_1,8,KAWAZU,10:35,10:36
ODORIKO_1,9,IZUKYU_SHIMODA,10:50,
ODORIKO_3,1,TOKYO,,09:00
ODORIKO_3,2,SHINAGAWA,09:07,09:08
ODORIKO_3,3,YOKOHAMA,09:25,09:27
ODORIKO_3,4,ODAWARA,10:07,10:08
ODORIKO_3,5,ATAMI,10:20,10:22
ODORIKO_3,6,ITO,10:45,10:47
ODORIKO_3,7,IZUKOGEN,11:05,11:07
ODORIKO_3,8,KAWAZU,11:35,11:36
ODORIKO_3,9,IZUKYU_SHIMODA,11:50,
ODORIKO_5,1,TOKYO,,10:00
ODORIKO_5,2,SHINAGAWA,10:07,10:08
ODORIKO_5,3,YOKOHAMA,10:25,10:27
ODORIKO_5,4,ODAWARA,11:07,11:08
ODORIKO_5,5,ATAMI,11:20,11:22
ODORIKO_5,6,ITO,11:45,11:47
ODORIKO_5,7,IZUKOGEN,12:05,12:07
ODORIKO_5,8,KAWAZU,12:35,12:36
ODORIKO_5,9,IZUKYU_SHIMODA,12:50,
ODORIKO_7,1,TOKYO,,11:00
ODORIKO_7,2,SHINAGAWA,11:07,11:08
ODORIKO_7,3,YOKOHAMA,11:25,11:27
ODORIKO_7,4,ODAWARA,12:07,12:08
ODORIKO_7,5,ATAMI,12:20,12:22
ODORIKO_7,6,ITO,12:45,12:47
ODORIKO_7,7,IZUKOGEN,13:05,13:07
ODORIKO_7,8,KAWAZU,13:35,13:36
ODORIKO_7,9,IZUKYU_SHIMODA,13:50,
ODORIKO_9,1,TOKYO,,13:00
ODORIKO_9,2,SHINAGAWA,13:07,13:08
ODORIKO_9,3,YOKOHAMA,13:25,13:27
ODORIKO_9,4,ODAWARA,14:07,14:08
ODORIKO_9,5,ATAMI,14:20,14:22
ODORIKO_9,6,ITO,14:45,14:47
ODORIKO_9,7,IZUKOGEN,15:05,15:07
ODORIKO_9,8,KAWAZU,15:35,15:36
ODORIKO_9,9,IZUKYU_SHIMODA,15:50,
ODORIKO_11,1,TOKYO,,15:00
ODORIKO_11,2,SHINAGAWA,15:07,15:08
ODORIKO_11,3,YOKOHAMA,15:25,15:27
ODORIKO_11,4,ODAWARA,16:07,16:08
ODORIKO_11,5,ATAMI,16:20,16:22
ODORIKO_11,6,ITO,16:45,16:47
ODORIKO_11,7,IZUKOGEN,17:05,17:07
ODORIKO_11,8,KAWAZU,17:35,17:36
ODORIKO_11,9,IZUKYU_SHIMODA,17:50,
ODORIKO_13,1,TOKYO,,17:00
ODORIKO_13,2,SHINAGAWA,17:07,17:08
ODORIKO_13,3,YOKOHAMA,17:25,17:27
ODORIKO_13,4,ODAWARA,18:07,18:08
ODORIKO_13,5,ATAMI,18:20,18:22
ODORIKO_13,6,ITO,18:45,18:47
ODORIKO_13,7,IZUKOGEN,19:05,19:07
ODORIKO_13,8,KAWAZU,19:35,19:36
ODORIKO_13,9,IZUKYU_SHIMODA,19:50,
ODORIKO_15,1,TOKYO,,19:00
ODORIKO_15,2,SHINAGAWA,19:07,19:08
ODORIKO_15,3,YOKOHAMA,19:25,19:27
ODORIKO_15,4,ODAWARA,20:07,20:08
ODORIKO_15,5,ATAMI,20:20,20:22
ODORIKO_15,6,ITO,20:45,20:47
ODORIKO_15,7,IZUKOGEN,21:05,21:07
ODORIKO_15,8,KAWAZU,21:35,21:36
ODORIKO_15,9,IZUKYU_SHIMODA,21:50,
ODORIKO_2,1,IZUKYU_SHIMODA,,06:30
ODORIKO_2,2,KAWAZU,06:44,06:45
ODORIKO_2,3,IZUKOGEN,07:13,07:15
ODORIKO_2,4,ITO,07:33,07:35
ODORIKO_2,5,ATAMI,07:58,08:00
ODORIKO_2,6,ODAWARA,08:12,08:13
ODORIKO_2,7,YOKOHAMA,08:53,08:55
ODORIKO_2,8,SHINAGAWA,09:12,09:13
ODORIKO_2,9,TOKYO,09:20,
ODORIKO_4,1,IZUKYU_SHIMODA,,08:00
ODORIKO_4,2,KAWAZU,08:14,08:15
ODORIKO_4,3,IZUKOGEN,08:43,08:45
ODORIKO_4,4,ITO,09:03,09:05
ODORIKO_4,5,ATAMI,09:28,09:30
ODORIKO_4,6,ODAWARA,09:42,09:43
ODORIKO_4,7,YOKOHAMA,10:23,10:25
ODORIKO_4,8,SHINAGAWA,10:42,10:43
ODORIKO_4,9,TOKYO,10:50,
ODORIKO_6,1,IZUKYU_SHIMODA,,10:00
ODORIKO_6,2,KAWAZU,10:14,10:15
ODORIKO_6,3,IZUKOGEN,10:43,10:45
ODORIKO_6,4,ITO,11:03,11:05
ODORIKO_6,5,ATAMI,11:28,11:30
ODORIKO_6,6,ODAWARA,11:42,11:43
ODORIKO_6,7,YOKOHAMA,12:23,12:25
ODORIKO_6,8,SHINAGAWA,12:42,12:43
ODORIKO_6,9,TOKYO,12:50,
ODORIKO_8,1,IZUKYU_SHIMODA,,11:30
ODORIKO_8,2,KAWAZU,11:44,11:45
ODORIKO_8,3,IZUKOGEN,12:13,12:15
ODORIKO_8,4,ITO,12:33,12:35
ODORIKO_8,5,ATAMI,12:58,13:00
ODORIKO_8,6,ODAWARA,13:12,13:13
ODORIKO_8,7,YOKOHAMA,13:53,13:55
ODORIKO_8,8,SHINAGAWA,14:12,14:13
ODORIKO_8,9,TOKYO,14:20,
ODORIKO_10,1,IZUKYU_SHIMODA,,13:00
ODORIKO_10,2,KAWAZU,13:14,13:15
ODORIKO_10,3,IZUKOGEN,13:43,13:45
ODORIKO_10,4,ITO,14:03,14:05
ODORIKO_10,5,ATAMI,14:28,14:30
ODORIKO_10,6,ODAWARA,14:42,14:43
ODORIKO_10,7,YOKOHAMA,15:23,15:25
ODORIKO_10,8,SHINAGAWA,15:42,15:43
ODORIKO_10,9,TOKYO,15:50,
ODORIKO_12,1,IZUKYU_SHIMODA,,15:00
ODORIKO_12,2,KAWAZU,15:14,15:15
ODORIKO_12,3,IZUKOGEN,15:43,15:45
ODORIKO_12,4,ITO,16:03,16:05
ODORIKO_12,5,ATAMI,16:28,16:30
ODORIKO_12,6,ODAWARA,16:42,16:43
ODORIKO_12,7,YOKOHAMA,17:23,17:25
ODORIKO_12,8,SHINAGAWA,17:42,17:43
ODORIKO_12,9,TOKYO,17:50,
ODORIKO_14,1,IZUKYU_SHIMODA,,17:00
ODORIKO_14,2,KAWAZU,17:14,17:15
ODORIKO_14,3,IZUKOGEN,17:43,17:45
ODORIKO_14,4,ITO,18:03,18:05
ODORIKO_14,5,ATAMI,18:28,18:30
ODORIKO_14,6,ODAWARA,18:42,18:43
ODORIKO_14,7,YOKOHAMA,19:23,19:25
ODORIKO_14,8,SHINAGAWA,19:42,19:43
ODORIKO_14,9,TOKYO,19:50,
ODORIKO_16,1,IZUKYU_SHIMODA,,18:30
ODORIKO_16,2,KAWAZU,18:44,18:45
ODORIKO_16,3,IZUKOGEN,19:13,19:15
ODORIKO_16,4,ITO,19:33,19:35
ODORIKO_16,5,ATAMI,19:58,20:00
ODORIKO_16,6,ODAWARA,20:12,20:13
ODORIKO_16,7,YOKOHAMA,20:53,20:55
ODORIKO_16,8,SHINAGAWA,21:12,21:13
ODORIKO_16,9,TOKYO,21:20,
