train_id,stop_order,station_id,arrival,departure
OD_1,1,TOKYO,,09:00
OD_1,2,SHINAGAWA,09:07,09:08
OD_1,3,YOKOHAMA,09:27,09:28
OD_1,4,ODAWARA,10:05,10:06
OD_1,5,ATAMI,10:20,10:22
OD_1,6,ITO,10:45,10:46
OD_1,7,IZUKOGEN,11:00,11:01
OD_1,8,KAWAZU,11:25,11:26
OD_1,9,IZUKYU_SHIMODA,11:40,
OD_3,1,TOKYO,,10:00
OD_3,2,SHINAGAWA,10:07,10:08
OD_3,3,YOKOHAMA,10:27,10:28
OD_3,4,ODAWARA,11:05,11:06
OD_3,5,ATAMI,11:20,11:22
OD_3,6,ITO,11:45,11:46
OD_3,7,IZUKOGEN,12:00,12:01
OD_3,8,KAWAZU,12:25,12:26
OD_3,9,IZUKYU_SHIMODA,12:40,
OD_5,1,TOKYO,,12:00
OD_5,2,SHINAGAWA,12:07,12:08
OD_5,3,YOKOHAMA,12:27,12:28
OD_5,4,ODAWARA,13:05,13:06
OD_5,5,ATAMI,13:20,13:22
OD_5,6,ITO,13:45,13:46
OD_5,7,IZUKOGEN,14:00,14:01
OD_5,8,KAWAZU,14:25,14:26
OD_5,9,IZUKYU_SHIMODA,14:40,
OD_7,1,TOKYO,,14:00
OD_7,2,SHINAGAWA,14:07,14:08
OD_7,3,YOKOHAMA,14:27,14:28
OD_7,4,ODAWARA,15:05,15:06
OD_7,5,ATAMI,15:20,15:22
OD_7,6,ITO,15:45,15:46
OD_7,7,IZUKOGEN,16:00,16:01
OD_7,8,KAWAZU,16:25,16:26
OD_7,9,IZUKYU_SHIMODA,16:40,
OD_9,1,TOKYO,,18:00
OD_9,2,SHINAGAWA,18:07,18:08
OD_9,3,YOKOHAMA,18:27,18:28
OD_9,4,ODAWARA,19:05,19:06
OD_9,5,ATAMI,19:20,19:22
OD_9,6,ITO,19:45,19:46
OD_9,7,IZUKOGEN,20:00,20:01
OD_9,8,KAWAZU,20:25,20:26
OD_9,9,IZUKYU_SHIMODA,20:40,
OD_2,1,IZUKYU_SHIMODA,,08:00
OD_2,2,KAWAZU,08:14,08:15
OD_2,3,IZUKOGEN,08:39,08:40
OD_2,4,ITO,08:54,08:55
OD_2,5,ATAMI,09:18,09:20
OD_2,6,ODAWARA,09:34,09:35
OD_2,7,YOKOHAMA,10:12,10:13
OD_2,8,SHINAGAWA,10:32,10:33
OD_2,9,TOKYO,10:40,
OD_4,1,IZUKYU_SHIMODA,,11:00
OD_4,2,KAWAZU,11:14,11:15
OD_4,3,IZUKOGEN,11:39,11:40
OD_4,4,ITO,11:54,11:55
OD_4,5,ATAMI,12:18,12:20
OD_4,6,ODAWARA,12:34,12:35
OD_4,7,YOKOHAMA,13:12,13:13
OD_4,8,SHINAGAWA,13:32,13:33
OD_4,9,TOKYO,13:40,
OD_6,1,IZUKYU_SHIMODA,,14:00
OD_6,2,KAWAZU,14:14,14:15
OD_6,3,IZUKOGEN,14:39,14:40
OD_6,4,ITO,14:54,14:55
OD_6,5,ATAMI,15:18,15:20
OD_6,6,ODAWARA,15:34,15:35
OD_6,7,YOKOHAMA,16:12,16:13
OD_6,8,SHINAGAWA,16:32,16:33
OD_6,9,TOKYO,16:40,
OD_8,1,IZUKYU_SHIMODA,,16:00
OD_8,2,KAWAZU,16:14,16:15
OD_8,3,IZUKOGEN,16:39,16:40
OD_8,4,ITO,16:54,16:55
OD_8,5,ATAMI,17:18,17:20
OD_8,6,ODAWARA,17:34,17:35
OD_8,7,YOKOHAMA,18:12,18:13
OD_8,8,SHINAGAWA,18:32,18:33
OD_8,9,TOKYO,18:40,
OD_10,1,IZUKYU_SHIMODA,,18:00
OD_10,2,KAWAZU,18:14,18:15
OD_10,3,IZUKOGEN,18:39,18:40
OD_10,4,ITO,18:54,18:55
OD_10,5,ATAMI,19:18,19:20
OD_10,6,ODAWARA,19:34,19:35
OD_10,7,YOKOHAMA,20:12,20:13
OD_10,8,SHINAGAWA,20:32,20:33
OD_10,9,TOKYO,20:40,
