train_id,stop_order,station_id,arrival,departure
OKHOTSK_1,1,SAPPORO,,06:56
OKHOTSK_1,2,ASAHIKAWA,08:21,08:26
OKHOTSK_1,3,KAMIKAWA,09:13,09:14
OKHOTSK_1,4,ENGARU,10:16,10:17
OKHOTSK_1,5,KITAMI,11:10,11:12
OKHOTSK_1,6,ABASHIRI,12:26,
OKHOTSK_3,1,SAPPORO,,17:30
OKHOTSK_3,2,ASAHIKAWA,18:55,19:00
OKHOTSK_3,3,KAMIKAWA,19:47,19:48
OKHOTSK_3,4,ENGARU,20:50,20:51
OKHOTSK_3,5,KITAMI,21:44,21:46
OKHOTSK_3,6,ABASHIRI,23:00,
OKHOTSK_2,1,ABASHIRI,,08:05
OKHOTSK_2,2,KITAMI,09:19,09:21
OKHOTSK_2,3,ENGARU,10:14,10:15
OKHOTSK_2,4,KAMIKAWA,11:17,11:18
OKHOTSK_2,5,ASAHIKAWA,12:05,12:10
OKHOTSK_2,6,SAPPORO,13:35,
OKHOTSK_4,1,ABASHIRI,,17:25
OKHOTSK_4,2,KITAMI,18:39,18:41
OKHOTSK_4,3,ENGARU,19:34,19:35
OKHOTSK_4,4,KAMIKAWA,20:37,20:38
OKHOTSK_4,5,ASAHIKAWA,21:25,21:30
OKHOTSK_4,6,SAPPORO,22:55,
TAISETSU_1,1,ASAHIKAWA,,11:05
TAISETSU_1,2,KAMIKAWA,11:57,11:58
TAISETSU_1,3,ENGARU,13:00,13:01
TAISETSU_1,4,KITAMI,13:54,13:56
TAISETSU_1,5,ABASHIRI,15:05,
TAISETSU_3,1,ASAHIKAWA,,17:25
TAISETSU_3,2,KAMIKAWA,18:17,18:18
TAISETSU_3,3,ENGARU,19:20,19:21
TAISETSU_3,4,KITAMI,20:14,20:16
TAISETSU_3,5,ABASHIRI,21:25,
TAISETSU_2,1,ABASHIRI,,07:09
TAISETSU_2,2,KITAMI,08:18,08:20
TAISETSU_2,3,ENGARU,09:13,09:14
TAISETSU_2,4,KAMIKAWA,10:16,10:17
TAISETSU_2,5,ASAHIKAWA,11:09,
TAISETSU_4,1,ABASHIRI,,13:30
TAISETSU_4,2,KITAMI,14:39,14:41
TAISETSU_4,3,ENGARU,15:34,15:35
TAISETSU_4,4,KAMIKAWA,16:37,16:38
TAISETSU_4,5,ASAHIKAWA,17:30,
