train_id,stop_order,station_id,arrival,departure
OK_1,1,SAPPORO,,06:00
OK_1,2,ASAHIKAWA,07:25,07:30
OK_1,3,KAMIKAWA,08:15,08:16
OK_1,4,ENGARU,09:25,09:30
OK_1,5,KITAMI,10:20,10:21
OK_1,6,ABASHIRI,11:20,
OK_3,1,SAPPORO,,17:00
OK_3,2,ASAHIKAWA,18:25,18:30
OK_3,3,KAMIKAWA,19:15,19:16
OK_3,4,ENGARU,20:25,20:30
OK_3,5,KITAMI,21:20,21:21
OK_3,6,ABASHIRI,22:20,
TS_5,1,ASAHIKAWA,,09:00
TS_5,2,KAMIKAWA,09:45,09:46
TS_5,3,ENGARU,10:55,11:00
TS_5,4,KITAMI,11:50,11:51
TS_5,5,ABASHIRI,12:50,
TS_7,1,ASAHIKAWA,,14:00
TS_7,2,KAMIKAWA,14:45,14:46
TS_7,3,ENGARU,15:55,16:00
TS_7,4,KITAMI,16:50,16:51
TS_7,5,ABASHIRI,17:50,
OK_2,1,ABASHIRI,,07:00
OK_2,2,KITAMI,07:59,08:00
OK_2,3,ENGARU,08:50,08:55
OK_2,4,KAMIKAWA,10:04,10:05
OK_2,5,ASAHIKAWA,10:50,10:55
OK_2,6,SAPPORO,12:20,
OK_4,1,ABASHIRI,,14:00
OK_4,2,KITAMI,14:59,15:00
OK_4,3,ENGARU,15:50,15:55
OK_4,4,KAMIKAWA,17:04,17:05
OK_4,5,ASAHIKAWA,17:50,17:55
OK_4,6,SAPPORO,19:20,
TS_6,1,ABASHIRI,,10:00
TS_6,2,KITAMI,10:59,11:00
TS_6,3,ENGARU,11:50,11:55
TS_6,4,KAMIKAWA,13:04,13:05
TS_6,5,ASAHIKAWA,13:50,
TS_8,1,ABASHIRI,,16:00
TS_8,2,KITAMI,16:59,17:00
TS_8,3,ENGARU,17:50,17:55
TS_8,4,KAMIKAWA,19:04,19:05
TS_8,5,ASAHIKAWA,19:50,
