train_id,stop_order,station_id,arrival,departure
OZORA_1,1,SAPPORO,,06:53
OZORA_1,2,MINAMI_CHITOSE,07:26,07:27
OZORA_1,3,SHIN_YUBARI,08:03,08:04
OZORA_1,4,TOMAMU,08:23,08:24
OZORA_1,5,SHINTOKU,09:03,09:04
OZORA_1,6,OBIHIRO,09:33,09:36
OZORA_1,7,IKEDA,09:58,09:59
OZORA_1,8,KUSHIRO,10:53,
OZORA_3,1,SAPPORO,,08:21
OZORA_3,2,MINAMI_CHITOSE,08:54,08:55
OZORA_3,3,SHIN_YUBARI,09:31,09:32
OZORA_3,4,TOMAMU,09:51,09:52
OZORA_3,5,SHINTOKU,10:31,10:32
OZORA_3,6,OBIHIRO,11:01,11:04
OZORA_3,7,IKEDA,11:26,11:27
OZORA_3,8,KUSHIRO,12:21,
OZORA_5,1,SAPPORO,,11:35
OZORA_5,2,MINAMI_CHITOSE,12:08,12:09
OZORA_5,3,SHIN_YUBARI,12:45,12:46
OZORA_5,4,TOMAMU,13:05,13:06
OZORA_5,5,SHINTOKU,13:45,13:46
OZORA_5,6,OBIHIRO,14:15,14:18
OZORA_5,7,IKEDA,14:40,14:41
OZORA_5,8,KUSHIRO,15:35,
OZORA_7,1,SAPPORO,,13:39
OZORA_7,2,MINAMI_CHITOSE,14:12,14:13
OZORA_7,3,SHIN_YUBARI,14:49,14:50
OZORA_7,4,TOMAMU,15:09,15:10
OZORA_7,5,SHINTOKU,15:49,15:50
OZORA_7,6,OBIHIRO,16:19,16:22
OZORA_7,7,IKEDA,16:44,16:45
OZORA_7,8,KUSHIRO,17:39,
OZORA_9,1,SAPPORO,,17:08
OZORA_9,2,MINAMI_CHITOSE,17:41,17:42
OZORA_9,3,SHIN_YUBARI,18:18,18:19
OZORA_9,4,TOMAMU,18:38,18:39
OZORA_9,5,SHINTOKU,19:18,19:19
OZORA_9,6,OBIHIRO,19:48,19:51
OZORA_9,7,IKEDA,20:13,20:14
OZORA_9,8,KUSHIRO,21:08,
OZORA_11,1,SAPPORO,,19:48
OZORA_11,2,MINAMI_CHITOSE,20:21,20:22
OZORA_11,3,SHIN_YUBARI,20:58,20:59
OZORA_11,4,TOMAMU,21:18,21:19
OZORA_11,5,SHINTOKU,21:58,21:59
OZORA_11,6,OBIHIRO,22:28,22:31
OZORA_11,7,IKEDA,22:53,22:54
OZORA_11,8,KUSHIRO,23:48,
OZORA_2,1,KUSHIRO,,05:55
OZORA_2,2,IKEDA,06:49,06:50
OZORA_2,3,OBIHIRO,07:12,07:15
OZORA_2,4,SHINTOKU,07:44,07:45
OZORA_2,5,TOMAMU,08:24,08:25
OZORA_2,6,SHIN_YUBARI,08:44,08:45
OZORA_2,7,MINAMI_CHITOSE,09:21,09:22
OZORA_2,8,SAPPORO,09:55,
OZORA_4,1,KUSHIRO,,08:14
OZORA_4,2,IKEDA,09:08,09:09
OZORA_4,3,OBIHIRO,09:31,09:34
OZORA_4,4,SHINTOKU,10:03,10:04
OZORA_4,5,TOMAMU,10:43,10:44
OZORA_4,6,SHIN_YUBARI,11:03,11:04
OZORA_4,7,MINAMI_CHITOSE,11:40,11:41
OZORA_4,8,SAPPORO,12:14,
OZORA_6,1,KUSHIRO,,10:34
OZORA_6,2,IKEDA,11:28,11:29
OZORA_6,3,OBIHIRO,11:51,11:54
OZORA_6,4,SHINTOKU,12:23,12:24
OZORA_6,5,TOMAMU,13:03,13:04
OZORA_6,6,SHIN_YUBARI,13:23,13:24
OZORA_6,7,MINAMI_CHITOSE,14:00,14:01
OZORA_6,8,SAPPORO,14:34,
OZORA_8,1,KUSHIRO,,13:00
OZORA_8,2,IKEDA,13:54,13:55
OZORA_8,3,OBIHIRO,14:17,14:20
OZORA_8,4,SHINTOKU,14:49,14:50
OZORA_8,5,TOMAMU,15:29,15:30
OZORA_8,6,SHIN_YUBARI,15:49,15:50
OZORA_8,7,MINAMI_CHITOSE,16:26,16:27
OZORA_8,8,SAPPORO,17:00,
OZORA_10,1,KUSHIRO,,16:05
OZORA_10,2,IKEDA,16:59,17:00
OZORA_10,3,OBIHIRO,17:22,17:25
OZORA_10,4,SHINTOKU,17:54,17:55
OZORA_10,5,TOMAMU,18:34,18:35
OZORA_10,6,SHIN_YUBARI,18:54,18:55
OZORA_10,7,MINAMI_CHITOSE,19:31,19:32
OZORA_10,8,SAPPORO,20:05,
OZORA_12,1,KUSHIRO,,19:17
OZORA_12,2,IKEDA,20:11,20:12
OZORA_12,3,OBIHIRO,20:34,20:37
OZORA_12,4,SHINTOKU,21:06,21:07
OZORA_12,5,TOMAMU,21:46,21:47
OZORA_12,6,SHIN_YUBARI,22:06,22:07
OZORA_12,7,MINAMI_CHITOSE,22:43,22:44
OZORA_12,8,SAPPORO,23:17,
TOKACHI_1,1,SAPPORO,,07:34
TOKACHI_1,2,MINAMI_CHITOSE,08:07,08:08
TOKACHI_1,3,SHIN_YUBARI,08:44,08:45
TOKACHI_1,4,TOMAMU,09:04,09:05
TOKACHI_1,5,SHINTOKU,09:44,09:45
TOKACHI_1,6,OBIHIRO,10:14,
TOKACHI_3,1,SAPPORO,,10:38
TOKACHI_3,2,MINAMI_CHITOSE,11:11,11:12
TOKACHI_3,3,SHIN_YUBARI,11:48,11:49
TOKACHI_3,4,TOMAMU,12:08,12:09
TOKACHI_3,5,SHINTOKU,12:48,12:49
TOKACHI_3,6,OBIHIRO,13:18,
TOKACHI_5,1,SAPPORO,,14:48
TOKACHI_5,2,MINAMI_CHITOSE,15:21,15:22
TOKACHI_5,3,SHIN_YUBARI,15:58,15:59
TOKACHI_5,4,TOMAMU,16:18,16:19
TOKACHI_5,5,SHINTOKU,16:58,16:59
TOKACHI_5,6,OBIHIRO,17:28,
TOKACHI_7,1,SAPPORO,,16:18
TOKACHI_7,2,MINAMI_CHITOSE,16:51,16:52
TOKACHI_7,3,SHIN_YUBARI,17:28,17:29
