train_id,stop_order,station_id,arrival,departure
OZ_1,1,SAPPORO,,07:00
OZ_1,2,MINAMI_CHITOSE,07:35,07:36
OZ_1,3,SHIN_YUBARI,08:10,08:11
OZ_1,4,TOMAMU,08:40,08:41
OZ_1,5,SHINTOKU,09:00,09:01
OZ_1,6,OBIHIRO,09:25,09:26
OZ_1,7,IKEDA,09:40,09:41
OZ_1,8,KUSHIRO,10:55,
OZ_3,1,SAPPORO,,09:00
OZ_3,2,MINAMI_CHITOSE,09:35,09:36
OZ_3,3,SHIN_YUBARI,10:10,10:11
OZ_3,4,TOMAMU,10:40,10:41
OZ_3,5,SHINTOKU,11:00,11:01
OZ_3,6,OBIHIRO,11:25,11:26
OZ_3,7,IKEDA,11:40,11:41
OZ_3,8,KUSHIRO,12:55,
OZ_5,1,SAPPORO,,12:00
OZ_5,2,MINAMI_CHITOSE,12:35,12:36
OZ_5,3,SHIN_YUBARI,13:10,13:11
OZ_5,4,TOMAMU,13:40,13:41
OZ_5,5,SHINTOKU,14:00,14:01
OZ_5,6,OBIHIRO,14:25,14:26
OZ_5,7,IKEDA,14:40,14:41
OZ_5,8,KUSHIRO,15:55,
OZ_7,1,SAPPORO,,14:00
OZ_7,2,MINAMI_CHITOSE,14:35,14:36
OZ_7,3,SHIN_YUBARI,15:10,15:11
OZ_7,4,TOMAMU,15:40,15:41
OZ_7,5,SHINTOKU,16:00,16:01
OZ_7,6,OBIHIRO,16:25,16:26
OZ_7,7,IKEDA,16:40,16:41
OZ_7,8,KUSHIRO,17:55,
OZ_9,1,SAPPORO,,17:00
OZ_9,2,MINAMI_CHITOSE,17:35,17:36
OZ_9,3,SHIN_YUBARI,18:10,18:11
OZ_9,4,TOMAMU,18:40,18:41
OZ_9,5,SHINTOKU,19:00,19:01
OZ_9,6,OBIHIRO,19:25,19:26
OZ_9,7,IKEDA,19:40,19:41
OZ_9,8,KUSHIRO,20:55,
OZ_11,1,SAPPORO,,19:00
OZ_11,2,MINAMI_CHITOSE,19:35,19:36
OZ_11,3,SHIN_YUBARI,20:10,20:11
OZ_11,4,TOMAMU,20:40,20:41
OZ_11,5,SHINTOKU,21:00,21:01
OZ_11,6,OBIHIRO,21:25,21:26
OZ_11,7,IKEDA,21:40,21:41
OZ_11,8,KUSHIRO,22:55,
TK_13,1,SAPPORO,,08:00
TK_13,2,MINAMI_CHITOSE,08:35,08:36
TK_13,3,SHIN_YUBARI,09:10,09:11
