train_id,stop_order,station_id,arrival,departure
RAPIT_A_1,1,NAMBA,,06:00
RAPIT_A_1,2,SHIN_IMAMIYA,06:03,06:04
RAPIT_A_1,3,TENGACHAYA,06:06,06:07
RAPIT_A_1,4,KANSAI_AIRPORT,06:34,
RAPIT_A_3,1,NAMBA,,07:00
RAPIT_A_3,2,SHIN_IMAMIYA,07:03,07:04
RAPIT_A_3,3,TENGACHAYA,07:06,07:07
RAPIT_A_3,4,KANSAI_AIRPORT,07:34,
RAPIT_A_5,1,NAMBA,,08:00
RAPIT_A_5,2,SHIN_IMAMIYA,08:03,08:04
RAPIT_A_5,3,TENGACHAYA,08:06,08:07
RAPIT_A_5,4,KANSAI_AIRPORT,08:34,
RAPIT_A_7,1,NAMBA,,09:00
RAPIT_A_7,2,SHIN_IMAMIYA,09:03,09:04
RAPIT_A_7,3,TENGACHAYA,09:06,09:07
RAPIT_A_7,4,KANSAI_AIRPORT,09:34,
RAPIT_A_9,1,NAMBA,,10:00
RAPIT_A_9,2,SHIN_IMAMIYA,10:03,10:04
RAPIT_A_9,3,TENGACHAYA,10:06,10:07
RAPIT_A_9,4,KANSAI_AIRPORT,10:34,
RAPIT_A_11,1,NAMBA,,11:00
RAPIT_A_11,2,SHIN_IMAMIYA,11:03,11:04
RAPIT_A_11,3,TENGACHAYA,11:06,11:07
RAPIT_A_11,4,KANSAI_AIRPORT,11:34,
RAPIT_A_13,1,NAMBA,,12:00
RAPIT_A_13,2,SHIN_IMAMIYA,12:03,12:04
RAPIT_A_13,3,TENGACHAYA,12:06,12:07
RAPIT_A_13,4,KANSAI_AIRPORT,12:34,
RAPIT_A_15,1,NAMBA,,13:00
RAPIT_A_15,2,SHIN_IMAMIYA,13:03,13:04
RAPIT_A_15,3,TENGACHAYA,13:06,13:07
RAPIT_A_15,4,KANSAI_AIRPORT,13:34,
RAPIT_A_17,1,NAMBA,,14:00
RAPIT_A_17,2,SHIN_IMAMIYA,14:03,14:04
RAPIT_A_17,3,TENGACHAYA,14:06,14:07
RAPIT_A_17,4,KANSAI_AIRPORT,14:34,
RAPIT_A_19,1,NAMBA,,15:00
RAPIT_A_19,2,SHIN_IMAMIYA,15:03,15:04
RAPIT_A_19,3,TENGACHAYA,15:06,15:07
RAPIT_A_19,4,KANSAI_AIRPORT,15:34,
RAPIT_A_21,1,NAMBA,,16:00
RAPIT_A_21,2,SHIN_IMAMIYA,16:03,16:04
RAPIT_A_21,3,TENGACHAYA,16:06,16:07
RAPIT_A_21,4,KANSAI_AIRPORT,16:34,
RAPIT_A_23,1,NAMBA,,17:00
RAPIT_A_23,2,SHIN_IMAMIYA,17:03,17:04
RAPIT_A_23,3,TENGACHAYA,17:06,17:07
RAPIT_A_23,4,KANSAI_AIRPORT,17:34,
RAPIT_A_25,1,NAMBA,,18:00
RAPIT_A_25,2,SHIN_IMAMIYA,18:03,18:04
RAPIT_A_25,3,TENGACHAYA,18:06,18:07
RAPIT_A_25,4,KANSAI_AIRPORT,18:34,
RAPIT_A_27,1,NAMBA,,19:00
RAPIT_A_27,2,SHIN_IMAMIYA,19:03,19:04
RAPIT_A_27,3,TENGACHAYA,19:06,19:07
RAPIT_A_27,4,KANSAI_AIRPORT,19:34,
RAPIT_A_29,1,NAMBA,,20:00
RAPIT_A_29,2,SHIN_IMAMIYA,20:03,20:04
RAPIT_A_29,3,TENGACHAYA,20:06,20:07
RAPIT_A_29,4,KANSAI_AIRPORT,20:34,
RAPIT_A_31,1,NAMBA,,21:00
RAPIT_A_31,2,SHIN_IMAMIYA,21:03,21:04
RAPIT_A_31,3,TENGACHAYA,21:06,21:07
RAPIT_A_31,4,KANSAI_AIRPORT,21:34,
RAPIT_A_33,1,NAMBA,,22:00
RAPIT_A_33,2,SHIN_IMAMIYA,22:03,22:04
RAPIT_A_33,3,TENGACHAYA,22:06,22:07
RAPIT_A_33,4,KANSAI_AIRPORT,22:34,
RAPIT_A_2,1,KANSAI_AIRPORT,,07:00
RAPIT_A_2,2,TENGACHAYA,07:27,07:28
RAPIT_A_2,3,SHIN_IMAMIYA,07:30,07:31
RAPIT_A_2,4,NAMBA,07:34,
RAPIT_A_4,1,KANSAI_AIRPORT,,08:00
RAPIT_A_4,2,TENGACHAYA,08:27,08:28
RAPIT_A_4,3,SHIN_IMAMIYA,08:30,08:31
RAPIT_A_4,4,NAMBA,08:34,
RAPIT_A_6,1,KANSAI_AIRPORT,,09:00
RAPIT_A_6,2,TENGACHAYA,09:27,09:28
RAPIT_A_6,3,SHIN_IMAMIYA,09:30,09:31
RAPIT_A_6,4,NAMBA,09:34,
RAPIT_A_8,1,KANSAI_AIRPORT,,10:00
RAPIT_A_8,2,TENGACHAYA,10:27,10:28
RAPIT_A_8,3,SHIN_IMAMIYA,10:30,10:31
RAPIT_A_8,4,NAMBA,10:34,
RAPIT_A_10,1,KANSAI_AIRPORT,,11:00
RAPIT_A_10,2,TENGACHAYA,11:27,11:28
RAPIT_A_10,3,SHIN_IMAMIYA,11:30,11:31
RAPIT_A_10,4,NAMBA,11:34,
RAPIT_A_12,1,KANSAI_AIRPORT,,12:00
RAPIT_A_12,2,TENGACHAYA,12:27,12:28
RAPIT_A_12,3,SHIN_IMAMIYA,12:30,12:31
RAPIT_A_12,4,NAMBA,12:34,
RAPIT_A_14,1,KANSAI_AIRPORT,,13:00
RAPIT_A_14,2,TENGACHAYA,13:27,13:28
RAPIT_A_14,3,SHIN_IMAMIYA,13:30,13:31
RAPIT_A_14,4,NAMBA,13:34,
RAPIT_A_16,1,KANSAI_AIRPORT,,14:00
RAPIT_A_16,2,TENGACHAYA,14:27,14:28
RAPIT_A_16,3,SHIN_IMAMIYA,14:30,14:31
RAPIT_A_16,4,NAMBA,14:34,
RAPIT_A_18,1,KANSAI_AIRPORT,,15:00
RAPIT_A_18,2,TENGACHAYA,15:27,15:28
RAPIT_A_18,3,SHIN_IMAMIYA,15:30,15:31
RAPIT_A_18,4,NAMBA,15:34,
RAPIT_A_20,1,KANSAI_AIRPORT,,16:00
RAPIT_A_20,2,TENGACHAYA,16:27,16:28
RAPIT_A_20,3,SHIN_IMAMIYA,16:30,16:31
RAPIT_A_20,4,NAMBA,16:34,
RAPIT_A_22,1,KANSAI_AIRPORT,,17:00
RAPIT_A_22,2,TENGACHAYA,17:27,17:28
RAPIT_A_22,3,SHIN_IMAMIYA,17:30,17:31
RAPIT_A_22,4,NAMBA,17:34,
RAPIT_A_24,1,KANSAI_AIRPORT,,18:00
RAPIT_A_24,2,TENGACHAYA,18:27,18:28
RAPIT_A_24,3,SHIN_IMAMIYA,18:30,18:31
RAPIT_A_24,4,NAMBA,18:34,
RAPIT_A_26,1,KANSAI_AIRPORT,,19:00
RAPIT_A_26,2,TENGACHAYA,19:27,19:28
RAPIT_A_26,3,SHIN_IMAMIYA,19:30,19:31
RAPIT_A_26,4,NAMBA,19:34,
RAPIT_A_28,1,KANSAI_AIRPORT,,20:00
RAPIT_A_28,2,TENGACHAYA,20:27,20:28
RAPIT_A_28,3,SHIN_IMAMIYA,20:30,20:31
RAPIT_A_28,4,NAMBA,20:34,
RAPIT_A_30,1,KANSAI_AIRPORT,,21:00
RAPIT_A_30,2,TENGACHAYA,21:27,21:28
RAPIT_A_30,3,SHIN_IMAMIYA,21:30,21:31
RAPIT_A_30,4,NAMBA,21:34,
RAPIT_A_32,1,KANSAI_AIRPORT,,22:00
RAPIT_A_32,2,TENGACHAYA,22:27,22:28
RAPIT_A_32,3,SHIN_IMAMIYA,22:30,22:31
RAPIT_A_32,4,NAMBA,22:34,
RAPIT_A_34,1,KANSAI_AIRPORT,,23:00
RAPIT_A_34,2,TENGACHAYA,23:27,23:28
RAPIT_A_34,3,SHIN_IMAMIYA,23:30,23:31
RAPIT_A_34,4,NAMBA,23:34,
RAPIT_B_1,1,NAMBA,,06:30
RAPIT_B_1,2,SHIN_IMAMIYA,06:33,06:34
RAPIT_B_1,3,TENGACHAYA,06:36,06:37
RAPIT_B_1,4,SAKAI,06:44,06:45
RAPIT_B_1,5,KISHIWADA,06:54,06:55
RAPIT_B_1,6,IZUMISANO,07:03,07:04
RAPIT_B_1,7,KANSAI_AIRPORT,07:10,
RAPIT_B_3,1,NAMBA,,07:30
RAPIT_B_3,2,SHIN_IMAMIYA,07:33,07:34
RAPIT_B_3,3,TENGACHAYA,07:36,07:37
RAPIT_B_3,4,SAKAI,07:44,07:45
RAPIT_B_3,5,KISHIWADA,07:54,07:55
RAPIT_B_3,6,IZUMISANO,08:03,08:04
RAPIT_B_3,7,KANSAI_AIRPORT,08:10,
RAPIT_B_5,1,NAMBA,,08:30
RAPIT_B_5,2,SHIN_IMAMIYA,08:33,08:34
RAPIT_B_5,3,TENGACHAYA,08:36,08:37
RAPIT_B_5,4,SAKAI,08:44,08:45
RAPIT_B_5,5,KISHIWADA,08:54,08:55
RAPIT_B_5,6,IZUMISANO,09:03,09:04
RAPIT_B_5,7,KANSAI_AIRPORT,09:10,
RAPIT_B_7,1,NAMBA,,09:30
RAPIT_B_7,2,SHIN_IMAMIYA,09:33,09:34
RAPIT_B_7,3,TENGACHAYA,09:36,09:37
RAPIT_B_7,4,SAKAI,09:44,09:45
RAPIT_B_7,5,KISHIWADA,09:54,09:55
RAPIT_B_7,6,IZUMISANO,10:03,10:04
RAPIT_B_7,7,KANSAI_AIRPORT,10:10,
RAPIT_B_9,1,NAMBA,,10:30
RAPIT_B_9,2,SHIN_IMAMIYA,10:33,10:34
RAPIT_B_9,3,TENGACHAYA,10:36,10:37
RAPIT_B_9,4,SAKAI,10:44,10:45
RAPIT_B_9,5,KISHIWADA,10:54,10:55
RAPIT_B_9,6,IZUMISANO,11:03,11:04
RAPIT_B_9,7,KANSAI_AIRPORT,11:10,
RAPIT_B_11,1,NAMBA,,11:30
RAPIT_B_11,2,SHIN_IMAMIYA,11:33,11:34
RAPIT_B_11,3,TENGACHAYA,11:36,11:37
RAPIT_B_11,4,SAKAI,11:44,11:45
RAPIT_B_11,5,KISHIWADA,11:54,11:55
RAPIT_B_11,6,IZUMISANO,12:03,12:04
RAPIT_B_11,7,KANSAI_AIRPORT,12:10,
RAPIT_B_13,1,NAMBA,,12:30
RAPIT_B_13,2,SHIN_IMAMIYA,12:33,12:34
RAPIT_B_13,3,TENGACHAYA,12:36,12:37
RAPIT_B_13,4,SAKAI,12:44,12:45
RAPIT_B_13,5,KISHIWADA,12:54,12:55
RAPIT_B_13,6,IZUMISANO,13:03,13:04
RAPIT_B_13,7,KANSAI_AIRPORT,13:10,
RAPIT_B_15,1,NAMBA,,13:30
RAPIT_B_15,2,SHIN_IMAMIYA,13:33,13:34
RAPIT_B_15,3,TENGACHAYA,13:36,13:37
RAPIT_B_15,4,SAKAI,13:44,13:45
RAPIT_B_15,5,KISHIWADA,13:54,13:55
RAPIT_B_15,6,IZUMISANO,14:03,14:04
RAPIT_B_15,7,KANSAI_AIRPORT,14:10,
RAPIT_B_17,1,NAMBA,,14:30
RAPIT_B_17,2,SHIN_IMAMIYA,14:33,14:34
RAPIT_B_17,3,TENGACHAYA,14:36,14:37
RAPIT_B_17,4,SAKAI,14:44,14:45
RAPIT_B_17,5,KISHIWADA,14:54,14:55
RAPIT_B_17,6,IZUMISANO,15:03,15:04
RAPIT_B_17,7,KANSAI_AIRPORT,15:10,
RAPIT_B_19,1,NAMBA,,15:30
RAPIT_B_19,2,SHIN_IMAMIYA,15:33,15:34
RAPIT_B_19,3,TENGACHAYA,15:36,15:37
RAPIT_B_19,4,SAKAI,15:44,15:45
RAPIT_B_19,5,KISHIWADA,15:54,15:55
RAPIT_B_19,6,IZUMISANO,16:03,16:04
RAPIT_B_19,7,KANSAI_AIRPORT,16:10,
RAPIT_B_21,1,NAMBA,,16:30
RAPIT_B_21,2,SHIN_IMAMIYA,16:33,16:34
RAPIT_B_21,3,TENGACHAYA,16:36,16:37
RAPIT_B_21,4,SAKAI,16:44,16:45
RAPIT_B_21,5,KISHIWADA,16:54,16:55
RAPIT_B_21,6,IZUMISANO,17:03,17:04
RAPIT_B_21,7,KANSAI_AIRPORT,17:10,
RAPIT_B_23,1,NAMBA,,17:30
RAPIT_B_23,2,SHIN_IMAMIYA,17:33,17:34
RAPIT_B_23,3,TENGACHAYA,17:36,17:37
RAPIT_B_23,4,SAKAI,17:44,17:45
RAPIT_B_23,5,KISHIWADA,17:54,17:55
RAPIT_B_23,6,IZUMISANO,18:03,18:04
RAPIT_B_23,7,KANSAI_AIRPORT,18:10,
RAPIT_B_25,1,NAMBA,,18:30
RAPIT_B_25,2,SHIN_IMAMIYA,18:33,18:34
RAPIT_B_25,3,TENGACHAYA,18:36,18:37
RAPIT_B_25,4,SAKAI,18:44,18:45
RAPIT_B_25,5,KISHIWADA,18:54,18:55
RAPIT_B_25,6,IZUMISANO,19:03,19:04
RAPIT_B_25,7,KANSAI_AIRPORT,19:10,
RAPIT_B_27,1,NAMBA,,19:30
RAPIT_B_27,2,SHIN_IMAMIYA,19:33,19:34
RAPIT_B_27,3,TENGACHAYA,19:36,19:37
RAPIT_B_27,4,SAKAI,19:44,19:45
RAPIT_B_27,5,KISHIWADA,19:54,19:55
RAPIT_B_27,6,IZUMISANO,20:03,20:04
RAPIT_B_27,7,KANSAI_AIRPORT,20:10,
RAPIT_B_29,1,NAMBA,,20:30
RAPIT_B_29,2,SHIN_IMAMIYA,20:33,20:34
RAPIT_B_29,3,TENGACHAYA,20:36,20:37
RAPIT_B_29,4,SAKAI,20:44,20:45
RAPIT_B_29,5,KISHIWADA,20:54,20:55
RAPIT_B_29,6,IZUMISANO,21:03,21:04
RAPIT_B_29,7,KANSAI_AIRPORT,21:10,
RAPIT_B_31,1,NAMBA,,21:30
RAPIT_B_31,2,SHIN_IMAMIYA,21:33,21:34
RAPIT_B_31,3,TENGACHAYA,21:36,21:37
RAPIT_B_31,4,SAKAI,21:44,21:45
RAPIT_B_31,5,KISHIWADA,21:54,21:55
RAPIT_B_31,6,IZUMISANO,22:03,22:04
RAPIT_B_31,7,KANSAI_AIRPORT,22:10,
RAPIT_B_33,1,NAMBA,,22:30
RAPIT_B_33,2,SHIN_IMAMIYA,22:33,22:34
RAPIT_B_33,3,TENGACHAYA,22:36,22:37
RAPIT_B_33,4,SAKAI,22:44,22:45
RAPIT_B_33,5,KISHIWADA,22:54,22:55
RAPIT_B_33,6,IZUMISANO,23:03,23:04
RAPIT_B_33,7,KANSAI_AIRPORT,23:10,
RAPIT_B_2,1,KANSAI_AIRPORT,,07:30
RAPIT_B_2,2,IZUMISANO,07:36,07:37
RAPIT_B_2,3,KISHIWADA,07:45,07:46
RAPIT_B_2,4,SAKAI,07:55,07:56
RAPIT_B_2,5,TENGACHAYA,08:03,08:04
RAPIT_B_2,6,SHIN_IMAMIYA,08:06,08:07
RAPIT_B_2,7,NAMBA,08:10,
RAPIT_B_4,1,KANSAI_AIRPORT,,08:30
RAPIT_B_4,2,IZUMISANO,08:36,08:37
RAPIT_B_4,3,KISHIWADA,08:45,08:46
RAPIT_B_4,4,SAKAI,08:55,08:56
RAPIT_B_4,5,TENGACHAYA,09:03,09:04
RAPIT_B_4,6,SHIN_IMAMIYA,09:06,09:07
RAPIT_B_4,7,NAMBA,09:10,
RAPIT_B_6,1,KANSAI_AIRPORT,,09:30
RAPIT_B_6,2,IZUMISANO,09:36,09:37
RAPIT_B_6,3,KISHIWADA,09:45,09:46
RAPIT_B_6,4,SAKAI,09:55,09:56
RAPIT_B_6,5,TENGACHAYA,10:03,10:04
RAPIT_B_6,6,SHIN_IMAMIYA,10:06,10:07
RAPIT_B_6,7,NAMBA,10:10,
RAPIT_B_8,1,KANSAI_AIRPORT,,10:30
RAPIT_B_8,2,IZUMISANO,10:36,10:37
RAPIT_B_8,3,KISHIWADA,10:45,10:46
RAPIT_B_8,4,SAKAI,10:55,10:56
RAPIT_B_8,5,TENGACHAYA,11:03,11:04
RAPIT_B_8,6,SHIN_IMAMIYA,11:06,11:07
RAPIT_B_8,7,NAMBA,11:10,
RAPIT_B_10,1,KANSAI_AIRPORT,,11:30
RAPIT_B_10,2,IZUMISANO,11:36,11:37
RAPIT_B_10,3,KISHIWADA,11:45,11:46
RAPIT_B_10,4,SAKAI,11:55,11:56
RAPIT_B_10,5,TENGACHAYA,12:03,12:04
RAPIT_B_10,6,SHIN_IMAMIYA,12:06,12:07
RAPIT_B_10,7,NAMBA,12:10,
RAPIT_B_12,1,KANSAI_AIRPORT,,12:30
RAPIT_B_12,2,IZUMISANO,12:36,12:37
RAPIT_B_12,3,KISHIWADA,12:45,12:46
RAPIT_B_12,4,SAKAI,12:55,12:56
RAPIT_B_12,5,TENGACHAYA,13:03,13:04
RAPIT_B_12,6,SHIN_IMAMIYA,13:06,13:07
RAPIT_B_12,7,NAMBA,13:10,
RAPIT_B_14,1,KANSAI_AIRPORT,,13:30
RAPIT_B_14,2,IZUMISANO,13:36,13:37
RAPIT_B_14,3,KISHIWADA,13:45,13:46
RAPIT_B_14,4,SAKAI,13:55,13:56
RAPIT_B_14,5,TENGACHAYA,14:03,14:04
RAPIT_B_14,6,SHIN_IMAMIYA,14:06,14:07
RAPIT_B_14,7,NAMBA,14:10,
RAPIT_B_16,1,KANSAI_AIRPORT,,14:30
RAPIT_B_16,2,IZUMISANO,14:36,14:37
RAPIT_B_16,3,KISHIWADA,14:45,14:46
RAPIT_B_16,4,SAKAI,14:55,14:56
RAPIT_B_16,5,TENGACHAYA,15:03,15:04
RAPIT_B_16,6,SHIN_IMAMIYA,15:06,15:07
RAPIT_B_16,7,NAMBA,15:10,
RAPIT_B_18,1,KANSAI_AIRPORT,,15:30
RAPIT_B_18,2,IZUMISANO,15:36,15:37
RAPIT_B_18,3,KISHIWADA,15:45,15:46
RAPIT_B_18,4,SAKAI,15:55,15:56
RAPIT_B_18,5,TENGACHAYA,16:03,16:04
RAPIT_B_18,6,SHIN_IMAMIYA,16:06,16:07
RAPIT_B_18,7,NAMBA,16:10,
RAPIT_B_20,1,KANSAI_AIRPORT,,16:30
RAPIT_B_20,2,IZUMISANO,16:36,16:37
RAPIT_B_20,3,KISHIWADA,16:45,16:46
RAPIT_B_20,4,SAKAI,16:55,16:56
RAPIT_B_20,5,TENGACHAYA,17:03,17:04
RAPIT_B_20,6,SHIN_IMAMIYA,17:06,17:07
RAPIT_B_20,7,NAMBA,17:10,
RAPIT_B_22,1,KANSAI_AIRPORT,,17:30
RAPIT_B_22,2,IZUMISANO,17:36,17:37
RAPIT_B_22,3,KISHIWADA,17:45,17:46
RAPIT_B_22,4,SAKAI,17:55,17:56
