train_id,name,direction
RAPIT_A_1,ラピートα1,down
RAPIT_A_3,ラピートα3,down
RAPIT_A_5,ラピートα5,down
RAPIT_A_7,ラピートα7,down
RAPIT_A_9,ラピートα9,down
RAPIT_A_11,ラピートα11,down
RAPIT_A_13,ラピートα13,down
RAPIT_A_15,ラピートα15,down
RAPIT_A_17,ラピートα17,down
RAPIT_A_19,ラピートα19,down
RAPIT_A_21,ラピートα21,down
RAPIT_A_23,ラピートα23,down
RAPIT_A_25,ラピートα25,down
RAPIT_A_27,ラピートα27,down
RAPIT_A_29,ラピートα29,down
RAPIT_A_2,ラピートα2,up
RAPIT_A_4,ラピートα4,up
RAPIT_A_6,ラピートα6,up
RAPIT_A_8,ラピートα8,up
RAPIT_A_10,ラピートα10,up
RAPIT_A_12,ラピートα12,up
RAPIT_A_14,ラピートα14,up
RAPIT_A_16,ラピートα16,up
RAPIT_A_18,ラピートα18,up
RAPIT_A_20,ラピートα20,up
RAPIT_A_22,ラピートα22,up
RAPIT_A_24,ラピートα24,up
RAPIT_A_26,ラピートα26,up
RAPIT_A_28,ラピートα28,up
RAPIT_A_30,ラピートα30,up
RAPIT_A_32,ラピートα32,up
RAPIT_B_1,ラピートβ1,down
RAPIT_B_3,ラピートβ3,down
RAPIT_B_5,ラピートβ5,down
RAPIT_B_7,ラピートβ7,down
RAPIT_B_9,ラピートβ9,down
RAPIT_B_11,ラピートβ11,down
RAPIT_B_13,ラピートβ13,down
RAPIT_B_15,ラピートβ15,down
RAPIT_B_17,ラピートβ17,down
RAPIT_B_19,ラピートβ19,down
RAPIT_B_21,ラピートβ21,down
RAPIT_B_23,ラピートβ23,down
RAPIT_B_25,ラピートβ25,down
RAPIT_B_27,ラピートβ27,down
RAPIT_B_29,ラピートβ29,down
RAPIT_B_31,ラピートβ31,down
RAPIT_B_33,ラピートβ33,down
RAPIT_B_35,ラピートβ35,down
RAPIT_B_2,ラピートβ2,up
RAPIT_B_4,ラピートβ4,up
RAPIT_B_6,ラピートβ6,up
RAPIT_B_8,ラピートβ8,up
RAPIT_B_10,ラピートβ10,up
RAPIT_B_12,ラピートβ12,up
RAPIT_B_14,ラピートβ14,up
RAPIT_B_16,ラピートβ16,up
RAPIT_B_18,ラピートβ18,up
RAPIT_B_20,ラピートβ20,up
RAPIT_B_22,ラピートβ22,up
RAPIT_B_24,ラピートβ24,up
RAPIT_B_26,ラピートβ26,up
RAPIT_B_28,ラピートβ28,up
RAPIT_B_30,ラピートβ30,up
RAPIT_B_32,ラピートβ32,up
RAPIT_B_34,ラピートβ34,up
