train_id,stop_order,station_id,arrival,departure
RAPIT_A_1,1,NAMBA,,06:00
RAPIT_A_1,2,SHIN_IMAMIYA,06:02,06:02
RAPIT_A_1,3,TENGACHAYA,06:04,06:04
RAPIT_A_1,4,IZUMISANO,06:26,06:26
RAPIT_A_1,5,RINKU_TOWN,06:29,06:29
RAPIT_A_1,6,KANSAI_AIRPORT,06:35,
RAPIT_A_3,1,NAMBA,,06:30
RAPIT_A_3,2,SHIN_IMAMIYA,06:32,06:32
RAPIT_A_3,3,TENGACHAYA,06:34,06:34
RAPIT_A_3,4,IZUMISANO,06:56,06:56
RAPIT_A_3,5,RINKU_TOWN,06:59,06:59
RAPIT_A_3,6,KANSAI_AIRPORT,07:05,
RAPIT_A_5,1,NAMBA,,07:00
RAPIT_A_5,2,SHIN_IMAMIYA,07:02,07:02
RAPIT_A_5,3,TENGACHAYA,07:04,07:04
RAPIT_A_5,4,IZUMISANO,07:26,07:26
RAPIT_A_5,5,RINKU_TOWN,07:29,07:29
RAPIT_A_5,6,KANSAI_AIRPORT,07:35,
RAPIT_A_7,1,NAMBA,,07:30
RAPIT_A_7,2,SHIN_IMAMIYA,07:32,07:32
RAPIT_A_7,3,TENGACHAYA,07:34,07:34
RAPIT_A_7,4,IZUMISANO,07:56,07:56
RAPIT_A_7,5,RINKU_TOWN,07:59,07:59
RAPIT_A_7,6,KANSAI_AIRPORT,08:05,
RAPIT_A_9,1,NAMBA,,08:00
RAPIT_A_9,2,SHIN_IMAMIYA,08:02,08:02
RAPIT_A_9,3,TENGACHAYA,08:04,08:04
RAPIT_A_9,4,IZUMISANO,08:26,08:26
RAPIT_A_9,5,RINKU_TOWN,08:29,08:29
RAPIT_A_9,6,KANSAI_AIRPORT,08:35,
RAPIT_A_11,1,NAMBA,,08:30
RAPIT_A_11,2,SHIN_IMAMIYA,08:32,08:32
RAPIT_A_11,3,TENGACHAYA,08:34,08:34
RAPIT_A_11,4,IZUMISANO,08:56,08:56
RAPIT_A_11,5,RINKU_TOWN,08:59,08:59
RAPIT_A_11,6,KANSAI_AIRPORT,09:05,
RAPIT_A_13,1,NAMBA,,09:00
RAPIT_A_13,2,SHIN_IMAMIYA,09:02,09:02
RAPIT_A_13,3,TENGACHAYA,09:04,09:04
RAPIT_A_13,4,IZUMISANO,09:26,09:26
RAPIT_A_13,5,RINKU_TOWN,09:29,09:29
RAPIT_A_13,6,KANSAI_AIRPORT,09:35,
RAPIT_A_15,1,NAMBA,,09:30
RAPIT_A_15,2,SHIN_IMAMIYA,09:32,09:32
