train_id,stop_order,station_id,arrival,departure
RESORT_SHIRAKAMI_1,1,AKITA,,08:00
RESORT_SHIRAKAMI_1,2,HIGASHI_NOSHIRO,08:50,08:51
RESORT_SHIRAKAMI_1,3,FUKAURA,10:20,10:21
RESORT_SHIRAKAMI_1,4,GOSHOGAWARA,11:30,11:31
RESORT_SHIRAKAMI_1,5,HIROSAKI,12:20,12:21
RESORT_SHIRAKAMI_1,6,AOMORI,13:00,
RESORT_SHIRAKAMI_3,1,AKITA,,14:00
RESORT_SHIRAKAMI_3,2,HIGASHI_NOSHIRO,14:50,14:51
RESORT_SHIRAKAMI_3,3,FUKAURA,16:20,16:21
RESORT_SHIRAKAMI_3,4,GOSHOGAWARA,17:30,17:31
RESORT_SHIRAKAMI_3,5,HIROSAKI,18:20,18:21
RESORT_SHIRAKAMI_3,6,AOMORI,19:00,
RESORT_SHIRAKAMI_2,1,AOMORI,,09:00
RESORT_SHIRAKAMI_2,2,HIROSAKI,09:39,09:40
RESORT_SHIRAKAMI_2,3,GOSHOGAWARA,10:29,10:30
RESORT_SHIRAKAMI_2,4,FUKAURA,11:39,11:40
RESORT_SHIRAKAMI_2,5,HIGASHI_NOSHIRO,13:09,13:10
RESORT_SHIRAKAMI_2,6,AKITA,14:00,
RESORT_SHIRAKAMI_4,1,AOMORI,,15:00
RESORT_SHIRAKAMI_4,2,HIROSAKI,15:39,15:40
RESORT_SHIRAKAMI_4,3,GOSHOGAWARA,16:29,16:30
RESORT_SHIRAKAMI_4,4,FUKAURA,17:39,17:40
RESORT_SHIRAKAMI_4,5,HIGASHI_NOSHIRO,19:09,19:10
RESORT_SHIRAKAMI_4,6,AKITA,20:00,
