train_id,stop_order,station_id,arrival,departure
ROMANCECAR_H_1,1,SHINJUKU,,07:01
ROMANCECAR_H_1,2,MACHIDA,07:36,07:37
ROMANCECAR_H_1,3,EBINA,07:45,07:46
ROMANCECAR_H_1,4,HONATSUGI,07:50,07:51
ROMANCECAR_H_1,5,HADANO,08:03,08:04
ROMANCECAR_H_1,6,ODAWARA,08:13,08:15
ROMANCECAR_H_1,7,HAKONEYUMOTO,08:26,
ROMANCECAR_H_3,1,SHINJUKU,,07:22
ROMANCECAR_H_3,2,MACHIDA,07:57,07:58
ROMANCECAR_H_3,3,EBINA,08:06,08:07
ROMANCECAR_H_3,4,HONATSUGI,08:11,08:12
ROMANCECAR_H_3,5,HADANO,08:24,08:25
ROMANCECAR_H_3,6,ODAWARA,08:34,08:36
ROMANCECAR_H_3,7,HAKONEYUMOTO,08:47,
ROMANCECAR_H_5,1,SHINJUKU,,07:59
ROMANCECAR_H_5,2,MACHIDA,08:34,08:35
ROMANCECAR_H_5,3,EBINA,08:43,08:44
ROMANCECAR_H_5,4,HONATSUGI,08:48,08:49
ROMANCECAR_H_5,5,HADANO,09:01,09:02
ROMANCECAR_H_5,6,ODAWARA,09:11,09:13
ROMANCECAR_H_5,7,HAKONEYUMOTO,09:24,
ROMANCECAR_H_7,1,SHINJUKU,,08:27
ROMANCECAR_H_7,2,MACHIDA,09:02,09:03
ROMANCECAR_H_7,3,EBINA,09:11,09:12
ROMANCECAR_H_7,4,HONATSUGI,09:16,09:17
ROMANCECAR_H_7,5,HADANO,09:29,09:30
ROMANCECAR_H_7,6,ODAWARA,09:39,09:41
ROMANCECAR_H_7,7,HAKONEYUMOTO,09:52,
ROMANCECAR_H_9,1,SHINJUKU,,09:00
ROMANCECAR_H_9,2,MACHIDA,09:35,09:36
ROMANCECAR_H_9,3,EBINA,09:44,09:45
ROMANCECAR_H_9,4,HONATSUGI,09:49,09:50
ROMANCECAR_H_9,5,HADANO,10:02,10:03
ROMANCECAR_H_9,6,ODAWARA,10:12,10:14
ROMANCECAR_H_9,7,HAKONEYUMOTO,10:25,
ROMANCECAR_H_11,1,SHINJUKU,,09:27
ROMANCECAR_H_11,2,MACHIDA,10:02,10:03
ROMANCECAR_H_11,3,EBINA,10:11,10:12
ROMANCECAR_H_11,4,HONATSUGI,10:16,10:17
ROMANCECAR_H_11,5,HADANO,10:29,10:30
ROMANCECAR_H_11,6,ODAWARA,10:39,10:41
ROMANCECAR_H_11,7,HAKONEYUMOTO,10:52,
ROMANCECAR_H_13,1,SHINJUKU,,10:06
ROMANCECAR_H_13,2,MACHIDA,10:41,10:42
ROMANCECAR_H_13,3,EBINA,10:50,10:51
ROMANCECAR_H_13,4,HONATSUGI,10:55,10:56
ROMANCECAR_H_13,5,HADANO,11:08,11:09
ROMANCECAR_H_13,6,ODAWARA,11:18,11:20
ROMANCECAR_H_13,7,HAKONEYUMOTO,11:31,
ROMANCECAR_H_15,1,SHINJUKU,,10:25
ROMANCECAR_H_15,2,MACHIDA,11:00,11:01
ROMANCECAR_H_15,3,EBINA,11:09,11:10
ROMANCECAR_H_15,4,HONATSUGI,11:14,11:15
ROMANCECAR_H_15,5,HADANO,11:27,11:28
ROMANCECAR_H_15,6,ODAWARA,11:37,11:39
ROMANCECAR_H_15,7,HAKONEYUMOTO,11:50,
ROMANCECAR_H_17,1,SHINJUKU,,10:42
ROMANCECAR_H_17,2,MACHIDA,11:17,11:18
ROMANCECAR_H_17,3,EBINA,11:26,11:27
ROMANCECAR_H_17,4,HONATSUGI,11:31,11:32
ROMANCECAR_H_17,5,HADANO,11:44,11:45
ROMANCECAR_H_17,6,ODAWARA,11:54,11:56
ROMANCECAR_H_17,7,HAKONEYUMOTO,12:07,
ROMANCECAR_H_19,1,SHINJUKU,,11:00
ROMANCECAR_H_19,2,MACHIDA,11:35,11:36
ROMANCECAR_H_19,3,EBINA,11:44,11:45
ROMANCECAR_H_19,4,HONATSUGI,11:49,11:50
ROMANCECAR_H_19,5,HADANO,12:02,12:03
ROMANCECAR_H_19,6,ODAWARA,12:12,12:14
ROMANCECAR_H_19,7,HAKONEYUMOTO,12:25,
ROMANCECAR_H_21,1,SHINJUKU,,11:36
ROMANCECAR_H_21,2,MACHIDA,12:11,12:12
ROMANCECAR_H_21,3,EBINA,12:20,12:21
ROMANCECAR_H_21,4,HONATSUGI,12:25,12:26
ROMANCECAR_H_21,5,HADANO,12:38,12:39
ROMANCECAR_H_21,6,ODAWARA,12:48,12:50
ROMANCECAR_H_21,7,HAKONEYUMOTO,13:01,
ROMANCECAR_H_23,1,SHINJUKU,,12:03
ROMANCECAR_H_23,2,MACHIDA,12:38,12:39
ROMANCECAR_H_23,3,EBINA,12:47,12:48
ROMANCECAR_H_23,4,HONATSUGI,12:52,12:53
ROMANCECAR_H_23,5,HADANO,13:05,13:06
ROMANCECAR_H_23,6,ODAWARA,13:15,13:17
ROMANCECAR_H_23,7,HAKONEYUMOTO,13:28,
ROMANCECAR_H_25,1,SHINJUKU,,12:23
ROMANCECAR_H_25,2,MACHIDA,12:58,12:59
ROMANCECAR_H_25,3,EBINA,13:07,13:08
ROMANCECAR_H_25,4,HONATSUGI,13:12,13:13
ROMANCECAR_H_25,5,HADANO,13:25,13:26
ROMANCECAR_H_25,6,ODAWARA,13:35,13:37
ROMANCECAR_H_25,7,HAKONEYUMOTO,13:48,
ROMANCECAR_H_27,1,SHINJUKU,,13:03
ROMANCECAR_H_27,2,MACHIDA,13:38,13:39
ROMANCECAR_H_27,3,EBINA,13:47,13:48
ROMANCECAR_H_27,4,HONATSUGI,13:52,13:53
ROMANCECAR_H_27,5,HADANO,14:05,14:06
ROMANCECAR_H_27,6,ODAWARA,14:15,14:17
ROMANCECAR_H_27,7,HAKONEYUMOTO,14:28,
ROMANCECAR_H_29,1,SHINJUKU,,13:23
ROMANCECAR_H_29,2,MACHIDA,13:58,13:59
ROMANCECAR_H_29,3,EBINA,14:07,14:08
ROMANCECAR_H_29,4,HONATSUGI,14:12,14:13
ROMANCECAR_H_29,5,HADANO,14:25,14:26
ROMANCECAR_H_29,6,ODAWARA,14:35,14:37
ROMANCECAR_H_29,7,HAKONEYUMOTO,14:48,
ROMANCECAR_H_31,1,SHINJUKU,,14:01
ROMANCECAR_H_31,2,MACHIDA,14:36,14:37
ROMANCECAR_H_31,3,EBINA,14:45,14:46
ROMANCECAR_H_31,4,HONATSUGI,14:50,14:51
ROMANCECAR_H_31,5,HADANO,15:03,15:04
ROMANCECAR_H_31,6,ODAWARA,15:13,15:15
ROMANCECAR_H_31,7,HAKONEYUMOTO,15:26,
ROMANCECAR_H_33,1,SHINJUKU,,14:23
ROMANCECAR_H_33,2,MACHIDA,14:58,14:59
ROMANCECAR_H_33,3,EBINA,15:07,15:08
ROMANCECAR_H_33,4,HONATSUGI,15:12,15:13
ROMANCECAR_H_33,5,HADANO,15:25,15:26
ROMANCECAR_H_33,6,ODAWARA,15:35,15:37
ROMANCECAR_H_33,7,HAKONEYUMOTO,15:48,
ROMANCECAR_H_35,1,SHINJUKU,,15:03
ROMANCECAR_H_35,2,MACHIDA,15:38,15:39
ROMANCECAR_H_35,3,EBINA,15:47,15:48
ROMANCECAR_H_35,4,HONATSUGI,15:52,15:53
ROMANCECAR_H_35,5,HADANO,16:05,16:06
ROMANCECAR_H_35,6,ODAWARA,16:15,16:17
ROMANCECAR_H_35,7,HAKONEYUMOTO,16:28,
ROMANCECAR_H_37,1,SHINJUKU,,15:23
ROMANCECAR_H_37,2,MACHIDA,15:58,15:59
ROMANCECAR_H_37,3,EBINA,16:07,16:08
ROMANCECAR_H_37,4,HONATSUGI,16:12,16:13
ROMANCECAR_H_37,5,HADANO,16:25,16:26
ROMANCECAR_H_37,6,ODAWARA,16:35,16:37
ROMANCECAR_H_37,7,HAKONEYUMOTO,16:48,
ROMANCECAR_H_39,1,SHINJUKU,,15:44
ROMANCECAR_H_39,2,MACHIDA,16:19,16:20
ROMANCECAR_H_39,3,EBINA,16:28,16:29
ROMANCECAR_H_39,4,HONATSUGI,16:33,16:34
ROMANCECAR_H_39,5,HADANO,16:46,16:47
ROMANCECAR_H_39,6,ODAWARA,16:56,16:58
ROMANCECAR_H_39,7,HAKONEYUMOTO,17:09,
ROMANCECAR_H_41,1,SHINJUKU,,17:11
ROMANCECAR_H_41,2,MACHIDA,17:46,17:47
ROMANCECAR_H_41,3,EBINA,17:55,17:56
ROMANCECAR_H_41,4,HONATSUGI,18:00,18:01
ROMANCECAR_H_41,5,HADANO,18:13,18:14
ROMANCECAR_H_41,6,ODAWARA,18:23,18:25
ROMANCECAR_H_41,7,HAKONEYUMOTO,18:36,
ROMANCECAR_H_43,1,SHINJUKU,,18:10
ROMANCECAR_H_43,2,MACHIDA,18:45,18:46
ROMANCECAR_H_43,3,EBINA,18:54,18:55
ROMANCECAR_H_43,4,HONATSUGI,18:59,19:00
ROMANCECAR_H_43,5,HADANO,19:12,19:13
ROMANCECAR_H_43,6,ODAWARA,19:22,19:24
ROMANCECAR_H_43,7,HAKONEYUMOTO,19:35,
ROMANCECAR_H_2,1,HAKONEYUMOTO,,08:34
ROMANCECAR_H_2,2,ODAWARA,08:45,08:47
ROMANCECAR_H_2,3,HADANO,08:56,08:57
ROMANCECAR_H_2,4,HONATSUGI,09:09,09:10
ROMANCECAR_H_2,5,EBINA,09:14,09:15
ROMANCECAR_H_2,6,MACHIDA,09:23,09:24
ROMANCECAR_H_2,7,SHINJUKU,09:59,
ROMANCECAR_H_4,1,HAKONEYUMOTO,,09:12
ROMANCECAR_H_4,2,ODAWARA,09:23,09:25
ROMANCECAR_H_4,3,HADANO,09:34,09:35
ROMANCECAR_H_4,4,HONATSUGI,09:47,09:48
ROMANCECAR_H_4,5,EBINA,09:52,09:53
ROMANCECAR_H_4,6,MACHIDA,10:01,10:02
ROMANCECAR_H_4,7,SHINJUKU,10:37,
ROMANCECAR_H_6,1,HAKONEYUMOTO,,09:33
ROMANCECAR_H_6,2,ODAWARA,09:44,09:46
ROMANCECAR_H_6,3,HADANO,09:55,09:56
ROMANCECAR_H_6,4,HONATSUGI,10:08,10:09
ROMANCECAR_H_6,5,EBINA,10:13,10:14
ROMANCECAR_H_6,6,MACHIDA,10:22,10:23
ROMANCECAR_H_6,7,SHINJUKU,10:58,
ROMANCECAR_H_8,1,HAKONEYUMOTO,,10:03
ROMANCECAR_H_8,2,ODAWARA,10:14,10:16
ROMANCECAR_H_8,3,HADANO,10:25,10:26
ROMANCECAR_H_8,4,HONATSUGI,10:38,10:39
ROMANCECAR_H_8,5,EBINA,10:43,10:44
ROMANCECAR_H_8,6,MACHIDA,10:52,10:53
ROMANCECAR_H_8,7,SHINJUKU,11:28,
ROMANCECAR_H_10,1,HAKONEYUMOTO,,10:24
ROMANCECAR_H_10,2,ODAWARA,10:35,10:37
ROMANCECAR_H_10,3,HADANO,10:46,10:47
ROMANCECAR_H_10,4,HONATSUGI,10:59,11:00
ROMANCECAR_H_10,5,EBINA,11:04,11:05
ROMANCECAR_H_10,6,MACHIDA,11:13,11:14
ROMANCECAR_H_10,7,SHINJUKU,11:49,
ROMANCECAR_H_12,1,HAKONEYUMOTO,,11:38
ROMANCECAR_H_12,2,ODAWARA,11:49,11:51
ROMANCECAR_H_12,3,HADANO,12:00,12:01
ROMANCECAR_H_12,4,HONATSUGI,12:13,12:14
ROMANCECAR_H_12,5,EBINA,12:18,12:19
ROMANCECAR_H_12,6,MACHIDA,12:27,12:28
ROMANCECAR_H_12,7,SHINJUKU,13:03,
ROMANCECAR_H_14,1,HAKONEYUMOTO,,11:59
ROMANCECAR_H_14,2,ODAWARA,12:10,12:12
ROMANCECAR_H_14,3,HADANO,12:21,12:22
ROMANCECAR_H_14,4,HONATSUGI,12:34,12:35
ROMANCECAR_H_14,5,EBINA,12:39,12:40
ROMANCECAR_H_14,6,MACHIDA,12:48,12:49
ROMANCECAR_H_14,7,SHINJUKU,13:24,
ROMANCECAR_H_16,1,HAKONEYUMOTO,,12:33
ROMANCECAR_H_16,2,ODAWARA,12:44,12:46
ROMANCECAR_H_16,3,HADANO,12:55,12:56
ROMANCECAR_H_16,4,HONATSUGI,13:08,13:09
ROMANCECAR_H_16,5,EBINA,13:13,13:14
ROMANCECAR_H_16,6,MACHIDA,13:22,13:23
ROMANCECAR_H_16,7,SHINJUKU,13:58,
ROMANCECAR_H_18,1,HAKONEYUMOTO,,13:15
ROMANCECAR_H_18,2,ODAWARA,13:26,13:28
ROMANCECAR_H_18,3,HADANO,13:37,13:38
ROMANCECAR_H_18,4,HONATSUGI,13:50,13:51
ROMANCECAR_H_18,5,EBINA,13:55,13:56
ROMANCECAR_H_18,6,MACHIDA,14:04,14:05
ROMANCECAR_H_18,7,SHINJUKU,14:40,
ROMANCECAR_H_20,1,HAKONEYUMOTO,,13:36
ROMANCECAR_H_20,2,ODAWARA,13:47,13:49
ROMANCECAR_H_20,3,HADANO,13:58,13:59
ROMANCECAR_H_20,4,HONATSUGI,14:11,14:12
ROMANCECAR_H_20,5,EBINA,14:16,14:17
ROMANCECAR_H_20,6,MACHIDA,14:25,14:26
ROMANCECAR_H_20,7,SHINJUKU,15:01,
ROMANCECAR_H_22,1,HAKONEYUMOTO,,13:56
ROMANCECAR_H_22,2,ODAWARA,14:07,14:09
ROMANCECAR_H_22,3,HADANO,14:18,14:19
ROMANCECAR_H_22,4,HONATSUGI,14:31,14:32
ROMANCECAR_H_22,5,EBINA,14:36,14:37
ROMANCECAR_H_22,6,MACHIDA,14:45,14:46
ROMANCECAR_H_22,7,SHINJUKU,15:21,
ROMANCECAR_H_24,1,HAKONEYUMOTO,,14:16
ROMANCECAR_H_24,2,ODAWARA,14:27,14:29
ROMANCECAR_H_24,3,HADANO,14:38,14:39
ROMANCECAR_H_24,4,HONATSUGI,14:51,14:52
ROMANCECAR_H_24,5,EBINA,14:56,14:57
ROMANCECAR_H_24,6,MACHIDA,15:05,15:06
ROMANCECAR_H_24,7,SHINJUKU,15:41,
ROMANCECAR_H_26,1,HAKONEYUMOTO,,14:36
ROMANCECAR_H_26,2,ODAWARA,14:47,14:49
ROMANCECAR_H_26,3,HADANO,14:58,14:59
ROMANCECAR_H_26,4,HONATSUGI,15:11,15:12
ROMANCECAR_H_26,5,EBINA,15:16,15:17
ROMANCECAR_H_26,6,MACHIDA,15:25,15:26
