train_id,name,direction
ROMANCECAR_W_1,はこね1,down
ROMANCECAR_W_3,はこね3,down
ROMANCECAR_W_5,はこね5,down
ROMANCECAR_W_7,はこね7,down
ROMANCECAR_W_9,はこね9,down
ROMANCECAR_W_11,はこね11,down
ROMANCECAR_W_13,はこね13,down
ROMANCECAR_W_15,はこね15,down
ROMANCECAR_W_17,はこね17,down
ROMANCECAR_W_19,はこね19,down
ROMANCECAR_W_21,はこね21,down
ROMANCECAR_W_23,はこね23,down
ROMANCECAR_W_25,はこね25,down
ROMANCECAR_W_27,はこね27,down
ROMANCECAR_W_29,はこね29,down
ROMANCECAR_W_31,はこね31,down
ROMANCECAR_W_2,はこね2,up
ROMANCECAR_W_4,はこね4,up
ROMANCECAR_W_6,はこね6,up
ROMANCECAR_W_8,はこね8,up
ROMANCECAR_W_10,はこね10,up
ROMANCECAR_W_12,はこね12,up
ROMANCECAR_W_14,はこね14,up
ROMANCECAR_W_16,はこね16,up
ROMANCECAR_W_18,はこね18,up
ROMANCECAR_W_20,はこね20,up
ROMANCECAR_W_22,はこね22,up
ROMANCECAR_W_24,はこね24,up
ROMANCECAR_W_26,はこね26,up
ROMANCECAR_W_28,はこね28,up
ROMANCECAR_W_30,はこね30,up
ROMANCECAR_W_32,はこね32,up
ROMANCECAR_H_1,はこね1,down
ROMANCECAR_H_3,はこね3,down
ROMANCECAR_H_5,はこね5,down
ROMANCECAR_H_7,はこね7,down
ROMANCECAR_H_9,はこね9,down
ROMANCECAR_H_11,はこね11,down
ROMANCECAR_H_13,はこね13,down
ROMANCECAR_H_15,はこね15,down
ROMANCECAR_H_17,はこね17,down
ROMANCECAR_H_19,はこね19,down
ROMANCECAR_H_21,はこね21,down
ROMANCECAR_H_23,はこね23,down
ROMANCECAR_H_25,はこね25,down
ROMANCECAR_H_27,はこね27,down
ROMANCECAR_H_29,はこね29,down
ROMANCECAR_H_31,はこね31,down
ROMANCECAR_H_33,はこね33,down
ROMANCECAR_H_35,はこね35,down
ROMANCECAR_H_37,はこね37,down
ROMANCECAR_H_39,はこね39,down
ROMANCECAR_H_41,はこね41,down
ROMANCECAR_H_43,はこね43,down
ROMANCECAR_H_2,はこね2,up
ROMANCECAR_H_4,はこね4,up
ROMANCECAR_H_6,はこね6,up
ROMANCECAR_H_8,はこね8,up
ROMANCECAR_H_10,はこね10,up
ROMANCECAR_H_12,はこね12,up
ROMANCECAR_H_14,はこね14,up
ROMANCECAR_H_16,はこね16,up
ROMANCECAR_H_18,はこね18,up
ROMANCECAR_H_20,はこね20,up
ROMANCECAR_H_22,はこね22,up
ROMANCECAR_H_24,はこね24,up
ROMANCECAR_H_26,はこね26,up
ROMANCECAR_H_28,はこね28,up
ROMANCECAR_H_30,はこね30,up
ROMANCECAR_H_32,はこね32,up
ROMANCECAR_H_34,はこね34,up
ROMANCECAR_H_36,はこね36,up
ROMANCECAR_H_38,はこね38,up
ROMANCECAR_H_40,はこね40,up
ROMANCECAR_H_42,はこね42,up
