train_id,stop_order,station_id,arrival,departure
ROMANCECAR_W_1,1,SHINJUKU,,07:57
ROMANCECAR_W_1,2,MACHIDA,08:32,08:33
ROMANCECAR_W_1,3,EBINA,08:41,08:42
ROMANCECAR_W_1,4,HONATSUGI,08:46,08:47
ROMANCECAR_W_1,5,HADANO,08:59,09:00
ROMANCECAR_W_1,6,ODAWARA,09:09,09:11
ROMANCECAR_W_1,7,HAKONEYUMOTO,09:22,
ROMANCECAR_W_3,1,SHINJUKU,,08:28
ROMANCECAR_W_3,2,MACHIDA,09:03,09:04
ROMANCECAR_W_3,3,EBINA,09:12,09:13
ROMANCECAR_W_3,4,HONATSUGI,09:17,09:18
ROMANCECAR_W_3,5,HADANO,09:30,09:31
ROMANCECAR_W_3,6,ODAWARA,09:40,09:42
ROMANCECAR_W_3,7,HAKONEYUMOTO,09:53,
ROMANCECAR_W_5,1,SHINJUKU,,08:53
ROMANCECAR_W_5,2,MACHIDA,09:28,09:29
ROMANCECAR_W_5,3,EBINA,09:37,09:38
ROMANCECAR_W_5,4,HONATSUGI,09:42,09:43
ROMANCECAR_W_5,5,HADANO,09:55,09:56
ROMANCECAR_W_5,6,ODAWARA,10:05,10:07
ROMANCECAR_W_5,7,HAKONEYUMOTO,10:18,
ROMANCECAR_W_7,1,SHINJUKU,,09:30
ROMANCECAR_W_7,2,MACHIDA,10:05,10:06
ROMANCECAR_W_7,3,EBINA,10:14,10:15
ROMANCECAR_W_7,4,HONATSUGI,10:19,10:20
ROMANCECAR_W_7,5,HADANO,10:32,10:33
ROMANCECAR_W_7,6,ODAWARA,10:42,10:44
ROMANCECAR_W_7,7,HAKONEYUMOTO,10:55,
ROMANCECAR_W_9,1,SHINJUKU,,10:02
ROMANCECAR_W_9,2,MACHIDA,10:37,10:38
ROMANCECAR_W_9,3,EBINA,10:46,10:47
ROMANCECAR_W_9,4,HONATSUGI,10:51,10:52
ROMANCECAR_W_9,5,HADANO,11:04,11:05
ROMANCECAR_W_9,6,ODAWARA,11:14,11:16
ROMANCECAR_W_9,7,HAKONEYUMOTO,11:27,
ROMANCECAR_W_11,1,SHINJUKU,,11:00
ROMANCECAR_W_11,2,MACHIDA,11:35,11:36
ROMANCECAR_W_11,3,EBINA,11:44,11:45
ROMANCECAR_W_11,4,HONATSUGI,11:49,11:50
ROMANCECAR_W_11,5,HADANO,12:02,12:03
ROMANCECAR_W_11,6,ODAWARA,12:12,12:14
ROMANCECAR_W_11,7,HAKONEYUMOTO,12:25,
ROMANCECAR_W_13,1,SHINJUKU,,11:28
ROMANCECAR_W_13,2,MACHIDA,12:03,12:04
ROMANCECAR_W_13,3,EBINA,12:12,12:13
ROMANCECAR_W_13,4,HONATSUGI,12:17,12:18
ROMANCECAR_W_13,5,HADANO,12:30,12:31
ROMANCECAR_W_13,6,ODAWARA,12:40,12:42
ROMANCECAR_W_13,7,HAKONEYUMOTO,12:53,
ROMANCECAR_W_15,1,SHINJUKU,,11:59
ROMANCECAR_W_15,2,MACHIDA,12:34,12:35
ROMANCECAR_W_15,3,EBINA,12:43,12:44
ROMANCECAR_W_15,4,HONATSUGI,12:48,12:49
ROMANCECAR_W_15,5,HADANO,13:01,13:02
ROMANCECAR_W_15,6,ODAWARA,13:11,13:13
ROMANCECAR_W_15,7,HAKONEYUMOTO,13:24,
ROMANCECAR_W_17,1,SHINJUKU,,12:22
ROMANCECAR_W_17,2,MACHIDA,12:57,12:58
ROMANCECAR_W_17,3,EBINA,13:06,13:07
ROMANCECAR_W_17,4,HONATSUGI,13:11,13:12
ROMANCECAR_W_17,5,HADANO,13:24,13:25
ROMANCECAR_W_17,6,ODAWARA,13:34,13:36
ROMANCECAR_W_17,7,HAKONEYUMOTO,13:47,
ROMANCECAR_W_19,1,SHINJUKU,,13:05
ROMANCECAR_W_19,2,MACHIDA,13:40,13:41
ROMANCECAR_W_19,3,EBINA,13:49,13:50
ROMANCECAR_W_19,4,HONATSUGI,13:54,13:55
ROMANCECAR_W_19,5,HADANO,14:07,14:08
ROMANCECAR_W_19,6,ODAWARA,14:17,14:19
ROMANCECAR_W_19,7,HAKONEYUMOTO,14:30,
ROMANCECAR_W_21,1,SHINJUKU,,13:31
ROMANCECAR_W_21,2,MACHIDA,14:06,14:07
ROMANCECAR_W_21,3,EBINA,14:15,14:16
ROMANCECAR_W_21,4,HONATSUGI,14:20,14:21
ROMANCECAR_W_21,5,HADANO,14:33,14:34
ROMANCECAR_W_21,6,ODAWARA,14:43,14:45
ROMANCECAR_W_21,7,HAKONEYUMOTO,14:56,
ROMANCECAR_W_23,1,SHINJUKU,,14:02
ROMANCECAR_W_23,2,MACHIDA,14:37,14:38
ROMANCECAR_W_23,3,EBINA,14:46,14:47
ROMANCECAR_W_23,4,HONATSUGI,14:51,14:52
ROMANCECAR_W_23,5,HADANO,15:04,15:05
ROMANCECAR_W_23,6,ODAWARA,15:14,15:16
ROMANCECAR_W_23,7,HAKONEYUMOTO,15:27,
ROMANCECAR_W_25,1,SHINJUKU,,15:00
ROMANCECAR_W_25,2,MACHIDA,15:35,15:36
ROMANCECAR_W_25,3,EBINA,15:44,15:45
ROMANCECAR_W_25,4,HONATSUGI,15:49,15:50
ROMANCECAR_W_25,5,HADANO,16:02,16:03
ROMANCECAR_W_25,6,ODAWARA,16:12,16:14
ROMANCECAR_W_25,7,HAKONEYUMOTO,16:25,
ROMANCECAR_W_27,1,SHINJUKU,,16:12
ROMANCECAR_W_27,2,MACHIDA,16:47,16:48
ROMANCECAR_W_27,3,EBINA,16:56,16:57
ROMANCECAR_W_27,4,HONATSUGI,17:01,17:02
ROMANCECAR_W_27,5,HADANO,17:14,17:15
ROMANCECAR_W_27,6,ODAWARA,17:24,17:26
ROMANCECAR_W_27,7,HAKONEYUMOTO,17:37,
ROMANCECAR_W_29,1,SHINJUKU,,17:03
ROMANCECAR_W_29,2,MACHIDA,17:38,17:39
ROMANCECAR_W_29,3,EBINA,17:47,17:48
ROMANCECAR_W_29,4,HONATSUGI,17:52,17:53
ROMANCECAR_W_29,5,HADANO,18:05,18:06
ROMANCECAR_W_29,6,ODAWARA,18:15,18:17
ROMANCECAR_W_29,7,HAKONEYUMOTO,18:28,
ROMANCECAR_W_31,1,SHINJUKU,,18:15
ROMANCECAR_W_31,2,MACHIDA,18:50,18:51
ROMANCECAR_W_31,3,EBINA,18:59,19:00
ROMANCECAR_W_31,4,HONATSUGI,19:04,19:05
ROMANCECAR_W_31,5,HADANO,19:17,19:18
ROMANCECAR_W_31,6,ODAWARA,19:27,19:29
ROMANCECAR_W_31,7,HAKONEYUMOTO,19:40,
ROMANCECAR_W_2,1,HAKONEYUMOTO,,09:32
ROMANCECAR_W_2,2,ODAWARA,09:43,09:45
ROMANCECAR_W_2,3,HADANO,09:54,09:55
ROMANCECAR_W_2,4,HONATSUGI,10:07,10:08
ROMANCECAR_W_2,5,EBINA,10:12,10:13
ROMANCECAR_W_2,6,MACHIDA,10:21,10:22
ROMANCECAR_W_2,7,SHINJUKU,10:57,
ROMANCECAR_W_4,1,HAKONEYUMOTO,,10:10
ROMANCECAR_W_4,2,ODAWARA,10:21,10:23
ROMANCECAR_W_4,3,HADANO,10:32,10:33
ROMANCECAR_W_4,4,HONATSUGI,10:45,10:46
ROMANCECAR_W_4,5,EBINA,10:50,10:51
ROMANCECAR_W_4,6,MACHIDA,10:59,11:00
ROMANCECAR_W_4,7,SHINJUKU,11:35,
ROMANCECAR_W_6,1,HAKONEYUMOTO,,10:34
ROMANCECAR_W_6,2,ODAWARA,10:45,10:47
ROMANCECAR_W_6,3,HADANO,10:56,10:57
ROMANCECAR_W_6,4,HONATSUGI,11:09,11:10
ROMANCECAR_W_6,5,EBINA,11:14,11:15
ROMANCECAR_W_6,6,MACHIDA,11:23,11:24
ROMANCECAR_W_6,7,SHINJUKU,11:59,
ROMANCECAR_W_8,1,HAKONEYUMOTO,,11:13
ROMANCECAR_W_8,2,ODAWARA,11:24,11:26
ROMANCECAR_W_8,3,HADANO,11:35,11:36
ROMANCECAR_W_8,4,HONATSUGI,11:48,11:49
ROMANCECAR_W_8,5,EBINA,11:53,11:54
ROMANCECAR_W_8,6,MACHIDA,12:02,12:03
ROMANCECAR_W_8,7,SHINJUKU,12:38,
ROMANCECAR_W_10,1,HAKONEYUMOTO,,11:35
ROMANCECAR_W_10,2,ODAWARA,11:46,11:48
ROMANCECAR_W_10,3,HADANO,11:57,11:58
ROMANCECAR_W_10,4,HONATSUGI,12:10,12:11
ROMANCECAR_W_10,5,EBINA,12:15,12:16
