train_id,stop_order,station_id,arrival,departure
ROMANCECAR_ENOSHIMA_H_1,1,SHINJUKU,,07:00
ROMANCECAR_ENOSHIMA_H_1,2,MACHIDA,07:35,07:36
ROMANCECAR_ENOSHIMA_H_1,3,YAMATO,07:46,07:47
ROMANCECAR_ENOSHIMA_H_1,4,FUJISAWA,07:58,07:59
ROMANCECAR_ENOSHIMA_H_1,5,KATASE_ENOSHIMA,08:05,
ROMANCECAR_ENOSHIMA_H_3,1,SHINJUKU,,09:00
ROMANCECAR_ENOSHIMA_H_3,2,MACHIDA,09:35,09:36
ROMANCECAR_ENOSHIMA_H_3,3,YAMATO,09:46,09:47
ROMANCECAR_ENOSHIMA_H_3,4,FUJISAWA,09:58,09:59
ROMANCECAR_ENOSHIMA_H_3,5,KATASE_ENOSHIMA,10:05,
ROMANCECAR_ENOSHIMA_H_5,1,SHINJUKU,,10:00
ROMANCECAR_ENOSHIMA_H_5,2,MACHIDA,10:35,10:36
ROMANCECAR_ENOSHIMA_H_5,3,YAMATO,10:46,10:47
ROMANCECAR_ENOSHIMA_H_5,4,FUJISAWA,10:58,10:59
ROMANCECAR_ENOSHIMA_H_5,5,KATASE_ENOSHIMA,11:05,
ROMANCECAR_ENOSHIMA_H_7,1,SHINJUKU,,11:00
ROMANCECAR_ENOSHIMA_H_7,2,MACHIDA,11:35,11:36
ROMANCECAR_ENOSHIMA_H_7,3,YAMATO,11:46,11:47
ROMANCECAR_ENOSHIMA_H_7,4,FUJISAWA,11:58,11:59
ROMANCECAR_ENOSHIMA_H_7,5,KATASE_ENOSHIMA,12:05,
ROMANCECAR_ENOSHIMA_H_9,1,SHINJUKU,,14:00
ROMANCECAR_ENOSHIMA_H_9,2,MACHIDA,14:35,14:36
ROMANCECAR_ENOSHIMA_H_9,3,YAMATO,14:46,14:47
ROMANCECAR_ENOSHIMA_H_9,4,FUJISAWA,14:58,14:59
ROMANCECAR_ENOSHIMA_H_9,5,KATASE_ENOSHIMA,15:05,
ROMANCECAR_ENOSHIMA_H_11,1,SHINJUKU,,17:00
ROMANCECAR_ENOSHIMA_H_11,2,MACHIDA,17:35,17:36
ROMANCECAR_ENOSHIMA_H_11,3,YAMATO,17:46,17:47
ROMANCECAR_ENOSHIMA_H_11,4,FUJISAWA,17:58,17:59
ROMANCECAR_ENOSHIMA_H_11,5,KATASE_ENOSHIMA,18:05,
ROMANCECAR_ENOSHIMA_H_2,1,KATASE_ENOSHIMA,,09:00
ROMANCECAR_ENOSHIMA_H_2,2,FUJISAWA,09:06,09:07
ROMANCECAR_ENOSHIMA_H_2,3,YAMATO,09:18,09:19
ROMANCECAR_ENOSHIMA_H_2,4,MACHIDA,09:29,09:30
ROMANCECAR_ENOSHIMA_H_2,5,SHINJUKU,10:05,
ROMANCECAR_ENOSHIMA_H_4,1,KATASE_ENOSHIMA,,10:00
ROMANCECAR_ENOSHIMA_H_4,2,FUJISAWA,10:06,10:07
ROMANCECAR_ENOSHIMA_H_4,3,YAMATO,10:18,10:19
ROMANCECAR_ENOSHIMA_H_4,4,MACHIDA,10:29,10:30
ROMANCECAR_ENOSHIMA_H_4,5,SHINJUKU,11:05,
ROMANCECAR_ENOSHIMA_H_6,1,KATASE_ENOSHIMA,,12:00
ROMANCECAR_ENOSHIMA_H_6,2,FUJISAWA,12:06,12:07
ROMANCECAR_ENOSHIMA_H_6,3,YAMATO,12:18,12:19
ROMANCECAR_ENOSHIMA_H_6,4,MACHIDA,12:29,12:30
ROMANCECAR_ENOSHIMA_H_6,5,SHINJUKU,13:05,
ROMANCECAR_ENOSHIMA_H_8,1,KATASE_ENOSHIMA,,14:00
ROMANCECAR_ENOSHIMA_H_8,2,FUJISAWA,14:06,14:07
ROMANCECAR_ENOSHIMA_H_8,3,YAMATO,14:18,14:19
ROMANCECAR_ENOSHIMA_H_8,4,MACHIDA,14:29,14:30
ROMANCECAR_ENOSHIMA_H_8,5,SHINJUKU,15:05,
ROMANCECAR_ENOSHIMA_H_10,1,KATASE_ENOSHIMA,,16:00
ROMANCECAR_ENOSHIMA_H_10,2,FUJISAWA,16:06,16:07
ROMANCECAR_ENOSHIMA_H_10,3,YAMATO,16:18,16:19
ROMANCECAR_ENOSHIMA_H_10,4,MACHIDA,16:29,16:30
ROMANCECAR_ENOSHIMA_H_10,5,SHINJUKU,17:05,
ROMANCECAR_ENOSHIMA_H_12,1,KATASE_ENOSHIMA,,17:00
ROMANCECAR_ENOSHIMA_H_12,2,FUJISAWA,17:06,17:07
ROMANCECAR_ENOSHIMA_H_12,3,YAMATO,17:18,17:19
ROMANCECAR_ENOSHIMA_H_12,4,MACHIDA,17:29,17:30
ROMANCECAR_ENOSHIMA_H_12,5,SHINJUKU,18:05,
ROMANCECAR_ENOSHIMA_H_14,1,KATASE_ENOSHIMA,,19:00
ROMANCECAR_ENOSHIMA_H_14,2,FUJISAWA,19:06,19:07
ROMANCECAR_ENOSHIMA_H_14,3,YAMATO,19:18,19:19
ROMANCECAR_ENOSHIMA_H_14,4,MACHIDA,19:29,19:30
ROMANCECAR_ENOSHIMA_H_14,5,SHINJUKU,20:05,
ROMANCECAR_ENOSHIMA_H_16,1,KATASE_ENOSHIMA,,20:00
ROMANCECAR_ENOSHIMA_H_16,2,FUJISAWA,20:06,20:07
ROMANCECAR_ENOSHIMA_H_16,3,YAMATO,20:18,20:19
ROMANCECAR_ENOSHIMA_H_16,4,MACHIDA,20:29,20:30
ROMANCECAR_ENOSHIMA_H_16,5,SHINJUKU,21:05,
