train_id,name,direction
ROMANCECAR_ENOSHIMA_W_1,えのしま1,down
ROMANCECAR_ENOSHIMA_W_3,えのしま3,down
ROMANCECAR_ENOSHIMA_W_2,えのしま2,up
ROMANCECAR_ENOSHIMA_W_4,えのしま4,up
ROMANCECAR_ENOSHIMA_W_6,えのしま6,up
ROMANCECAR_ENOSHIMA_H_1,えのしま1,down
ROMANCECAR_ENOSHIMA_H_3,えのしま3,down
ROMANCECAR_ENOSHIMA_H_5,えのしま5,down
ROMANCECAR_ENOSHIMA_H_7,えのしま7,down
ROMANCECAR_ENOSHIMA_H_9,えのしま9,down
ROMANCECAR_ENOSHIMA_H_11,えのしま11,down
ROMANCECAR_ENOSHIMA_H_2,えのしま2,up
ROMANCECAR_ENOSHIMA_H_4,えのしま4,up
ROMANCECAR_ENOSHIMA_H_6,えのしま6,up
ROMANCECAR_ENOSHIMA_H_8,えのしま8,up
ROMANCECAR_ENOSHIMA_H_10,えのしま10,up
ROMANCECAR_ENOSHIMA_H_12,えのしま12,up
ROMANCECAR_ENOSHIMA_H_14,えのしま14,up
ROMANCECAR_ENOSHIMA_H_16,えのしま16,up
