train_id,stop_order,station_id,arrival,departure
ROMANCECAR_ENOSHIMA_1,1,SHINJUKU,,07:00
ROMANCECAR_ENOSHIMA_1,2,MACHIDA,07:35,07:36
ROMANCECAR_ENOSHIMA_1,3,YAMATO,07:46,07:47
ROMANCECAR_ENOSHIMA_1,4,FUJISAWA,07:58,07:59
ROMANCECAR_ENOSHIMA_1,5,KATASE_ENOSHIMA,08:05,
ROMANCECAR_ENOSHIMA_3,1,SHINJUKU,,09:00
ROMANCECAR_ENOSHIMA_3,2,MACHIDA,09:35,09:36
ROMANCECAR_ENOSHIMA_3,3,YAMATO,09:46,09:47
ROMANCECAR_ENOSHIMA_3,4,FUJISAWA,09:58,09:59
ROMANCECAR_ENOSHIMA_3,5,KATASE_ENOSHIMA,10:05,
ROMANCECAR_ENOSHIMA_5,1,SHINJUKU,,11:00
ROMANCECAR_ENOSHIMA_5,2,MACHIDA,11:35,11:36
ROMANCECAR_ENOSHIMA_5,3,YAMATO,11:46,11:47
ROMANCECAR_ENOSHIMA_5,4,FUJISAWA,11:58,11:59
ROMANCECAR_ENOSHIMA_5,5,KATASE_ENOSHIMA,12:05,
ROMANCECAR_ENOSHIMA_7,1,SHINJUKU,,14:00
ROMANCECAR_ENOSHIMA_7,2,MACHIDA,14:35,14:36
ROMANCECAR_ENOSHIMA_7,3,YAMATO,14:46,14:47
ROMANCECAR_ENOSHIMA_7,4,FUJISAWA,14:58,14:59
ROMANCECAR_ENOSHIMA_7,5,KATASE_ENOSHIMA,15:05,
ROMANCECAR_ENOSHIMA_9,1,SHINJUKU,,17:00
ROMANCECAR_ENOSHIMA_9,2,MACHIDA,17:35,17:36
ROMANCECAR_ENOSHIMA_9,3,YAMATO,17:46,17:47
ROMANCECAR_ENOSHIMA_9,4,FUJISAWA,17:58,17:59
ROMANCECAR_ENOSHIMA_9,5,KATASE_ENOSHIMA,18:05,
ROMANCECAR_ENOSHIMA_2,1,KATASE_ENOSHIMA,,10:00
ROMANCECAR_ENOSHIMA_2,2,FUJISAWA,10:06,10:07
ROMANCECAR_ENOSHIMA_2,3,YAMATO,10:18,10:19
ROMANCECAR_ENOSHIMA_2,4,MACHIDA,10:29,10:30
ROMANCECAR_ENOSHIMA_2,5,SHINJUKU,11:05,
ROMANCECAR_ENOSHIMA_4,1,KATASE_ENOSHIMA,,13:00
ROMANCECAR_ENOSHIMA_4,2,FUJISAWA,13:06,13:07
ROMANCECAR_ENOSHIMA_4,3,YAMATO,13:18,13:19
ROMANCECAR_ENOSHIMA_4,4,MACHIDA,13:29,13:30
ROMANCECAR_ENOSHIMA_4,5,SHINJUKU,14:05,
ROMANCECAR_ENOSHIMA_6,1,KATASE_ENOSHIMA,,16:00
ROMANCECAR_ENOSHIMA_6,2,FUJISAWA,16:06,16:07
ROMANCECAR_ENOSHIMA_6,3,YAMATO,16:18,16:19
ROMANCECAR_ENOSHIMA_6,4,MACHIDA,16:29,16:30
ROMANCECAR_ENOSHIMA_6,5,SHINJUKU,17:05,
ROMANCECAR_ENOSHIMA_8,1,KATASE_ENOSHIMA,,18:00
ROMANCECAR_ENOSHIMA_8,2,FUJISAWA,18:06,18:07
ROMANCECAR_ENOSHIMA_8,3,YAMATO,18:18,18:19
ROMANCECAR_ENOSHIMA_8,4,MACHIDA,18:29,18:30
ROMANCECAR_ENOSHIMA_8,5,SHINJUKU,19:05,
ROMANCECAR_ENOSHIMA_10,1,KATASE_ENOSHIMA,,20:00
ROMANCECAR_ENOSHIMA_10,2,FUJISAWA,20:06,20:07
ROMANCECAR_ENOSHIMA_10,3,YAMATO,20:18,20:19
ROMANCECAR_ENOSHIMA_10,4,MACHIDA,20:29,20:30
ROMANCECAR_ENOSHIMA_10,5,SHINJUKU,21:05,
