train_id,stop_order,station_id,arrival,departure
ROMANCECAR_FUJISAN_1,1,SHINJUKU,,08:30
ROMANCECAR_FUJISAN_1,2,MACHIDA,09:05,09:06
ROMANCECAR_FUJISAN_1,3,EBINA,09:14,09:15
ROMANCECAR_FUJISAN_1,4,HONATSUGI,09:19,09:20
ROMANCECAR_FUJISAN_1,5,HADANO,09:32,09:33
ROMANCECAR_FUJISAN_1,6,SHIN_MATSUDA,09:43,09:45
ROMANCECAR_FUJISAN_1,7,GOTEMBA,10:00,
ROMANCECAR_FUJISAN_3,1,SHINJUKU,,11:30
ROMANCECAR_FUJISAN_3,2,MACHIDA,12:05,12:06
ROMANCECAR_FUJISAN_3,3,EBINA,12:14,12:15
ROMANCECAR_FUJISAN_3,4,HONATSUGI,12:19,12:20
ROMANCECAR_FUJISAN_3,5,HADANO,12:32,12:33
ROMANCECAR_FUJISAN_3,6,SHIN_MATSUDA,12:43,12:45
ROMANCECAR_FUJISAN_3,7,GOTEMBA,13:00,
ROMANCECAR_FUJISAN_5,1,SHINJUKU,,14:30
ROMANCECAR_FUJISAN_5,2,MACHIDA,15:05,15:06
ROMANCECAR_FUJISAN_5,3,EBINA,15:14,15:15
ROMANCECAR_FUJISAN_5,4,HONATSUGI,15:19,15:20
ROMANCECAR_FUJISAN_5,5,HADANO,15:32,15:33
ROMANCECAR_FUJISAN_5,6,SHIN_MATSUDA,15:43,15:45
ROMANCECAR_FUJISAN_5,7,GOTEMBA,16:00,
ROMANCECAR_FUJISAN_7,1,SHINJUKU,,17:30
ROMANCECAR_FUJISAN_7,2,MACHIDA,18:05,18:06
ROMANCECAR_FUJISAN_7,3,EBINA,18:14,18:15
ROMANCECAR_FUJISAN_7,4,HONATSUGI,18:19,18:20
ROMANCECAR_FUJISAN_7,5,HADANO,18:32,18:33
ROMANCECAR_FUJISAN_7,6,SHIN_MATSUDA,18:43,18:45
ROMANCECAR_FUJISAN_7,7,GOTEMBA,19:00,
ROMANCECAR_FUJISAN_2,1,GOTEMBA,,10:30
ROMANCECAR_FUJISAN_2,2,SHIN_MATSUDA,10:45,10:47
ROMANCECAR_FUJISAN_2,3,HADANO,10:57,10:58
ROMANCECAR_FUJISAN_2,4,HONATSUGI,11:10,11:11
ROMANCECAR_FUJISAN_2,5,EBINA,11:15,11:16
ROMANCECAR_FUJISAN_2,6,MACHIDA,11:24,11:25
ROMANCECAR_FUJISAN_2,7,SHINJUKU,12:00,
ROMANCECAR_FUJISAN_4,1,GOTEMBA,,13:30
ROMANCECAR_FUJISAN_4,2,SHIN_MATSUDA,13:45,13:47
ROMANCECAR_FUJISAN_4,3,HADANO,13:57,13:58
ROMANCECAR_FUJISAN_4,4,HONATSUGI,14:10,14:11
ROMANCECAR_FUJISAN_4,5,EBINA,14:15,14:16
ROMANCECAR_FUJISAN_4,6,MACHIDA,14:24,14:25
ROMANCECAR_FUJISAN_4,7,SHINJUKU,15:00,
ROMANCECAR_FUJISAN_6,1,GOTEMBA,,16:30
ROMANCECAR_FUJISAN_6,2,SHIN_MATSUDA,16:45,16:47
ROMANCECAR_FUJISAN_6,3,HADANO,16:57,16:58
ROMANCECAR_FUJISAN_6,4,HONATSUGI,17:10,17:11
ROMANCECAR_FUJISAN_6,5,EBINA,17:15,17:16
ROMANCECAR_FUJISAN_6,6,MACHIDA,17:24,17:25
ROMANCECAR_FUJISAN_6,7,SHINJUKU,18:00,
ROMANCECAR_FUJISAN_8,1,GOTEMBA,,19:30
ROMANCECAR_FUJISAN_8,2,SHIN_MATSUDA,19:45,19:47
ROMANCECAR_FUJISAN_8,3,HADANO,19:57,19:58
ROMANCECAR_FUJISAN_8,4,HONATSUGI,20:10,20:11
ROMANCECAR_FUJISAN_8,5,EBINA,20:15,20:16
ROMANCECAR_FUJISAN_8,6,MACHIDA,20:24,20:25
ROMANCECAR_FUJISAN_8,7,SHINJUKU,21:00,
