train_id,name,direction
SANYO_1,山陽1,down
SANYO_3,山陽3,down
SANYO_5,山陽5,down
SANYO_7,山陽7,down
SANYO_9,山陽9,down
SANYO_11,山陽11,down
SANYO_13,山陽13,down
SANYO_15,山陽15,down
SANYO_17,山陽17,down
SANYO_19,山陽19,down
SANYO_21,山陽21,down
SANYO_23,山陽23,down
SANYO_25,山陽25,down
SANYO_27,山陽27,down
SANYO_29,山陽29,down
SANYO_31,山陽31,down
SANYO_33,山陽33,down
SANYO_35,山陽35,down
SANYO_37,山陽37,down
SANYO_39,山陽39,down
SANYO_41,山陽41,down
SANYO_43,山陽43,down
SANYO_45,山陽45,down
SANYO_47,山陽47,down
SANYO_49,山陽49,down
SANYO_51,山陽51,down
SANYO_53,山陽53,down
SANYO_55,山陽55,down
SANYO_57,山陽57,down
SANYO_59,山陽59,down
SANYO_61,山陽61,down
SANYO_63,山陽63,down
SANYO_65,山陽65,down
SANYO_67,山陽67,down
SANYO_69,山陽69,down
SANYO_71,山陽71,down
SANYO_73,山陽73,down
SANYO_75,山陽75,down
SANYO_77,山陽77,down
SANYO_79,山陽79,down
SANYO_81,山陽81,down
SANYO_83,山陽83,down
SANYO_85,山陽85,down
SANYO_87,山陽87,down
SANYO_89,山陽89,down
SANYO_91,山陽91,down
SANYO_93,山陽93,down
SANYO_95,山陽95,down
SANYO_97,山陽97,down
SANYO_99,山陽99,down
SANYO_101,山陽101,down
SANYO_2,山陽2,up
SANYO_4,山陽4,up
SANYO_6,山陽6,up
SANYO_8,山陽8,up
SANYO_10,山陽10,up
SANYO_12,山陽12,up
SANYO_14,山陽14,up
SANYO_16,山陽16,up
SANYO_18,山陽18,up
SANYO_20,山陽20,up
SANYO_22,山陽22,up
SANYO_24,山陽24,up
SANYO_26,山陽26,up
SANYO_28,山陽28,up
SANYO_30,山陽30,up
SANYO_32,山陽32,up
SANYO_34,山陽34,up
SANYO_36,山陽36,up
SANYO_38,山陽38,up
SANYO_40,山陽40,up
SANYO_42,山陽42,up
SANYO_44,山陽44,up
SANYO_46,山陽46,up
SANYO_48,山陽48,up
SANYO_50,山陽50,up
SANYO_52,山陽52,up
SANYO_54,山陽54,up
SANYO_56,山陽56,up
SANYO_58,山陽58,up
SANYO_60,山陽60,up
SANYO_62,山陽62,up
SANYO_64,山陽64,up
SANYO_66,山陽66,up
SANYO_68,山陽68,up
SANYO_70,山陽70,up
SANYO_72,山陽72,up
SANYO_74,山陽74,up
SANYO_76,山陽76,up
SANYO_78,山陽78,up
SANYO_80,山陽80,up
SANYO_82,山陽82,up
SANYO_84,山陽84,up
SANYO_86,山陽86,up
SANYO_88,山陽88,up
SANYO_90,山陽90,up
SANYO_92,山陽92,up
SANYO_94,山陽94,up
SANYO_96,山陽96,up
SANYO_98,山陽98,up
SANYO_100,山陽100,up
SANYO_102,山陽102,up
