train_id,stop_order,station_id,arrival,departure
SAZANAMI_1,1,TOKYO,,07:48
SAZANAMI_1,2,SOGA,08:28,08:29
SAZANAMI_1,3,GOI,08:36,08:37
SAZANAMI_1,4,KISARAZU,08:48,08:49
SAZANAMI_1,5,KIMITSU,08:58,
SAZANAMI_3,1,TOKYO,,17:30
SAZANAMI_3,2,SOGA,18:10,18:11
SAZANAMI_3,3,GOI,18:18,18:19
SAZANAMI_3,4,KISARAZU,18:30,18:31
SAZANAMI_3,5,KIMITSU,18:40,
SAZANAMI_5,1,TOKYO,,18:30
SAZANAMI_5,2,SOGA,19:10,19:11
SAZANAMI_5,3,GOI,19:18,19:19
SAZANAMI_5,4,KISARAZU,19:30,19:31
SAZANAMI_5,5,KIMITSU,19:40,
SAZANAMI_2,1,KIMITSU,,06:45
SAZANAMI_2,2,KISARAZU,06:54,06:55
SAZANAMI_2,3,GOI,07:06,07:07
SAZANAMI_2,4,SOGA,07:14,07:15
SAZANAMI_2,5,TOKYO,07:55,
SAZANAMI_4,1,KIMITSU,,07:43
SAZANAMI_4,2,KISARAZU,07:52,07:53
SAZANAMI_4,3,GOI,08:04,08:05
SAZANAMI_4,4,SOGA,08:12,08:13
SAZANAMI_4,5,TOKYO,08:53,
SAZANAMI_6,1,KIMITSU,,17:18
SAZANAMI_6,2,KISARAZU,17:27,17:28
SAZANAMI_6,3,GOI,17:39,17:40
SAZANAMI_6,4,SOGA,17:47,17:48
SAZANAMI_6,5,TOKYO,18:28,
