train_id,stop_order,station_id,arrival,departure
SZ_1,1,TOKYO,,07:30
SZ_1,2,SOGA,08:05,08:07
SZ_1,3,GOI,08:13,08:14
SZ_1,4,KISARAZU,08:25,08:26
SZ_1,5,KIMITSU,08:40,
SZ_3,1,TOKYO,,17:30
SZ_3,2,SOGA,18:05,18:07
SZ_3,3,GOI,18:13,18:14
SZ_3,4,KISARAZU,18:25,18:26
SZ_3,5,KIMITSU,18:40,
SZ_5,1,TOKYO,,18:30
SZ_5,2,SOGA,19:05,19:07
SZ_5,3,GOI,19:13,19:14
SZ_5,4,KISARAZU,19:25,19:26
SZ_5,5,KIMITSU,19:40,
SZ_7,1,TOKYO,,20:00
SZ_7,2,SOGA,20:35,20:37
SZ_7,3,GOI,20:43,20:44
SZ_7,4,KISARAZU,20:55,20:56
SZ_7,5,KIMITSU,21:10,
SZ_2,1,KIMITSU,,06:30
SZ_2,2,KISARAZU,06:44,06:45
SZ_2,3,GOI,06:56,06:57
SZ_2,4,SOGA,07:03,07:05
SZ_2,5,TOKYO,07:40,
SZ_4,1,KIMITSU,,07:30
SZ_4,2,KISARAZU,07:44,07:45
SZ_4,3,GOI,07:56,07:57
SZ_4,4,SOGA,08:03,08:05
SZ_4,5,TOKYO,08:40,
SZ_6,1,KIMITSU,,17:00
SZ_6,2,KISARAZU,17:14,17:15
SZ_6,3,GOI,17:26,17:27
SZ_6,4,SOGA,17:33,17:35
SZ_6,5,TOKYO,18:10,
SZ_8,1,KIMITSU,,18:30
SZ_8,2,KISARAZU,18:44,18:45
SZ_8,3,GOI,18:56,18:57
SZ_8,4,SOGA,19:03,19:05
SZ_8,5,TOKYO,19:40,
