train_id,stop_order,station_id,arrival,departure
SHIMAKAZE_KYOTO_1,1,KYOTO,,09:00
SHIMAKAZE_KYOTO_1,2,YAMATO_SAIDAIJI,09:35,09:36
SHIMAKAZE_KYOTO_1,3,YAMATO_YAGI,10:00,10:01
SHIMAKAZE_KYOTO_1,4,ISESHI,11:25,11:26
SHIMAKAZE_KYOTO_1,5,UJIYAMADA,11:30,11:31
SHIMAKAZE_KYOTO_1,6,TOBA,11:43,11:44
SHIMAKAZE_KYOTO_1,7,KASHIKOJIMA,11:45,
SHIMAKAZE_KYOTO_2,1,KASHIKOJIMA,,16:10
SHIMAKAZE_KYOTO_2,2,TOBA,16:12,16:13
SHIMAKAZE_KYOTO_2,3,UJIYAMADA,16:25,16:26
SHIMAKAZE_KYOTO_2,4,ISESHI,16:30,16:31
SHIMAKAZE_KYOTO_2,5,YAMATO_YAGI,17:55,17:56
SHIMAKAZE_KYOTO_2,6,YAMATO_SAIDAIJI,18:20,18:21
SHIMAKAZE_KYOTO_2,7,KYOTO,18:55,
