train_id,stop_order,station_id,arrival,departure
SHIMAKAZE_KYOTO_1,1,KYOTO,,10:00
SHIMAKAZE_KYOTO_1,2,YAMATO_SAIDAIJI,10:35,10:36
SHIMAKAZE_KYOTO_1,3,YAMATO_YAGI,11:00,11:01
SHIMAKAZE_KYOTO_1,4,ISESHI,12:26,12:27
SHIMAKAZE_KYOTO_1,5,UJIYAMADA,12:31,12:32
SHIMAKAZE_KYOTO_1,6,TOBA,12:44,12:45
SHIMAKAZE_KYOTO_1,7,KASHIKOJIMA,12:46,
SHIMAKAZE_KYOTO_2,1,KASHIKOJIMA,,14:50
SHIMAKAZE_KYOTO_2,2,TOBA,14:52,14:53
SHIMAKAZE_KYOTO_2,3,UJIYAMADA,15:05,15:06
SHIMAKAZE_KYOTO_2,4,ISESHI,15:10,15:11
SHIMAKAZE_KYOTO_2,5,YAMATO_YAGI,16:35,16:36
SHIMAKAZE_KYOTO_2,6,YAMATO_SAIDAIJI,17:00,17:01
SHIMAKAZE_KYOTO_2,7,KYOTO,17:34,
