train_id,stop_order,station_id,arrival,departure
SHIMAKAZE_NAGOYA_1,1,KINTETSU_NAGOYA,,10:25
SHIMAKAZE_NAGOYA_1,2,KINTETSU_YOKKAICHI,10:52,10:53
SHIMAKAZE_NAGOYA_1,3,TSU,11:15,11:16
SHIMAKAZE_NAGOYA_1,4,ISESHI,12:05,12:06
SHIMAKAZE_NAGOYA_1,5,UJIYAMADA,12:10,12:11
SHIMAKAZE_NAGOYA_1,6,TOBA,12:23,12:24
SHIMAKAZE_NAGOYA_1,7,KASHIKOJIMA,12:27,
SHIMAKAZE_NAGOYA_2,1,KASHIKOJIMA,,15:40
SHIMAKAZE_NAGOYA_2,2,TOBA,15:45,15:46
SHIMAKAZE_NAGOYA_2,3,UJIYAMADA,15:58,15:59
SHIMAKAZE_NAGOYA_2,4,ISESHI,16:03,16:04
SHIMAKAZE_NAGOYA_2,5,TSU,16:52,16:53
SHIMAKAZE_NAGOYA_2,6,KINTETSU_YOKKAICHI,17:15,17:16
SHIMAKAZE_NAGOYA_2,7,KINTETSU_NAGOYA,17:44,
