train_id,stop_order,station_id,arrival,departure
SHIMAKAZE_OSAKA_1,1,OSAKA_NAMBA,,10:40
SHIMAKAZE_OSAKA_1,2,OSAKA_UEHOMMACHI,10:44,10:45
SHIMAKAZE_OSAKA_1,3,TSURUHASHI,10:48,10:49
SHIMAKAZE_OSAKA_1,4,YAMATO_YAGI,11:17,11:18
SHIMAKAZE_OSAKA_1,5,UJIYAMADA,12:43,12:44
SHIMAKAZE_OSAKA_1,6,TOBA,12:57,12:58
SHIMAKAZE_OSAKA_1,7,KASHIKOJIMA,13:03,
SHIMAKAZE_OSAKA_2,1,KASHIKOJIMA,,16:00
SHIMAKAZE_OSAKA_2,2,TOBA,16:06,16:07
SHIMAKAZE_OSAKA_2,3,UJIYAMADA,16:20,16:21
SHIMAKAZE_OSAKA_2,4,YAMATO_YAGI,17:45,17:46
SHIMAKAZE_OSAKA_2,5,TSURUHASHI,18:13,18:14
SHIMAKAZE_OSAKA_2,6,OSAKA_UEHOMMACHI,18:17,18:18
SHIMAKAZE_OSAKA_2,7,OSAKA_NAMBA,18:21,
