train_id,stop_order,station_id,arrival,departure
SHIMANTO_1,1,TAKAMATSU,,08:00
SHIMANTO_1,2,TADOTSU,08:32,08:33
SHIMANTO_1,3,KOTOHIRA,08:51,08:52
SHIMANTO_1,4,AWA_IKEDA,09:16,09:17
SHIMANTO_1,5,TOSA_YAMADA,10:09,10:10
SHIMANTO_1,6,KOCHI,10:32,
SHIMANTO_3,1,TAKAMATSU,,13:00
SHIMANTO_3,2,TADOTSU,13:32,13:33
SHIMANTO_3,3,KOTOHIRA,13:51,13:52
SHIMANTO_3,4,AWA_IKEDA,14:16,14:17
SHIMANTO_3,5,TOSA_YAMADA,15:09,15:10
SHIMANTO_3,6,KOCHI,15:32,
SHIMANTO_5,1,TAKAMATSU,,18:00
SHIMANTO_5,2,TADOTSU,18:32,18:33
SHIMANTO_5,3,KOTOHIRA,18:51,18:52
SHIMANTO_5,4,AWA_IKEDA,19:16,19:17
SHIMANTO_5,5,TOSA_YAMADA,20:09,20:10
SHIMANTO_5,6,KOCHI,20:32,
SHIMANTO_2,1,KOCHI,,06:00
SHIMANTO_2,2,TOSA_YAMADA,06:22,06:23
SHIMANTO_2,3,AWA_IKEDA,07:15,07:16
SHIMANTO_2,4,KOTOHIRA,07:40,07:41
SHIMANTO_2,5,TADOTSU,07:59,08:00
SHIMANTO_2,6,TAKAMATSU,08:32,
SHIMANTO_4,1,KOCHI,,11:00
SHIMANTO_4,2,TOSA_YAMADA,11:22,11:23
SHIMANTO_4,3,AWA_IKEDA,12:15,12:16
SHIMANTO_4,4,KOTOHIRA,12:40,12:41
SHIMANTO_4,5,TADOTSU,12:59,13:00
SHIMANTO_4,6,TAKAMATSU,13:32,
SHIMANTO_6,1,KOCHI,,16:00
SHIMANTO_6,2,TOSA_YAMADA,16:22,16:23
SHIMANTO_6,3,AWA_IKEDA,17:15,17:16
SHIMANTO_6,4,KOTOHIRA,17:40,17:41
SHIMANTO_6,5,TADOTSU,17:59,18:00
SHIMANTO_6,6,TAKAMATSU,18:32,
