train_id,stop_order,station_id,arrival,departure
SM_1,1,TAKAMATSU,,07:00
SM_1,2,TADOTSU,07:30,07:31
SM_1,3,KOTOHIRA,07:45,07:46
SM_1,4,AWA_IKEDA,08:20,08:21
SM_1,5,TOSA_YAMADA,09:10,09:11
SM_1,6,KOCHI,09:25,
SM_3,1,TAKAMATSU,,13:00
SM_3,2,TADOTSU,13:30,13:31
SM_3,3,KOTOHIRA,13:45,13:46
SM_3,4,AWA_IKEDA,14:20,14:21
SM_3,5,TOSA_YAMADA,15:10,15:11
SM_3,6,KOCHI,15:25,
SM_5,1,TAKAMATSU,,19:00
SM_5,2,TADOTSU,19:30,19:31
SM_5,3,KOTOHIRA,19:45,19:46
SM_5,4,AWA_IKEDA,20:20,20:21
SM_5,5,TOSA_YAMADA,21:10,21:11
SM_5,6,KOCHI,21:25,
SM_2,1,KOCHI,,08:00
SM_2,2,TOSA_YAMADA,08:14,08:15
SM_2,3,AWA_IKEDA,09:04,09:05
SM_2,4,KOTOHIRA,09:39,09:40
SM_2,5,TADOTSU,09:54,09:55
SM_2,6,TAKAMATSU,10:25,
SM_4,1,KOCHI,,14:00
SM_4,2,TOSA_YAMADA,14:14,14:15
SM_4,3,AWA_IKEDA,15:04,15:05
SM_4,4,KOTOHIRA,15:39,15:40
SM_4,5,TADOTSU,15:54,15:55
SM_4,6,TAKAMATSU,16:25,
SM_6,1,KOCHI,,18:00
SM_6,2,TOSA_YAMADA,18:14,18:15
SM_6,3,AWA_IKEDA,19:04,19:05
SM_6,4,KOTOHIRA,19:39,19:40
SM_6,5,TADOTSU,19:54,19:55
SM_6,6,TAKAMATSU,20:25,
