train_id,stop_order,station_id,arrival,departure
SHINANO_1,1,NAGOYA,,07:00
SHINANO_1,2,CHIKUSA,07:05,07:06
SHINANO_1,3,TAJIMI,07:25,07:26
SHINANO_1,4,NAKATSUGAWA,07:50,07:51
SHINANO_1,5,KISO_FUKUSHIMA,08:30,08:31
SHINANO_1,6,SHIOJIRI,09:10,09:12
SHINANO_1,7,MATSUMOTO,09:25,09:27
SHINANO_1,8,SHINONOI,09:55,09:56
SHINANO_1,9,NAGANO,10:07,
SHINANO_3,1,NAGOYA,,08:00
SHINANO_3,2,CHIKUSA,08:05,08:06
SHINANO_3,3,TAJIMI,08:25,08:26
SHINANO_3,4,NAKATSUGAWA,08:50,08:51
SHINANO_3,5,KISO_FUKUSHIMA,09:30,09:31
SHINANO_3,6,SHIOJIRI,10:10,10:12
SHINANO_3,7,MATSUMOTO,10:25,10:27
SHINANO_3,8,SHINONOI,10:55,10:56
SHINANO_3,9,NAGANO,11:07,
SHINANO_5,1,NAGOYA,,09:00
SHINANO_5,2,CHIKUSA,09:05,09:06
SHINANO_5,3,TAJIMI,09:25,09:26
SHINANO_5,4,NAKATSUGAWA,09:50,09:51
SHINANO_5,5,KISO_FUKUSHIMA,10:30,10:31
SHINANO_5,6,SHIOJIRI,11:10,11:12
SHINANO_5,7,MATSUMOTO,11:25,11:27
SHINANO_5,8,SHINONOI,11:55,11:56
SHINANO_5,9,NAGANO,12:07,
SHINANO_7,1,NAGOYA,,10:00
SHINANO_7,2,CHIKUSA,10:05,10:06
SHINANO_7,3,TAJIMI,10:25,10:26
SHINANO_7,4,NAKATSUGAWA,10:50,10:51
SHINANO_7,5,KISO_FUKUSHIMA,11:30,11:31
SHINANO_7,6,SHIOJIRI,12:10,12:12
SHINANO_7,7,MATSUMOTO,12:25,12:27
SHINANO_7,8,SHINONOI,12:55,12:56
SHINANO_7,9,NAGANO,13:07,
SHINANO_9,1,NAGOYA,,11:00
SHINANO_9,2,CHIKUSA,11:05,11:06
SHINANO_9,3,TAJIMI,11:25,11:26
SHINANO_9,4,NAKATSUGAWA,11:50,11:51
SHINANO_9,5,KISO_FUKUSHIMA,12:30,12:31
SHINANO_9,6,SHIOJIRI,13:10,13:12
SHINANO_9,7,MATSUMOTO,13:25,13:27
SHINANO_9,8,SHINONOI,13:55,13:56
SHINANO_9,9,NAGANO,14:07,
SHINANO_11,1,NAGOYA,,12:00
SHINANO_11,2,CHIKUSA,12:05,12:06
SHINANO_11,3,TAJIMI,12:25,12:26
SHINANO_11,4,NAKATSUGAWA,12:50,12:51
SHINANO_11,5,KISO_FUKUSHIMA,13:30,13:31
SHINANO_11,6,SHIOJIRI,14:10,14:12
SHINANO_11,7,MATSUMOTO,14:25,14:27
SHINANO_11,8,SHINONOI,14:55,14:56
SHINANO_11,9,NAGANO,15:07,
SHINANO_13,1,NAGOYA,,13:00
SHINANO_13,2,CHIKUSA,13:05,13:06
SHINANO_13,3,TAJIMI,13:25,13:26
SHINANO_13,4,NAKATSUGAWA,13:50,13:51
SHINANO_13,5,KISO_FUKUSHIMA,14:30,14:31
SHINANO_13,6,SHIOJIRI,15:10,15:12
SHINANO_13,7,MATSUMOTO,15:25,15:27
SHINANO_13,8,SHINONOI,15:55,15:56
SHINANO_13,9,NAGANO,16:07,
SHINANO_15,1,NAGOYA,,14:00
SHINANO_15,2,CHIKUSA,14:05,14:06
SHINANO_15,3,TAJIMI,14:25,14:26
SHINANO_15,4,NAKATSUGAWA,14:50,14:51
SHINANO_15,5,KISO_FUKUSHIMA,15:30,15:31
SHINANO_15,6,SHIOJIRI,16:10,16:12
SHINANO_15,7,MATSUMOTO,16:25,16:27
SHINANO_15,8,SHINONOI,16:55,16:56
SHINANO_15,9,NAGANO,17:07,
SHINANO_17,1,NAGOYA,,15:00
SHINANO_17,2,CHIKUSA,15:05,15:06
SHINANO_17,3,TAJIMI,15:25,15:26
SHINANO_17,4,NAKATSUGAWA,15:50,15:51
SHINANO_17,5,KISO_FUKUSHIMA,16:30,16:31
SHINANO_17,6,SHIOJIRI,17:10,17:12
SHINANO_17,7,MATSUMOTO,17:25,17:27
SHINANO_17,8,SHINONOI,17:55,17:56
SHINANO_17,9,NAGANO,18:07,
SHINANO_19,1,NAGOYA,,17:00
SHINANO_19,2,CHIKUSA,17:05,17:06
SHINANO_19,3,TAJIMI,17:25,17:26
SHINANO_19,4,NAKATSUGAWA,17:50,17:51
SHINANO_19,5,KISO_FUKUSHIMA,18:30,18:31
SHINANO_19,6,SHIOJIRI,19:10,19:12
SHINANO_19,7,MATSUMOTO,19:25,19:27
SHINANO_19,8,SHINONOI,19:55,19:56
SHINANO_19,9,NAGANO,20:07,
SHINANO_21,1,NAGOYA,,18:00
SHINANO_21,2,CHIKUSA,18:05,18:06
SHINANO_21,3,TAJIMI,18:25,18:26
SHINANO_21,4,NAKATSUGAWA,18:50,18:51
SHINANO_21,5,KISO_FUKUSHIMA,19:30,19:31
SHINANO_21,6,SHIOJIRI,20:10,20:12
SHINANO_21,7,MATSUMOTO,20:25,20:27
SHINANO_21,8,SHINONOI,20:55,20:56
SHINANO_21,9,NAGANO,21:07,
SHINANO_23,1,NAGOYA,,20:00
SHINANO_23,2,CHIKUSA,20:05,20:06
SHINANO_23,3,TAJIMI,20:25,20:26
SHINANO_23,4,NAKATSUGAWA,20:50,20:51
SHINANO_23,5,KISO_FUKUSHIMA,21:30,21:31
SHINANO_23,6,SHIOJIRI,22:10,22:12
SHINANO_23,7,MATSUMOTO,22:25,22:27
SHINANO_23,8,SHINONOI,22:55,22:56
SHINANO_23,9,NAGANO,23:07,
SHINANO_2,1,NAGANO,,06:00
SHINANO_2,2,SHINONOI,06:11,06:12
SHINANO_2,3,MATSUMOTO,06:40,06:42
SHINANO_2,4,SHIOJIRI,06:55,06:57
SHINANO_2,5,KISO_FUKUSHIMA,07:36,07:37
SHINANO_2,6,NAKATSUGAWA,08:16,08:17
SHINANO_2,7,TAJIMI,08:41,08:42
SHINANO_2,8,CHIKUSA,09:01,09:02
SHINANO_2,9,NAGOYA,09:07,
SHINANO_4,1,NAGANO,,07:00
SHINANO_4,2,SHINONOI,07:11,07:12
SHINANO_4,3,MATSUMOTO,07:40,07:42
SHINANO_4,4,SHIOJIRI,07:55,07:57
SHINANO_4,5,KISO_FUKUSHIMA,08:36,08:37
SHINANO_4,6,NAKATSUGAWA,09:16,09:17
SHINANO_4,7,TAJIMI,09:41,09:42
SHINANO_4,8,CHIKUSA,10:01,10:02
SHINANO_4,9,NAGOYA,10:07,
SHINANO_6,1,NAGANO,,08:00
SHINANO_6,2,SHINONOI,08:11,08:12
SHINANO_6,3,MATSUMOTO,08:40,08:42
SHINANO_6,4,SHIOJIRI,08:55,08:57
SHINANO_6,5,KISO_FUKUSHIMA,09:36,09:37
SHINANO_6,6,NAKATSUGAWA,10:16,10:17
SHINANO_6,7,TAJIMI,10:41,10:42
SHINANO_6,8,CHIKUSA,11:01,11:02
SHINANO_6,9,NAGOYA,11:07,
SHINANO_8,1,NAGANO,,09:00
SHINANO_8,2,SHINONOI,09:11,09:12
SHINANO_8,3,MATSUMOTO,09:40,09:42
SHINANO_8,4,SHIOJIRI,09:55,09:57
SHINANO_8,5,KISO_FUKUSHIMA,10:36,10:37
SHINANO_8,6,NAKATSUGAWA,11:16,11:17
SHINANO_8,7,TAJIMI,11:41,11:42
SHINANO_8,8,CHIKUSA,12:01,12:02
SHINANO_8,9,NAGOYA,12:07,
SHINANO_10,1,NAGANO,,10:00
SHINANO_10,2,SHINONOI,10:11,10:12
SHINANO_10,3,MATSUMOTO,10:40,10:42
SHINANO_10,4,SHIOJIRI,10:55,10:57
SHINANO_10,5,KISO_FUKUSHIMA,11:36,11:37
SHINANO_10,6,NAKATSUGAWA,12:16,12:17
SHINANO_10,7,TAJIMI,12:41,12:42
SHINANO_10,8,CHIKUSA,13:01,13:02
