train_id,name,direction
SHINANO_1,しなの1号,down
SHINANO_3,しなの3号,down
SHINANO_5,しなの5号,down
SHINANO_7,しなの7号,down
SHINANO_9,しなの9号,down
SHINANO_11,しなの11号,down
SHINANO_13,しなの13号,down
SHINANO_15,しなの15号,down
SHINANO_17,しなの17号,down
SHINANO_19,しなの19号,down
SHINANO_21,しなの21号,down
SHINANO_23,しなの23号,down
SHINANO_2,しなの2号,up
SHINANO_4,しなの4号,up
SHINANO_6,しなの6号,up
SHINANO_8,しなの8号,up
SHINANO_10,しなの10号,up
SHINANO_12,しなの12号,up
SHINANO_14,しなの14号,up
SHINANO_16,しなの16号,up
SHINANO_18,しなの18号,up
SHINANO_20,しなの20号,up
SHINANO_22,しなの22号,up
SHINANO_24,しなの24号,up
SHINANO_M_1,しなの1号,down
SHINANO_M_3,しなの3号,down
SHINANO_M_2,しなの2号,up
SHINANO_M_4,しなの4号,up
