train_id,stop_order,station_id,arrival,departure
SHINANO_1,1,NAGOYA,,07:00
SHINANO_1,2,CHIKUSA,07:05,07:06
SHINANO_1,3,TAJIMI,07:25,07:26
SHINANO_1,4,NAKATSUGAWA,07:50,07:51
SHINANO_1,5,KISO_FUKUSHIMA,08:30,08:31
SHINANO_1,6,SHIOJIRI,09:15,09:16
SHINANO_1,7,MATSUMOTO,09:30,09:31
SHINANO_1,8,SHINONOI,10:00,10:01
SHINANO_1,9,NAGANO,10:10,
SHINANO_3,1,NAGOYA,,08:00
SHINANO_3,2,CHIKUSA,08:05,08:06
SHINANO_3,3,TAJIMI,08:25,08:26
SHINANO_3,4,NAKATSUGAWA,08:50,08:51
SHINANO_3,5,KISO_FUKUSHIMA,09:30,09:31
SHINANO_3,6,SHIOJIRI,10:15,10:16
SHINANO_3,7,MATSUMOTO,10:30,10:31
SHINANO_3,8,SHINONOI,11:00,11:01
SHINANO_3,9,NAGANO,11:10,
SHINANO_5,1,NAGOYA,,09:00
SHINANO_5,2,CHIKUSA,09:05,09:06
SHINANO_5,3,TAJIMI,09:25,09:26
SHINANO_5,4,NAKATSUGAWA,09:50,09:51
SHINANO_5,5,KISO_FUKUSHIMA,10:30,10:31
SHINANO_5,6,SHIOJIRI,11:15,11:16
SHINANO_5,7,MATSUMOTO,11:30,11:31
SHINANO_5,8,SHINONOI,12:00,12:01
SHINANO_5,9,NAGANO,12:10,
SHINANO_7,1,NAGOYA,,10:00
SHINANO_7,2,CHIKUSA,10:05,10:06
SHINANO_7,3,TAJIMI,10:25,10:26
SHINANO_7,4,NAKATSUGAWA,10:50,10:51
SHINANO_7,5,KISO_FUKUSHIMA,11:30,11:31
SHINANO_7,6,SHIOJIRI,12:15,12:16
SHINANO_7,7,MATSUMOTO,12:30,12:31
SHINANO_7,8,SHINONOI,13:00,13:01
SHINANO_7,9,NAGANO,13:10,
SHINANO_9,1,NAGOYA,,11:00
SHINANO_9,2,CHIKUSA,11:05,11:06
SHINANO_9,3,TAJIMI,11:25,11:26
SHINANO_9,4,NAKATSUGAWA,11:50,11:51
SHINANO_9,5,KISO_FUKUSHIMA,12:30,12:31
SHINANO_9,6,SHIOJIRI,13:15,13:16
SHINANO_9,7,MATSUMOTO,13:30,13:31
SHINANO_9,8,SHINONOI,14:00,14:01
SHINANO_9,9,NAGANO,14:10,
SHINANO_11,1,NAGOYA,,12:00
SHINANO_11,2,CHIKUSA,12:05,12:06
SHINANO_11,3,TAJIMI,12:25,12:26
SHINANO_11,4,NAKATSUGAWA,12:50,12:51
SHINANO_11,5,KISO_FUKUSHIMA,13:30,13:31
SHINANO_11,6,SHIOJIRI,14:15,14:16
SHINANO_11,7,MATSUMOTO,14:30,14:31
SHINANO_11,8,SHINONOI,15:00,15:01
SHINANO_11,9,NAGANO,15:10,
SHINANO_13,1,NAGOYA,,13:00
SHINANO_13,2,CHIKUSA,13:05,13:06
SHINANO_13,3,TAJIMI,13:25,13:26
SHINANO_13,4,NAKATSUGAWA,13:50,13:51
SHINANO_13,5,KISO_FUKUSHIMA,14:30,14:31
SHINANO_13,6,SHIOJIRI,15:15,15:16
SHINANO_13,7,MATSUMOTO,15:30,15:31
SHINANO_13,8,SHINONOI,16:00,16:01
SHINANO_13,9,NAGANO,16:10,
SHINANO_15,1,NAGOYA,,14:00
SHINANO_15,2,CHIKUSA,14:05,14:06
SHINANO_15,3,TAJIMI,14:25,14:26
SHINANO_15,4,NAKATSUGAWA,14:50,14:51
SHINANO_15,5,KISO_FUKUSHIMA,15:30,15:31
SHINANO_15,6,SHIOJIRI,16:15,16:16
SHINANO_15,7,MATSUMOTO,16:30,16:31
SHINANO_15,8,SHINONOI,17:00,17:01
SHINANO_15,9,NAGANO,17:10,
SHINANO_17,1,NAGOYA,,15:00
SHINANO_17,2,CHIKUSA,15:05,15:06
SHINANO_17,3,TAJIMI,15:25,15:26
SHINANO_17,4,NAKATSUGAWA,15:50,15:51
SHINANO_17,5,KISO_FUKUSHIMA,16:30,16:31
SHINANO_17,6,SHIOJIRI,17:15,17:16
SHINANO_17,7,MATSUMOTO,17:30,17:31
SHINANO_17,8,SHINONOI,18:00,18:01
SHINANO_17,9,NAGANO,18:10,
SHINANO_19,1,NAGOYA,,16:00
SHINANO_19,2,CHIKUSA,16:05,16:06
SHINANO_19,3,TAJIMI,16:25,16:26
SHINANO_19,4,NAKATSUGAWA,16:50,16:51
SHINANO_19,5,KISO_FUKUSHIMA,17:30,17:31
SHINANO_19,6,SHIOJIRI,18:15,18:16
SHINANO_19,7,MATSUMOTO,18:30,18:31
SHINANO_19,8,SHINONOI,19:00,19:01
SHINANO_19,9,NAGANO,19:10,
SHINANO_21,1,NAGOYA,,17:00
SHINANO_21,2,CHIKUSA,17:05,17:06
SHINANO_21,3,TAJIMI,17:25,17:26
SHINANO_21,4,NAKATSUGAWA,17:50,17:51
SHINANO_21,5,KISO_FUKUSHIMA,18:30,18:31
SHINANO_21,6,SHIOJIRI,19:15,19:16
SHINANO_21,7,MATSUMOTO,19:30,19:31
SHINANO_21,8,SHINONOI,20:00,20:01
SHINANO_21,9,NAGANO,20:10,
SHINANO_23,1,NAGOYA,,18:00
SHINANO_23,2,CHIKUSA,18:05,18:06
SHINANO_23,3,TAJIMI,18:25,18:26
SHINANO_23,4,NAKATSUGAWA,18:50,18:51
SHINANO_23,5,KISO_FUKUSHIMA,19:30,19:31
SHINANO_23,6,SHIOJIRI,20:15,20:16
SHINANO_23,7,MATSUMOTO,20:30,20:31
SHINANO_23,8,SHINONOI,21:00,21:01
SHINANO_23,9,NAGANO,21:10,
SHINANO_25,1,NAGOYA,,19:00
SHINANO_25,2,CHIKUSA,19:05,19:06
SHINANO_25,3,TAJIMI,19:25,19:26
SHINANO_25,4,NAKATSUGAWA,19:50,19:51
SHINANO_25,5,KISO_FUKUSHIMA,20:30,20:31
SHINANO_25,6,SHIOJIRI,21:15,21:16
SHINANO_25,7,MATSUMOTO,21:30,21:31
SHINANO_25,8,SHINONOI,22:00,22:01
SHINANO_25,9,NAGANO,22:10,
SHINANO_27,1,NAGOYA,,20:00
SHINANO_27,2,CHIKUSA,20:05,20:06
SHINANO_27,3,TAJIMI,20:25,20:26
SHINANO_27,4,NAKATSUGAWA,20:50,20:51
SHINANO_27,5,KISO_FUKUSHIMA,21:30,21:31
SHINANO_27,6,SHIOJIRI,22:15,22:16
SHINANO_27,7,MATSUMOTO,22:30,22:31
SHINANO_27,8,SHINONOI,23:00,23:01
SHINANO_27,9,NAGANO,23:10,
SHINANO_2,1,NAGANO,,06:00
SHINANO_2,2,SHINONOI,06:10,06:11
SHINANO_2,3,MATSUMOTO,06:40,06:41
SHINANO_2,4,SHIOJIRI,06:55,06:56
SHINANO_2,5,KISO_FUKUSHIMA,07:40,07:41
SHINANO_2,6,NAKATSUGAWA,08:20,08:21
SHINANO_2,7,TAJIMI,08:45,08:46
SHINANO_2,8,CHIKUSA,09:05,09:06
SHINANO_2,9,NAGOYA,09:10,
SHINANO_4,1,NAGANO,,07:00
SHINANO_4,2,SHINONOI,07:10,07:11
SHINANO_4,3,MATSUMOTO,07:40,07:41
SHINANO_4,4,SHIOJIRI,07:55,07:56
SHINANO_4,5,KISO_FUKUSHIMA,08:40,08:41
SHINANO_4,6,NAKATSUGAWA,09:20,09:21
SHINANO_4,7,TAJIMI,09:45,09:46
SHINANO_4,8,CHIKUSA,10:05,10:06
SHINANO_4,9,NAGOYA,10:10,
SHINANO_6,1,NAGANO,,08:00
SHINANO_6,2,SHINONOI,08:10,08:11
SHINANO_6,3,MATSUMOTO,08:40,08:41
SHINANO_6,4,SHIOJIRI,08:55,08:56
SHINANO_6,5,KISO_FUKUSHIMA,09:40,09:41
SHINANO_6,6,NAKATSUGAWA,10:20,10:21
SHINANO_6,7,TAJIMI,10:45,10:46
SHINANO_6,8,CHIKUSA,11:05,11:06
