train_id,stop_order,station_id,arrival,departure
SHIOKAZE_1,1,OKAYAMA,,07:05
SHIOKAZE_1,2,KOJIMA,07:23,07:24
SHIOKAZE_1,3,UTAZU,07:33,07:34
SHIOKAZE_1,4,TADOTSU,07:40,07:41
SHIOKAZE_1,5,KANNONJI,07:58,07:59
SHIOKAZE_1,6,NIIHAMA,08:40,08:42
SHIOKAZE_1,7,IYO_SAIJO,08:58,08:59
SHIOKAZE_1,8,IMABARI,09:20,09:22
SHIOKAZE_1,9,MATSUYAMA,09:50,
SHIOKAZE_3,1,OKAYAMA,,08:05
SHIOKAZE_3,2,KOJIMA,08:23,08:24
SHIOKAZE_3,3,UTAZU,08:33,08:34
SHIOKAZE_3,4,TADOTSU,08:40,08:41
SHIOKAZE_3,5,KANNONJI,08:58,08:59
SHIOKAZE_3,6,NIIHAMA,09:40,09:42
SHIOKAZE_3,7,IYO_SAIJO,09:58,09:59
SHIOKAZE_3,8,IMABARI,10:20,10:22
SHIOKAZE_3,9,MATSUYAMA,10:50,
SHIOKAZE_5,1,OKAYAMA,,09:05
SHIOKAZE_5,2,KOJIMA,09:23,09:24
SHIOKAZE_5,3,UTAZU,09:33,09:34
SHIOKAZE_5,4,TADOTSU,09:40,09:41
SHIOKAZE_5,5,KANNONJI,09:58,09:59
SHIOKAZE_5,6,NIIHAMA,10:40,10:42
SHIOKAZE_5,7,IYO_SAIJO,10:58,10:59
SHIOKAZE_5,8,IMABARI,11:20,11:22
SHIOKAZE_5,9,MATSUYAMA,11:50,
SHIOKAZE_7,1,OKAYAMA,,10:05
SHIOKAZE_7,2,KOJIMA,10:23,10:24
SHIOKAZE_7,3,UTAZU,10:33,10:34
SHIOKAZE_7,4,TADOTSU,10:40,10:41
SHIOKAZE_7,5,KANNONJI,10:58,10:59
SHIOKAZE_7,6,NIIHAMA,11:40,11:42
SHIOKAZE_7,7,IYO_SAIJO,11:58,11:59
SHIOKAZE_7,8,IMABARI,12:20,12:22
SHIOKAZE_7,9,MATSUYAMA,12:50,
SHIOKAZE_9,1,OKAYAMA,,11:05
SHIOKAZE_9,2,KOJIMA,11:23,11:24
SHIOKAZE_9,3,UTAZU,11:33,11:34
SHIOKAZE_9,4,TADOTSU,11:40,11:41
SHIOKAZE_9,5,KANNONJI,11:58,11:59
SHIOKAZE_9,6,NIIHAMA,12:40,12:42
SHIOKAZE_9,7,IYO_SAIJO,12:58,12:59
SHIOKAZE_9,8,IMABARI,13:20,13:22
SHIOKAZE_9,9,MATSUYAMA,13:50,
SHIOKAZE_11,1,OKAYAMA,,12:05
SHIOKAZE_11,2,KOJIMA,12:23,12:24
SHIOKAZE_11,3,UTAZU,12:33,12:34
SHIOKAZE_11,4,TADOTSU,12:40,12:41
SHIOKAZE_11,5,KANNONJI,12:58,12:59
SHIOKAZE_11,6,NIIHAMA,13:40,13:42
SHIOKAZE_11,7,IYO_SAIJO,13:58,13:59
SHIOKAZE_11,8,IMABARI,14:20,14:22
SHIOKAZE_11,9,MATSUYAMA,14:50,
SHIOKAZE_13,1,OKAYAMA,,13:05
SHIOKAZE_13,2,KOJIMA,13:23,13:24
SHIOKAZE_13,3,UTAZU,13:33,13:34
SHIOKAZE_13,4,TADOTSU,13:40,13:41
SHIOKAZE_13,5,KANNONJI,13:58,13:59
SHIOKAZE_13,6,NIIHAMA,14:40,14:42
SHIOKAZE_13,7,IYO_SAIJO,14:58,14:59
SHIOKAZE_13,8,IMABARI,15:20,15:22
