train_id,name,direction
SHIOKAZE_1,しおかぜ1,down
SHIOKAZE_3,しおかぜ3,down
SHIOKAZE_5,しおかぜ5,down
SHIOKAZE_7,しおかぜ7,down
SHIOKAZE_9,しおかぜ9,down
SHIOKAZE_11,しおかぜ11,down
SHIOKAZE_13,しおかぜ13,down
SHIOKAZE_15,しおかぜ15,down
SHIOKAZE_17,しおかぜ17,down
SHIOKAZE_19,しおかぜ19,down
SHIOKAZE_21,しおかぜ21,down
SHIOKAZE_23,しおかぜ23,down
SHIOKAZE_25,しおかぜ25,down
SHIOKAZE_27,しおかぜ27,down
SHIOKAZE_2,しおかぜ2,up
SHIOKAZE_4,しおかぜ4,up
SHIOKAZE_6,しおかぜ6,up
SHIOKAZE_8,しおかぜ8,up
SHIOKAZE_10,しおかぜ10,up
SHIOKAZE_12,しおかぜ12,up
SHIOKAZE_14,しおかぜ14,up
SHIOKAZE_16,しおかぜ16,up
SHIOKAZE_18,しおかぜ18,up
SHIOKAZE_20,しおかぜ20,up
SHIOKAZE_22,しおかぜ22,up
SHIOKAZE_24,しおかぜ24,up
SHIOKAZE_26,しおかぜ26,up
SHIOKAZE_28,しおかぜ28,up
