train_id,stop_order,station_id,arrival,departure
SK_1,1,OKAYAMA,,07:00
SK_1,2,KOJIMA,07:22,07:23
SK_1,3,UTAZU,07:35,07:36
SK_1,4,TADOTSU,07:43,07:44
SK_1,5,KANNONJI,08:00,08:01
SK_1,6,NIIHAMA,08:50,08:51
SK_1,7,IYO_SAIJO,09:05,09:06
SK_1,8,IMABARI,09:30,09:31
SK_1,9,MATSUYAMA,10:00,
SK_3,1,OKAYAMA,,08:00
SK_3,2,KOJIMA,08:22,08:23
SK_3,3,UTAZU,08:35,08:36
SK_3,4,TADOTSU,08:43,08:44
SK_3,5,KANNONJI,09:00,09:01
SK_3,6,NIIHAMA,09:50,09:51
SK_3,7,IYO_SAIJO,10:05,10:06
SK_3,8,IMABARI,10:30,10:31
SK_3,9,MATSUYAMA,11:00,
SK_5,1,OKAYAMA,,09:00
SK_5,2,KOJIMA,09:22,09:23
SK_5,3,UTAZU,09:35,09:36
SK_5,4,TADOTSU,09:43,09:44
SK_5,5,KANNONJI,10:00,10:01
SK_5,6,NIIHAMA,10:50,10:51
SK_5,7,IYO_SAIJO,11:05,11:06
SK_5,8,IMABARI,11:30,11:31
SK_5,9,MATSUYAMA,12:00,
SK_7,1,OKAYAMA,,10:00
SK_7,2,KOJIMA,10:22,10:23
SK_7,3,UTAZU,10:35,10:36
SK_7,4,TADOTSU,10:43,10:44
SK_7,5,KANNONJI,11:00,11:01
SK_7,6,NIIHAMA,11:50,11:51
SK_7,7,IYO_SAIJO,12:05,12:06
SK_7,8,IMABARI,12:30,12:31
SK_7,9,MATSUYAMA,13:00,
SK_9,1,OKAYAMA,,11:00
SK_9,2,KOJIMA,11:22,11:23
SK_9,3,UTAZU,11:35,11:36
SK_9,4,TADOTSU,11:43,11:44
SK_9,5,KANNONJI,12:00,12:01
SK_9,6,NIIHAMA,12:50,12:51
SK_9,7,IYO_SAIJO,13:05,13:06
SK_9,8,IMABARI,13:30,13:31
SK_9,9,MATSUYAMA,14:00,
SK_11,1,OKAYAMA,,12:00
SK_11,2,KOJIMA,12:22,12:23
SK_11,3,UTAZU,12:35,12:36
SK_11,4,TADOTSU,12:43,12:44
SK_11,5,KANNONJI,13:00,13:01
SK_11,6,NIIHAMA,13:50,13:51
SK_11,7,IYO_SAIJO,14:05,14:06
SK_11,8,IMABARI,14:30,14:31
SK_11,9,MATSUYAMA,15:00,
SK_13,1,OKAYAMA,,13:00
SK_13,2,KOJIMA,13:22,13:23
SK_13,3,UTAZU,13:35,13:36
SK_13,4,TADOTSU,13:43,13:44
SK_13,5,KANNONJI,14:00,14:01
SK_13,6,NIIHAMA,14:50,14:51
SK_13,7,IYO_SAIJO,15:05,15:06
SK_13,8,IMABARI,15:30,15:31
SK_13,9,MATSUYAMA,16:00,
SK_15,1,OKAYAMA,,14:00
SK_15,2,KOJIMA,14:22,14:23
SK_15,3,UTAZU,14:35,14:36
SK_15,4,TADOTSU,14:43,14:44
SK_15,5,KANNONJI,15:00,15:01
SK_15,6,NIIHAMA,15:50,15:51
SK_15,7,IYO_SAIJO,16:05,16:06
SK_15,8,IMABARI,16:30,16:31
SK_15,9,MATSUYAMA,17:00,
SK_17,1,OKAYAMA,,15:00
SK_17,2,KOJIMA,15:22,15:23
SK_17,3,UTAZU,15:35,15:36
SK_17,4,TADOTSU,15:43,15:44
SK_17,5,KANNONJI,16:00,16:01
SK_17,6,NIIHAMA,16:50,16:51
SK_17,7,IYO_SAIJO,17:05,17:06
SK_17,8,IMABARI,17:30,17:31
SK_17,9,MATSUYAMA,18:00,
SK_19,1,OKAYAMA,,16:00
SK_19,2,KOJIMA,16:22,16:23
SK_19,3,UTAZU,16:35,16:36
SK_19,4,TADOTSU,16:43,16:44
SK_19,5,KANNONJI,17:00,17:01
SK_19,6,NIIHAMA,17:50,17:51
SK_19,7,IYO_SAIJO,18:05,18:06
SK_19,8,IMABARI,18:30,18:31
SK_19,9,MATSUYAMA,19:00,
SK_21,1,OKAYAMA,,17:00
SK_21,2,KOJIMA,17:22,17:23
SK_21,3,UTAZU,17:35,17:36
SK_21,4,TADOTSU,17:43,17:44
SK_21,5,KANNONJI,18:00,18:01
SK_21,6,NIIHAMA,18:50,18:51
SK_21,7,IYO_SAIJO,19:05,19:06
SK_21,8,IMABARI,19:30,19:31
SK_21,9,MATSUYAMA,20:00,
SK_23,1,OKAYAMA,,18:00
SK_23,2,KOJIMA,18:22,18:23
SK_23,3,UTAZU,18:35,18:36
SK_23,4,TADOTSU,18:43,18:44
SK_23,5,KANNONJI,19:00,19:01
SK_23,6,NIIHAMA,19:50,19:51
SK_23,7,IYO_SAIJO,20:05,20:06
SK_23,8,IMABARI,20:30,20:31
SK_23,9,MATSUYAMA,21:00,
SK_25,1,OKAYAMA,,19:00
SK_25,2,KOJIMA,19:22,19:23
SK_25,3,UTAZU,19:35,19:36
SK_25,4,TADOTSU,19:43,19:44
SK_25,5,KANNONJI,20:00,20:01
SK_25,6,NIIHAMA,20:50,20:51
SK_25,7,IYO_SAIJO,21:05,21:06
SK_25,8,IMABARI,21:30,21:31
