train_id,stop_order,station_id,arrival,departure
SHIOSAI_1,1,TOKYO,,07:38
SHIOSAI_1,2,CHIBA,08:18,08:19
SHIOSAI_1,3,SAKURA,08:34,08:35
SHIOSAI_1,4,YOKAICHIBA,09:03,09:04
SHIOSAI_1,5,ASAHI,09:13,09:14
SHIOSAI_1,6,CHOSHI,09:38,
SHIOSAI_3,1,TOKYO,,09:08
SHIOSAI_3,2,CHIBA,09:48,09:49
SHIOSAI_3,3,SAKURA,10:04,10:05
SHIOSAI_3,4,YOKAICHIBA,10:33,10:34
SHIOSAI_3,5,ASAHI,10:43,10:44
SHIOSAI_3,6,CHOSHI,11:08,
SHIOSAI_5,1,TOKYO,,11:08
SHIOSAI_5,2,CHIBA,11:48,11:49
SHIOSAI_5,3,SAKURA,12:04,12:05
SHIOSAI_5,4,YOKAICHIBA,12:33,12:34
SHIOSAI_5,5,ASAHI,12:43,12:44
SHIOSAI_5,6,CHOSHI,13:08,
SHIOSAI_7,1,TOKYO,,13:08
SHIOSAI_7,2,CHIBA,13:48,13:49
SHIOSAI_7,3,SAKURA,14:04,14:05
SHIOSAI_7,4,YOKAICHIBA,14:33,14:34
SHIOSAI_7,5,ASAHI,14:43,14:44
SHIOSAI_7,6,CHOSHI,15:08,
SHIOSAI_9,1,TOKYO,,15:38
SHIOSAI_9,2,CHIBA,16:18,16:19
SHIOSAI_9,3,SAKURA,16:34,16:35
SHIOSAI_9,4,YOKAICHIBA,17:03,17:04
SHIOSAI_9,5,ASAHI,17:13,17:14
SHIOSAI_9,6,CHOSHI,17:38,
SHIOSAI_11,1,TOKYO,,17:23
SHIOSAI_11,2,CHIBA,18:03,18:04
SHIOSAI_11,3,SAKURA,18:19,18:20
SHIOSAI_11,4,YOKAICHIBA,18:48,18:49
SHIOSAI_11,5,ASAHI,18:58,18:59
SHIOSAI_11,6,CHOSHI,19:23,
SHIOSAI_13,1,TOKYO,,18:23
SHIOSAI_13,2,CHIBA,19:03,19:04
SHIOSAI_13,3,SAKURA,19:19,19:20
SHIOSAI_13,4,YOKAICHIBA,19:48,19:49
SHIOSAI_13,5,ASAHI,19:58,19:59
SHIOSAI_13,6,CHOSHI,20:23,
SHIOSAI_15,1,TOKYO,,20:23
SHIOSAI_15,2,CHIBA,21:03,21:04
SHIOSAI_15,3,SAKURA,21:19,21:20
SHIOSAI_15,4,YOKAICHIBA,21:48,21:49
SHIOSAI_15,5,ASAHI,21:58,21:59
SHIOSAI_15,6,CHOSHI,22:23,
SHIOSAI_2,1,CHOSHI,,05:08
SHIOSAI_2,2,ASAHI,05:32,05:33
SHIOSAI_2,3,YOKAICHIBA,05:42,05:43
SHIOSAI_2,4,SAKURA,06:11,06:12
SHIOSAI_2,5,CHIBA,06:27,06:28
SHIOSAI_2,6,TOKYO,07:08,
SHIOSAI_4,1,CHOSHI,,06:23
SHIOSAI_4,2,ASAHI,06:47,06:48
SHIOSAI_4,3,YOKAICHIBA,06:57,06:58
SHIOSAI_4,4,SAKURA,07:26,07:27
SHIOSAI_4,5,CHIBA,07:42,07:43
SHIOSAI_4,6,TOKYO,08:23,
SHIOSAI_6,1,CHOSHI,,08:23
SHIOSAI_6,2,ASAHI,08:47,08:48
SHIOSAI_6,3,YOKAICHIBA,08:57,08:58
SHIOSAI_6,4,SAKURA,09:26,09:27
SHIOSAI_6,5,CHIBA,09:42,09:43
SHIOSAI_6,6,TOKYO,10:23,
SHIOSAI_8,1,CHOSHI,,10:23
SHIOSAI_8,2,ASAHI,10:47,10:48
SHIOSAI_8,3,YOKAICHIBA,10:57,10:58
SHIOSAI_8,4,SAKURA,11:26,11:27
SHIOSAI_8,5,CHIBA,11:42,11:43
SHIOSAI_8,6,TOKYO,12:23,
SHIOSAI_10,1,CHOSHI,,13:23
SHIOSAI_10,2,ASAHI,13:47,13:48
SHIOSAI_10,3,YOKAICHIBA,13:57,13:58
SHIOSAI_10,4,SAKURA,14:26,14:27
SHIOSAI_10,5,CHIBA,14:42,14:43
SHIOSAI_10,6,TOKYO,15:23,
SHIOSAI_12,1,CHOSHI,,15:23
SHIOSAI_12,2,ASAHI,15:47,15:48
SHIOSAI_12,3,YOKAICHIBA,15:57,15:58
SHIOSAI_12,4,SAKURA,16:26,16:27
SHIOSAI_12,5,CHIBA,16:42,16:43
SHIOSAI_12,6,TOKYO,17:23,
SHIOSAI_14,1,CHOSHI,,17:23
SHIOSAI_14,2,ASAHI,17:47,17:48
SHIOSAI_14,3,YOKAICHIBA,17:57,17:58
SHIOSAI_14,4,SAKURA,18:26,18:27
SHIOSAI_14,5,CHIBA,18:42,18:43
SHIOSAI_14,6,TOKYO,19:23,
SHIOSAI_16,1,CHOSHI,,19:43
SHIOSAI_16,2,ASAHI,20:07,20:08
SHIOSAI_16,3,YOKAICHIBA,20:17,20:18
SHIOSAI_16,4,SAKURA,20:46,20:47
SHIOSAI_16,5,CHIBA,21:02,21:03
SHIOSAI_16,6,TOKYO,21:43,
