train_id,stop_order,station_id,arrival,departure
SS_1,1,TOKYO,,07:00
SS_1,2,CHIBA,07:35,07:37
SS_1,3,SAKURA,07:50,07:51
SS_1,4,YOKAICHIBA,08:20,08:21
SS_1,5,ASAHI,08:30,08:31
SS_1,6,CHOSHI,08:55,
SS_3,1,TOKYO,,09:00
SS_3,2,CHIBA,09:35,09:37
SS_3,3,SAKURA,09:50,09:51
SS_3,4,YOKAICHIBA,10:20,10:21
SS_3,5,ASAHI,10:30,10:31
SS_3,6,CHOSHI,10:55,
SS_5,1,TOKYO,,11:00
SS_5,2,CHIBA,11:35,11:37
SS_5,3,SAKURA,11:50,11:51
SS_5,4,YOKAICHIBA,12:20,12:21
SS_5,5,ASAHI,12:30,12:31
SS_5,6,CHOSHI,12:55,
SS_7,1,TOKYO,,13:00
SS_7,2,CHIBA,13:35,13:37
SS_7,3,SAKURA,13:50,13:51
SS_7,4,YOKAICHIBA,14:20,14:21
SS_7,5,ASAHI,14:30,14:31
SS_7,6,CHOSHI,14:55,
SS_9,1,TOKYO,,15:00
SS_9,2,CHIBA,15:35,15:37
SS_9,3,SAKURA,15:50,15:51
SS_9,4,YOKAICHIBA,16:20,16:21
SS_9,5,ASAHI,16:30,16:31
SS_9,6,CHOSHI,16:55,
SS_11,1,TOKYO,,17:00
SS_11,2,CHIBA,17:35,17:37
SS_11,3,SAKURA,17:50,17:51
SS_11,4,YOKAICHIBA,18:20,18:21
SS_11,5,ASAHI,18:30,18:31
SS_11,6,CHOSHI,18:55,
SS_13,1,TOKYO,,18:30
SS_13,2,CHIBA,19:05,19:07
SS_13,3,SAKURA,19:20,19:21
SS_13,4,YOKAICHIBA,19:50,19:51
SS_13,5,ASAHI,20:00,20:01
SS_13,6,CHOSHI,20:25,
SS_15,1,TOKYO,,20:00
SS_15,2,CHIBA,20:35,20:37
SS_15,3,SAKURA,20:50,20:51
SS_15,4,YOKAICHIBA,21:20,21:21
SS_15,5,ASAHI,21:30,21:31
SS_15,6,CHOSHI,21:55,
SS_2,1,CHOSHI,,06:00
SS_2,2,ASAHI,06:24,06:25
SS_2,3,YOKAICHIBA,06:34,06:35
SS_2,4,SAKURA,07:04,07:05
SS_2,5,CHIBA,07:18,07:20
SS_2,6,TOKYO,07:55,
SS_4,1,CHOSHI,,08:30
SS_4,2,ASAHI,08:54,08:55
SS_4,3,YOKAICHIBA,09:04,09:05
SS_4,4,SAKURA,09:34,09:35
SS_4,5,CHIBA,09:48,09:50
SS_4,6,TOKYO,10:25,
SS_6,1,CHOSHI,,10:00
SS_6,2,ASAHI,10:24,10:25
SS_6,3,YOKAICHIBA,10:34,10:35
SS_6,4,SAKURA,11:04,11:05
SS_6,5,CHIBA,11:18,11:20
SS_6,6,TOKYO,11:55,
SS_8,1,CHOSHI,,12:00
SS_8,2,ASAHI,12:24,12:25
SS_8,3,YOKAICHIBA,12:34,12:35
SS_8,4,SAKURA,13:04,13:05
SS_8,5,CHIBA,13:18,13:20
SS_8,6,TOKYO,13:55,
SS_10,1,CHOSHI,,14:00
SS_10,2,ASAHI,14:24,14:25
SS_10,3,YOKAICHIBA,14:34,14:35
SS_10,4,SAKURA,15:04,15:05
SS_10,5,CHIBA,15:18,15:20
SS_10,6,TOKYO,15:55,
SS_12,1,CHOSHI,,16:00
SS_12,2,ASAHI,16:24,16:25
SS_12,3,YOKAICHIBA,16:34,16:35
SS_12,4,SAKURA,17:04,17:05
SS_12,5,CHIBA,17:18,17:20
SS_12,6,TOKYO,17:55,
SS_14,1,CHOSHI,,18:00
SS_14,2,ASAHI,18:24,18:25
SS_14,3,YOKAICHIBA,18:34,18:35
SS_14,4,SAKURA,19:04,19:05
SS_14,5,CHIBA,19:18,19:20
SS_14,6,TOKYO,19:55,
SS_16,1,CHOSHI,,19:30
SS_16,2,ASAHI,19:54,19:55
SS_16,3,YOKAICHIBA,20:04,20:05
SS_16,4,SAKURA,20:34,20:35
SS_16,5,CHIBA,20:48,20:50
SS_16,6,TOKYO,21:25,
