train_id,stop_order,station_id,arrival,departure
SHIRASAGI_1,1,NAGOYA,,06:00
SHIRASAGI_1,2,GIFU,06:19,06:20
SHIRASAGI_1,3,MAIBARA,06:51,06:53
SHIRASAGI_1,4,NAGAHAMA,07:00,07:01
SHIRASAGI_1,5,TSURUGA,07:40,
SHIRASAGI_3,1,NAGOYA,,07:00
SHIRASAGI_3,2,GIFU,07:19,07:20
SHIRASAGI_3,3,MAIBARA,07:51,07:53
SHIRASAGI_3,4,NAGAHAMA,08:00,08:01
SHIRASAGI_3,5,TSURUGA,08:40,
SHIRASAGI_5,1,NAGOYA,,08:00
SHIRASAGI_5,2,GIFU,08:19,08:20
SHIRASAGI_5,3,MAIBARA,08:51,08:53
SHIRASAGI_5,4,NAGAHAMA,09:00,09:01
SHIRASAGI_5,5,TSURUGA,09:40,
SHIRASAGI_7,1,NAGOYA,,09:00
SHIRASAGI_7,2,GIFU,09:19,09:20
SHIRASAGI_7,3,MAIBARA,09:51,09:53
SHIRASAGI_7,4,NAGAHAMA,10:00,10:01
SHIRASAGI_7,5,TSURUGA,10:40,
SHIRASAGI_9,1,NAGOYA,,10:00
SHIRASAGI_9,2,GIFU,10:19,10:20
SHIRASAGI_9,3,MAIBARA,10:51,10:53
SHIRASAGI_9,4,NAGAHAMA,11:00,11:01
SHIRASAGI_9,5,TSURUGA,11:40,
SHIRASAGI_11,1,NAGOYA,,11:00
SHIRASAGI_11,2,GIFU,11:19,11:20
SHIRASAGI_11,3,MAIBARA,11:51,11:53
SHIRASAGI_11,4,NAGAHAMA,12:00,12:01
SHIRASAGI_11,5,TSURUGA,12:40,
SHIRASAGI_13,1,NAGOYA,,12:00
SHIRASAGI_13,2,GIFU,12:19,12:20
SHIRASAGI_13,3,MAIBARA,12:51,12:53
SHIRASAGI_13,4,NAGAHAMA,13:00,13:01
SHIRASAGI_13,5,TSURUGA,13:40,
SHIRASAGI_15,1,NAGOYA,,13:00
SHIRASAGI_15,2,GIFU,13:19,13:20
SHIRASAGI_15,3,MAIBARA,13:51,13:53
SHIRASAGI_15,4,NAGAHAMA,14:00,14:01
SHIRASAGI_15,5,TSURUGA,14:40,
SHIRASAGI_17,1,NAGOYA,,14:00
SHIRASAGI_17,2,GIFU,14:19,14:20
SHIRASAGI_17,3,MAIBARA,14:51,14:53
SHIRASAGI_17,4,NAGAHAMA,15:00,15:01
SHIRASAGI_17,5,TSURUGA,15:40,
SHIRASAGI_19,1,NAGOYA,,15:00
SHIRASAGI_19,2,GIFU,15:19,15:20
SHIRASAGI_19,3,MAIBARA,15:51,15:53
SHIRASAGI_19,4,NAGAHAMA,16:00,16:01
SHIRASAGI_19,5,TSURUGA,16:40,
SHIRASAGI_21,1,NAGOYA,,16:00
SHIRASAGI_21,2,GIFU,16:19,16:20
SHIRASAGI_21,3,MAIBARA,16:51,16:53
SHIRASAGI_21,4,NAGAHAMA,17:00,17:01
SHIRASAGI_21,5,TSURUGA,17:40,
SHIRASAGI_23,1,NAGOYA,,17:00
SHIRASAGI_23,2,GIFU,17:19,17:20
SHIRASAGI_23,3,MAIBARA,17:51,17:53
SHIRASAGI_23,4,NAGAHAMA,18:00,18:01
SHIRASAGI_23,5,TSURUGA,18:40,
SHIRASAGI_25,1,NAGOYA,,18:00
SHIRASAGI_25,2,GIFU,18:19,18:20
SHIRASAGI_25,3,MAIBARA,18:51,18:53
SHIRASAGI_25,4,NAGAHAMA,19:00,19:01
SHIRASAGI_25,5,TSURUGA,19:40,
SHIRASAGI_27,1,NAGOYA,,19:00
SHIRASAGI_27,2,GIFU,19:19,19:20
SHIRASAGI_27,3,MAIBARA,19:51,19:53
SHIRASAGI_27,4,NAGAHAMA,20:00,20:01
SHIRASAGI_27,5,TSURUGA,20:40,
SHIRASAGI_29,1,NAGOYA,,20:00
SHIRASAGI_29,2,GIFU,20:19,20:20
SHIRASAGI_29,3,MAIBARA,20:51,20:53
SHIRASAGI_29,4,NAGAHAMA,21:00,21:01
SHIRASAGI_29,5,TSURUGA,21:40,
SHIRASAGI_31,1,NAGOYA,,21:00
SHIRASAGI_31,2,GIFU,21:19,21:20
SHIRASAGI_31,3,MAIBARA,21:51,21:53
SHIRASAGI_31,4,NAGAHAMA,22:00,22:01
SHIRASAGI_31,5,TSURUGA,22:40,
SHIRASAGI_2,1,TSURUGA,,06:30
SHIRASAGI_2,2,NAGAHAMA,07:09,07:10
SHIRASAGI_2,3,MAIBARA,07:17,07:19
SHIRASAGI_2,4,GIFU,07:50,07:51
SHIRASAGI_2,5,NAGOYA,08:10,
SHIRASAGI_4,1,TSURUGA,,07:30
SHIRASAGI_4,2,NAGAHAMA,08:09,08:10
SHIRASAGI_4,3,MAIBARA,08:17,08:19
SHIRASAGI_4,4,GIFU,08:50,08:51
SHIRASAGI_4,5,NAGOYA,09:10,
SHIRASAGI_6,1,TSURUGA,,08:30
SHIRASAGI_6,2,NAGAHAMA,09:09,09:10
SHIRASAGI_6,3,MAIBARA,09:17,09:19
SHIRASAGI_6,4,GIFU,09:50,09:51
SHIRASAGI_6,5,NAGOYA,10:10,
SHIRASAGI_8,1,TSURUGA,,09:30
SHIRASAGI_8,2,NAGAHAMA,10:09,10:10
SHIRASAGI_8,3,MAIBARA,10:17,10:19
SHIRASAGI_8,4,GIFU,10:50,10:51
SHIRASAGI_8,5,NAGOYA,11:10,
SHIRASAGI_10,1,TSURUGA,,10:30
SHIRASAGI_10,2,NAGAHAMA,11:09,11:10
SHIRASAGI_10,3,MAIBARA,11:17,11:19
SHIRASAGI_10,4,GIFU,11:50,11:51
SHIRASAGI_10,5,NAGOYA,12:10,
SHIRASAGI_12,1,TSURUGA,,11:30
SHIRASAGI_12,2,NAGAHAMA,12:09,12:10
SHIRASAGI_12,3,MAIBARA,12:17,12:19
SHIRASAGI_12,4,GIFU,12:50,12:51
SHIRASAGI_12,5,NAGOYA,13:10,
SHIRASAGI_14,1,TSURUGA,,12:30
SHIRASAGI_14,2,NAGAHAMA,13:09,13:10
SHIRASAGI_14,3,MAIBARA,13:17,13:19
SHIRASAGI_14,4,GIFU,13:50,13:51
SHIRASAGI_14,5,NAGOYA,14:10,
SHIRASAGI_16,1,TSURUGA,,13:30
SHIRASAGI_16,2,NAGAHAMA,14:09,14:10
SHIRASAGI_16,3,MAIBARA,14:17,14:19
SHIRASAGI_16,4,GIFU,14:50,14:51
SHIRASAGI_16,5,NAGOYA,15:10,
SHIRASAGI_18,1,TSURUGA,,14:30
SHIRASAGI_18,2,NAGAHAMA,15:09,15:10
SHIRASAGI_18,3,MAIBARA,15:17,15:19
SHIRASAGI_18,4,GIFU,15:50,15:51
SHIRASAGI_18,5,NAGOYA,16:10,
SHIRASAGI_20,1,TSURUGA,,15:30
SHIRASAGI_20,2,NAGAHAMA,16:09,16:10
SHIRASAGI_20,3,MAIBARA,16:17,16:19
SHIRASAGI_20,4,GIFU,16:50,16:51
SHIRASAGI_20,5,NAGOYA,17:10,
SHIRASAGI_22,1,TSURUGA,,16:30
SHIRASAGI_22,2,NAGAHAMA,17:09,17:10
SHIRASAGI_22,3,MAIBARA,17:17,17:19
SHIRASAGI_22,4,GIFU,17:50,17:51
SHIRASAGI_22,5,NAGOYA,18:10,
SHIRASAGI_24,1,TSURUGA,,17:30
SHIRASAGI_24,2,NAGAHAMA,18:09,18:10
SHIRASAGI_24,3,MAIBARA,18:17,18:19
SHIRASAGI_24,4,GIFU,18:50,18:51
SHIRASAGI_24,5,NAGOYA,19:10,
SHIRASAGI_26,1,TSURUGA,,18:30
SHIRASAGI_26,2,NAGAHAMA,19:09,19:10
SHIRASAGI_26,3,MAIBARA,19:17,19:19
SHIRASAGI_26,4,GIFU,19:50,19:51
SHIRASAGI_26,5,NAGOYA,20:10,
SHIRASAGI_28,1,TSURUGA,,19:30
SHIRASAGI_28,2,NAGAHAMA,20:09,20:10
SHIRASAGI_28,3,MAIBARA,20:17,20:19
SHIRASAGI_28,4,GIFU,20:50,20:51
SHIRASAGI_28,5,NAGOYA,21:10,
SHIRASAGI_30,1,TSURUGA,,20:30
SHIRASAGI_30,2,NAGAHAMA,21:09,21:10
SHIRASAGI_30,3,MAIBARA,21:17,21:19
SHIRASAGI_30,4,GIFU,21:50,21:51
SHIRASAGI_30,5,NAGOYA,22:10,
SHIRASAGI_32,1,TSURUGA,,21:30
SHIRASAGI_32,2,NAGAHAMA,22:09,22:10
SHIRASAGI_32,3,MAIBARA,22:17,22:19
SHIRASAGI_32,4,GIFU,22:50,22:51
SHIRASAGI_32,5,NAGOYA,23:10,
