train_id,name,direction
SHIRASAGI_1,しらさぎ1,down
SHIRASAGI_3,しらさぎ3,down
SHIRASAGI_5,しらさぎ5,down
SHIRASAGI_7,しらさぎ7,down
SHIRASAGI_9,しらさぎ9,down
SHIRASAGI_11,しらさぎ11,down
SHIRASAGI_13,しらさぎ13,down
SHIRASAGI_15,しらさぎ15,down
SHIRASAGI_17,しらさぎ17,down
SHIRASAGI_19,しらさぎ19,down
SHIRASAGI_21,しらさぎ21,down
SHIRASAGI_23,しらさぎ23,down
SHIRASAGI_25,しらさぎ25,down
SHIRASAGI_27,しらさぎ27,down
SHIRASAGI_29,しらさぎ29,down
SHIRASAGI_31,しらさぎ31,down
SHIRASAGI_2,しらさぎ2,up
SHIRASAGI_4,しらさぎ4,up
SHIRASAGI_6,しらさぎ6,up
SHIRASAGI_8,しらさぎ8,up
SHIRASAGI_10,しらさぎ10,up
SHIRASAGI_12,しらさぎ12,up
SHIRASAGI_14,しらさぎ14,up
SHIRASAGI_16,しらさぎ16,up
SHIRASAGI_18,しらさぎ18,up
SHIRASAGI_20,しらさぎ20,up
SHIRASAGI_22,しらさぎ22,up
SHIRASAGI_24,しらさぎ24,up
SHIRASAGI_26,しらさぎ26,up
SHIRASAGI_28,しらさぎ28,up
SHIRASAGI_30,しらさぎ30,up
SHIRASAGI_32,しらさぎ32,up
