train_id,stop_order,station_id,arrival,departure
SR_1,1,NAGOYA,,06:00
SR_1,2,GIFU,06:18,06:20
SR_1,3,MAIBARA,06:50,06:52
SR_1,4,NAGAHAMA,07:00,07:01
SR_1,5,TSURUGA,07:50,
SR_3,1,NAGOYA,,07:00
SR_3,2,GIFU,07:18,07:20
SR_3,3,MAIBARA,07:50,07:52
SR_3,4,NAGAHAMA,08:00,08:01
SR_3,5,TSURUGA,08:50,
SR_5,1,NAGOYA,,08:00
SR_5,2,GIFU,08:18,08:20
SR_5,3,MAIBARA,08:50,08:52
SR_5,4,NAGAHAMA,09:00,09:01
SR_5,5,TSURUGA,09:50,
SR_7,1,NAGOYA,,09:00
SR_7,2,GIFU,09:18,09:20
SR_7,3,MAIBARA,09:50,09:52
SR_7,4,NAGAHAMA,10:00,10:01
SR_7,5,TSURUGA,10:50,
SR_9,1,NAGOYA,,10:00
SR_9,2,GIFU,10:18,10:20
SR_9,3,MAIBARA,10:50,10:52
SR_9,4,NAGAHAMA,11:00,11:01
SR_9,5,TSURUGA,11:50,
SR_11,1,NAGOYA,,11:00
SR_11,2,GIFU,11:18,11:20
SR_11,3,MAIBARA,11:50,11:52
SR_11,4,NAGAHAMA,12:00,12:01
SR_11,5,TSURUGA,12:50,
SR_13,1,NAGOYA,,12:00
SR_13,2,GIFU,12:18,12:20
SR_13,3,MAIBARA,12:50,12:52
SR_13,4,NAGAHAMA,13:00,13:01
SR_13,5,TSURUGA,13:50,
SR_15,1,NAGOYA,,13:00
SR_15,2,GIFU,13:18,13:20
SR_15,3,MAIBARA,13:50,13:52
SR_15,4,NAGAHAMA,14:00,14:01
SR_15,5,TSURUGA,14:50,
SR_17,1,NAGOYA,,14:00
SR_17,2,GIFU,14:18,14:20
SR_17,3,MAIBARA,14:50,14:52
SR_17,4,NAGAHAMA,15:00,15:01
SR_17,5,TSURUGA,15:50,
SR_19,1,NAGOYA,,15:00
SR_19,2,GIFU,15:18,15:20
SR_19,3,MAIBARA,15:50,15:52
SR_19,4,NAGAHAMA,16:00,16:01
SR_19,5,TSURUGA,16:50,
SR_21,1,NAGOYA,,16:00
SR_21,2,GIFU,16:18,16:20
SR_21,3,MAIBARA,16:50,16:52
SR_21,4,NAGAHAMA,17:00,17:01
SR_21,5,TSURUGA,17:50,
SR_23,1,NAGOYA,,17:00
SR_23,2,GIFU,17:18,17:20
SR_23,3,MAIBARA,17:50,17:52
SR_23,4,NAGAHAMA,18:00,18:01
SR_23,5,TSURUGA,18:50,
SR_25,1,NAGOYA,,18:00
SR_25,2,GIFU,18:18,18:20
SR_25,3,MAIBARA,18:50,18:52
SR_25,4,NAGAHAMA,19:00,19:01
SR_25,5,TSURUGA,19:50,
SR_27,1,NAGOYA,,19:00
SR_27,2,GIFU,19:18,19:20
SR_27,3,MAIBARA,19:50,19:52
SR_27,4,NAGAHAMA,20:00,20:01
SR_27,5,TSURUGA,20:50,
SR_29,1,NAGOYA,,20:00
SR_29,2,GIFU,20:18,20:20
SR_29,3,MAIBARA,20:50,20:52
SR_29,4,NAGAHAMA,21:00,21:01
SR_29,5,TSURUGA,21:50,
SR_2,1,TSURUGA,,06:00
SR_2,2,NAGAHAMA,06:50,06:51
SR_2,3,MAIBARA,07:00,07:02
SR_2,4,GIFU,07:32,07:34
SR_2,5,NAGOYA,07:50,
SR_4,1,TSURUGA,,07:00
SR_4,2,NAGAHAMA,07:50,07:51
SR_4,3,MAIBARA,08:00,08:02
SR_4,4,GIFU,08:32,08:34
SR_4,5,NAGOYA,08:50,
SR_6,1,TSURUGA,,08:00
SR_6,2,NAGAHAMA,08:50,08:51
SR_6,3,MAIBARA,09:00,09:02
SR_6,4,GIFU,09:32,09:34
SR_6,5,NAGOYA,09:50,
SR_8,1,TSURUGA,,09:00
SR_8,2,NAGAHAMA,09:50,09:51
SR_8,3,MAIBARA,10:00,10:02
SR_8,4,GIFU,10:32,10:34
SR_8,5,NAGOYA,10:50,
SR_10,1,TSURUGA,,10:00
SR_10,2,NAGAHAMA,10:50,10:51
SR_10,3,MAIBARA,11:00,11:02
SR_10,4,GIFU,11:32,11:34
SR_10,5,NAGOYA,11:50,
SR_12,1,TSURUGA,,11:00
SR_12,2,NAGAHAMA,11:50,11:51
SR_12,3,MAIBARA,12:00,12:02
SR_12,4,GIFU,12:32,12:34
SR_12,5,NAGOYA,12:50,
SR_14,1,TSURUGA,,12:00
SR_14,2,NAGAHAMA,12:50,12:51
SR_14,3,MAIBARA,13:00,13:02
SR_14,4,GIFU,13:32,13:34
SR_14,5,NAGOYA,13:50,
SR_16,1,TSURUGA,,13:00
SR_16,2,NAGAHAMA,13:50,13:51
SR_16,3,MAIBARA,14:00,14:02
SR_16,4,GIFU,14:32,14:34
SR_16,5,NAGOYA,14:50,
SR_18,1,TSURUGA,,14:00
SR_18,2,NAGAHAMA,14:50,14:51
SR_18,3,MAIBARA,15:00,15:02
SR_18,4,GIFU,15:32,15:34
SR_18,5,NAGOYA,15:50,
SR_20,1,TSURUGA,,15:00
SR_20,2,NAGAHAMA,15:50,15:51
SR_20,3,MAIBARA,16:00,16:02
SR_20,4,GIFU,16:32,16:34
SR_20,5,NAGOYA,16:50,
SR_22,1,TSURUGA,,16:00
SR_22,2,NAGAHAMA,16:50,16:51
SR_22,3,MAIBARA,17:00,17:02
SR_22,4,GIFU,17:32,17:34
SR_22,5,NAGOYA,17:50,
SR_24,1,TSURUGA,,17:00
SR_24,2,NAGAHAMA,17:50,17:51
SR_24,3,MAIBARA,18:00,18:02
SR_24,4,GIFU,18:32,18:34
SR_24,5,NAGOYA,18:50,
SR_26,1,TSURUGA,,18:00
