train_id,name,direction
SKYLINER_1,スカイライナー1,down
SKYLINER_3,スカイライナー3,down
SKYLINER_5,スカイライナー5,down
SKYLINER_7,スカイライナー7,down
SKYLINER_9,スカイライナー9,down
SKYLINER_11,スカイライナー11,down
SKYLINER_13,スカイライナー13,down
SKYLINER_15,スカイライナー15,down
SKYLINER_17,スカイライナー17,down
SKYLINER_19,スカイライナー19,down
SKYLINER_21,スカイライナー21,down
SKYLINER_23,スカイライナー23,down
SKYLINER_25,スカイライナー25,down
SKYLINER_27,スカイライナー27,down
SKYLINER_29,スカイライナー29,down
SKYLINER_31,スカイライナー31,down
SKYLINER_33,スカイライナー33,down
SKYLINER_35,スカイライナー35,down
SKYLINER_37,スカイライナー37,down
SKYLINER_39,スカイライナー39,down
SKYLINER_41,スカイライナー41,down
SKYLINER_43,スカイライナー43,down
SKYLINER_45,スカイライナー45,down
SKYLINER_47,スカイライナー47,down
SKYLINER_49,スカイライナー49,down
SKYLINER_51,スカイライナー51,down
SKYLINER_53,スカイライナー53,down
SKYLINER_55,スカイライナー55,down
SKYLINER_57,スカイライナー57,down
SKYLINER_59,スカイライナー59,down
SKYLINER_61,スカイライナー61,down
SKYLINER_63,スカイライナー63,down
SKYLINER_65,スカイライナー65,down
SKYLINER_67,スカイライナー67,down
SKYLINER_69,スカイライナー69,down
SKYLINER_71,スカイライナー71,down
SKYLINER_73,スカイライナー73,down
SKYLINER_75,スカイライナー75,down
SKYLINER_77,スカイライナー77,down
SKYLINER_79,スカイライナー79,down
SKYLINER_81,スカイライナー81,down
SKYLINER_83,スカイライナー83,down
SKYLINER_85,スカイライナー85,down
SKYLINER_87,スカイライナー87,down
SKYLINER_89,スカイライナー89,down
SKYLINER_2,スカイライナー2,up
SKYLINER_4,スカイライナー4,up
SKYLINER_6,スカイライナー6,up
SKYLINER_8,スカイライナー8,up
SKYLINER_10,スカイライナー10,up
SKYLINER_12,スカイライナー12,up
SKYLINER_14,スカイライナー14,up
SKYLINER_16,スカイライナー16,up
SKYLINER_18,スカイライナー18,up
SKYLINER_20,スカイライナー20,up
SKYLINER_22,スカイライナー22,up
SKYLINER_24,スカイライナー24,up
SKYLINER_26,スカイライナー26,up
SKYLINER_28,スカイライナー28,up
SKYLINER_30,スカイライナー30,up
SKYLINER_32,スカイライナー32,up
SKYLINER_34,スカイライナー34,up
SKYLINER_36,スカイライナー36,up
SKYLINER_38,スカイライナー38,up
SKYLINER_40,スカイライナー40,up
SKYLINER_42,スカイライナー42,up
SKYLINER_44,スカイライナー44,up
SKYLINER_46,スカイライナー46,up
SKYLINER_48,スカイライナー48,up
SKYLINER_50,スカイライナー50,up
SKYLINER_52,スカイライナー52,up
SKYLINER_54,スカイライナー54,up
SKYLINER_56,スカイライナー56,up
SKYLINER_58,スカイライナー58,up
SKYLINER_60,スカイライナー60,up
SKYLINER_62,スカイライナー62,up
SKYLINER_64,スカイライナー64,up
SKYLINER_66,スカイライナー66,up
SKYLINER_68,スカイライナー68,up
SKYLINER_70,スカイライナー70,up
SKYLINER_72,スカイライナー72,up
SKYLINER_74,スカイライナー74,up
SKYLINER_76,スカイライナー76,up
SKYLINER_78,スカイライナー78,up
SKYLINER_80,スカイライナー80,up
SKYLINER_82,スカイライナー82,up
SKYLINER_84,スカイライナー84,up
SKYLINER_86,スカイライナー86,up
SKYLINER_88,スカイライナー88,up
SKYLINER_90,スカイライナー90,up
