train_id,stop_order,station_id,arrival,departure
SKYLINER_1,1,KEISEI_UENO,,07:00
SKYLINER_1,2,NIPPORI,07:02,07:03
SKYLINER_1,3,AIRPORT_TERMINAL_2,07:38,07:39
SKYLINER_1,4,NARITA_AIRPORT,07:41,
SKYLINER_3,1,KEISEI_UENO,,07:20
SKYLINER_3,2,NIPPORI,07:22,07:23
SKYLINER_3,3,AIRPORT_TERMINAL_2,07:58,07:59
SKYLINER_3,4,NARITA_AIRPORT,08:01,
SKYLINER_5,1,KEISEI_UENO,,07:40
SKYLINER_5,2,NIPPORI,07:42,07:43
SKYLINER_5,3,AIRPORT_TERMINAL_2,08:18,08:19
SKYLINER_5,4,NARITA_AIRPORT,08:21,
SKYLINER_7,1,KEISEI_UENO,,08:00
SKYLINER_7,2,NIPPORI,08:02,08:03
SKYLINER_7,3,AIRPORT_TERMINAL_2,08:38,08:39
SKYLINER_7,4,NARITA_AIRPORT,08:41,
SKYLINER_9,1,KEISEI_UENO,,08:20
SKYLINER_9,2,NIPPORI,08:22,08:23
SKYLINER_9,3,AIRPORT_TERMINAL_2,08:58,08:59
SKYLINER_9,4,NARITA_AIRPORT,09:01,
SKYLINER_11,1,KEISEI_UENO,,08:40
SKYLINER_11,2,NIPPORI,08:42,08:43
SKYLINER_11,3,AIRPORT_TERMINAL_2,09:18,09:19
SKYLINER_11,4,NARITA_AIRPORT,09:21,
SKYLINER_13,1,KEISEI_UENO,,09:00
SKYLINER_13,2,NIPPORI,09:02,09:03
SKYLINER_13,3,AIRPORT_TERMINAL_2,09:38,09:39
SKYLINER_13,4,NARITA_AIRPORT,09:41,
SKYLINER_15,1,KEISEI_UENO,,09:20
SKYLINER_15,2,NIPPORI,09:22,09:23
SKYLINER_15,3,AIRPORT_TERMINAL_2,09:58,09:59
SKYLINER_15,4,NARITA_AIRPORT,10:01,
SKYLINER_17,1,KEISEI_UENO,,09:40
SKYLINER_17,2,NIPPORI,09:42,09:43
SKYLINER_17,3,AIRPORT_TERMINAL_2,10:18,10:19
SKYLINER_17,4,NARITA_AIRPORT,10:21,
SKYLINER_19,1,KEISEI_UENO,,10:00
SKYLINER_19,2,NIPPORI,10:02,10:03
SKYLINER_19,3,AIRPORT_TERMINAL_2,10:38,10:39
SKYLINER_19,4,NARITA_AIRPORT,10:41,
SKYLINER_21,1,KEISEI_UENO,,10:20
SKYLINER_21,2,NIPPORI,10:22,10:23
SKYLINER_21,3,AIRPORT_TERMINAL_2,10:58,10:59
SKYLINER_21,4,NARITA_AIRPORT,11:01,
SKYLINER_23,1,KEISEI_UENO,,10:40
SKYLINER_23,2,NIPPORI,10:42,10:43
SKYLINER_23,3,AIRPORT_TERMINAL_2,11:18,11:19
SKYLINER_23,4,NARITA_AIRPORT,11:21,
SKYLINER_25,1,KEISEI_UENO,,11:00
SKYLINER_25,2,NIPPORI,11:02,11:03
SKYLINER_25,3,AIRPORT_TERMINAL_2,11:38,11:39
SKYLINER_25,4,NARITA_AIRPORT,11:41,
SKYLINER_27,1,KEISEI_UENO,,11:20
SKYLINER_27,2,NIPPORI,11:22,11:23
SKYLINER_27,3,AIRPORT_TERMINAL_2,11:58,11:59
SKYLINER_27,4,NARITA_AIRPORT,12:01,
SKYLINER_29,1,KEISEI_UENO,,11:40
SKYLINER_29,2,NIPPORI,11:42,11:43
SKYLINER_29,3,AIRPORT_TERMINAL_2,12:18,12:19
SKYLINER_29,4,NARITA_AIRPORT,12:21,
SKYLINER_31,1,KEISEI_UENO,,12:00
SKYLINER_31,2,NIPPORI,12:02,12:03
SKYLINER_31,3,AIRPORT_TERMINAL_2,12:38,12:39
SKYLINER_31,4,NARITA_AIRPORT,12:41,
SKYLINER_33,1,KEISEI_UENO,,12:20
SKYLINER_33,2,NIPPORI,12:22,12:23
SKYLINER_33,3,AIRPORT_TERMINAL_2,12:58,12:59
SKYLINER_33,4,NARITA_AIRPORT,13:01,
SKYLINER_35,1,KEISEI_UENO,,12:40
SKYLINER_35,2,NIPPORI,12:42,12:43
SKYLINER_35,3,AIRPORT_TERMINAL_2,13:18,13:19
SKYLINER_35,4,NARITA_AIRPORT,13:21,
SKYLINER_37,1,KEISEI_UENO,,13:00
SKYLINER_37,2,NIPPORI,13:02,13:03
SKYLINER_37,3,AIRPORT_TERMINAL_2,13:38,13:39
SKYLINER_37,4,NARITA_AIRPORT,13:41,
SKYLINER_39,1,KEISEI_UENO,,13:20
SKYLINER_39,2,NIPPORI,13:22,13:23
SKYLINER_39,3,AIRPORT_TERMINAL_2,13:58,13:59
SKYLINER_39,4,NARITA_AIRPORT,14:01,
SKYLINER_41,1,KEISEI_UENO,,13:40
SKYLINER_41,2,NIPPORI,13:42,13:43
SKYLINER_41,3,AIRPORT_TERMINAL_2,14:18,14:19
SKYLINER_41,4,NARITA_AIRPORT,14:21,
SKYLINER_43,1,KEISEI_UENO,,14:00
SKYLINER_43,2,NIPPORI,14:02,14:03
SKYLINER_43,3,AIRPORT_TERMINAL_2,14:38,14:39
SKYLINER_43,4,NARITA_AIRPORT,14:41,
SKYLINER_45,1,KEISEI_UENO,,14:20
SKYLINER_45,2,NIPPORI,14:22,14:23
SKYLINER_45,3,AIRPORT_TERMINAL_2,14:58,14:59
SKYLINER_45,4,NARITA_AIRPORT,15:01,
SKYLINER_47,1,KEISEI_UENO,,14:40
SKYLINER_47,2,NIPPORI,14:42,14:43
SKYLINER_47,3,AIRPORT_TERMINAL_2,15:18,15:19
SKYLINER_47,4,NARITA_AIRPORT,15:21,
SKYLINER_49,1,KEISEI_UENO,,15:00
SKYLINER_49,2,NIPPORI,15:02,15:03
SKYLINER_49,3,AIRPORT_TERMINAL_2,15:38,15:39
SKYLINER_49,4,NARITA_AIRPORT,15:41,
SKYLINER_51,1,KEISEI_UENO,,15:20
SKYLINER_51,2,NIPPORI,15:22,15:23
SKYLINER_51,3,AIRPORT_TERMINAL_2,15:58,15:59
SKYLINER_51,4,NARITA_AIRPORT,16:01,
SKYLINER_53,1,KEISEI_UENO,,15:40
SKYLINER_53,2,NIPPORI,15:42,15:43
SKYLINER_53,3,AIRPORT_TERMINAL_2,16:18,16:19
SKYLINER_53,4,NARITA_AIRPORT,16:21,
SKYLINER_55,1,KEISEI_UENO,,16:00
SKYLINER_55,2,NIPPORI,16:02,16:03
SKYLINER_55,3,AIRPORT_TERMINAL_2,16:38,16:39
SKYLINER_55,4,NARITA_AIRPORT,16:41,
SKYLINER_57,1,KEISEI_UENO,,16:20
SKYLINER_57,2,NIPPORI,16:22,16:23
SKYLINER_57,3,AIRPORT_TERMINAL_2,16:58,16:59
SKYLINER_57,4,NARITA_AIRPORT,17:01,
SKYLINER_59,1,KEISEI_UENO,,16:40
SKYLINER_59,2,NIPPORI,16:42,16:43
SKYLINER_59,3,AIRPORT_TERMINAL_2,17:18,17:19
SKYLINER_59,4,NARITA_AIRPORT,17:21,
SKYLINER_61,1,KEISEI_UENO,,17:00
SKYLINER_61,2,NIPPORI,17:02,17:03
SKYLINER_61,3,AIRPORT_TERMINAL_2,17:38,17:39
SKYLINER_61,4,NARITA_AIRPORT,17:41,
SKYLINER_63,1,KEISEI_UENO,,17:20
SKYLINER_63,2,NIPPORI,17:22,17:23
SKYLINER_63,3,AIRPORT_TERMINAL_2,17:58,17:59
SKYLINER_63,4,NARITA_AIRPORT,18:01,
SKYLINER_65,1,KEISEI_UENO,,17:40
SKYLINER_65,2,NIPPORI,17:42,17:43
SKYLINER_65,3,AIRPORT_TERMINAL_2,18:18,18:19
SKYLINER_65,4,NARITA_AIRPORT,18:21,
SKYLINER_67,1,KEISEI_UENO,,18:00
SKYLINER_67,2,NIPPORI,18:02,18:03
SKYLINER_67,3,AIRPORT_TERMINAL_2,18:38,18:39
