train_id,stop_order,station_id,arrival,departure
SONIC_1,1,HAKATA,,06:05
SONIC_1,2,KOKURA,06:43,06:44
SONIC_1,3,NAKATSU,07:15,07:16
SONIC_1,4,USA,07:30,07:31
SONIC_1,5,BEPPU,07:55,07:56
SONIC_1,6,OITA,08:07,
SONIC_3,1,HAKATA,,06:35
SONIC_3,2,KOKURA,07:13,07:14
SONIC_3,3,NAKATSU,07:45,07:46
SONIC_3,4,USA,08:00,08:01
SONIC_3,5,BEPPU,08:25,08:26
SONIC_3,6,OITA,08:37,
SONIC_5,1,HAKATA,,07:05
SONIC_5,2,KOKURA,07:43,07:44
SONIC_5,3,NAKATSU,08:15,08:16
SONIC_5,4,USA,08:30,08:31
SONIC_5,5,BEPPU,08:55,08:56
SONIC_5,6,OITA,09:07,
SONIC_7,1,HAKATA,,07:35
SONIC_7,2,KOKURA,08:13,08:14
SONIC_7,3,NAKATSU,08:45,08:46
SONIC_7,4,USA,09:00,09:01
SONIC_7,5,BEPPU,09:25,09:26
SONIC_7,6,OITA,09:37,
SONIC_9,1,HAKATA,,08:05
SONIC_9,2,KOKURA,08:43,08:44
SONIC_9,3,NAKATSU,09:15,09:16
SONIC_9,4,USA,09:30,09:31
SONIC_9,5,BEPPU,09:55,09:56
SONIC_9,6,OITA,10:07,
SONIC_11,1,HAKATA,,08:35
SONIC_11,2,KOKURA,09:13,09:14
SONIC_11,3,NAKATSU,09:45,09:46
SONIC_11,4,USA,10:00,10:01
SONIC_11,5,BEPPU,10:25,10:26
SONIC_11,6,OITA,10:37,
SONIC_13,1,HAKATA,,09:05
SONIC_13,2,KOKURA,09:43,09:44
SONIC_13,3,NAKATSU,10:15,10:16
SONIC_13,4,USA,10:30,10:31
SONIC_13,5,BEPPU,10:55,10:56
SONIC_13,6,OITA,11:07,
SONIC_15,1,HAKATA,,09:35
SONIC_15,2,KOKURA,10:13,10:14
SONIC_15,3,NAKATSU,10:45,10:46
SONIC_15,4,USA,11:00,11:01
SONIC_15,5,BEPPU,11:25,11:26
SONIC_15,6,OITA,11:37,
SONIC_17,1,HAKATA,,10:05
SONIC_17,2,KOKURA,10:43,10:44
SONIC_17,3,NAKATSU,11:15,11:16
SONIC_17,4,USA,11:30,11:31
SONIC_17,5,BEPPU,11:55,11:56
SONIC_17,6,OITA,12:07,
SONIC_19,1,HAKATA,,10:35
SONIC_19,2,KOKURA,11:13,11:14
SONIC_19,3,NAKATSU,11:45,11:46
SONIC_19,4,USA,12:00,12:01
SONIC_19,5,BEPPU,12:25,12:26
SONIC_19,6,OITA,12:37,
SONIC_21,1,HAKATA,,11:05
SONIC_21,2,KOKURA,11:43,11:44
SONIC_21,3,NAKATSU,12:15,12:16
SONIC_21,4,USA,12:30,12:31
SONIC_21,5,BEPPU,12:55,12:56
SONIC_21,6,OITA,13:07,
SONIC_23,1,HAKATA,,11:35
SONIC_23,2,KOKURA,12:13,12:14
SONIC_23,3,NAKATSU,12:45,12:46
SONIC_23,4,USA,13:00,13:01
SONIC_23,5,BEPPU,13:25,13:26
SONIC_23,6,OITA,13:37,
SONIC_25,1,HAKATA,,12:05
SONIC_25,2,KOKURA,12:43,12:44
SONIC_25,3,NAKATSU,13:15,13:16
SONIC_25,4,USA,13:30,13:31
SONIC_25,5,BEPPU,13:55,13:56
SONIC_25,6,OITA,14:07,
SONIC_27,1,HAKATA,,12:35
SONIC_27,2,KOKURA,13:13,13:14
SONIC_27,3,NAKATSU,13:45,13:46
SONIC_27,4,USA,14:00,14:01
SONIC_27,5,BEPPU,14:25,14:26
SONIC_27,6,OITA,14:37,
SONIC_29,1,HAKATA,,13:05
SONIC_29,2,KOKURA,13:43,13:44
SONIC_29,3,NAKATSU,14:15,14:16
SONIC_29,4,USA,14:30,14:31
SONIC_29,5,BEPPU,14:55,14:56
SONIC_29,6,OITA,15:07,
SONIC_31,1,HAKATA,,13:35
SONIC_31,2,KOKURA,14:13,14:14
SONIC_31,3,NAKATSU,14:45,14:46
SONIC_31,4,USA,15:00,15:01
SONIC_31,5,BEPPU,15:25,15:26
SONIC_31,6,OITA,15:37,
SONIC_33,1,HAKATA,,14:05
SONIC_33,2,KOKURA,14:43,14:44
SONIC_33,3,NAKATSU,15:15,15:16
SONIC_33,4,USA,15:30,15:31
SONIC_33,5,BEPPU,15:55,15:56
SONIC_33,6,OITA,16:07,
SONIC_35,1,HAKATA,,14:35
SONIC_35,2,KOKURA,15:13,15:14
SONIC_35,3,NAKATSU,15:45,15:46
SONIC_35,4,USA,16:00,16:01
SONIC_35,5,BEPPU,16:25,16:26
SONIC_35,6,OITA,16:37,
SONIC_37,1,HAKATA,,15:05
SONIC_37,2,KOKURA,15:43,15:44
SONIC_37,3,NAKATSU,16:15,16:16
SONIC_37,4,USA,16:30,16:31
