train_id,name,direction
SONIC_1,ソニック1,down
SONIC_3,ソニック3,down
SONIC_5,ソニック5,down
SONIC_7,ソニック7,down
SONIC_9,ソニック9,down
SONIC_11,ソニック11,down
SONIC_13,ソニック13,down
SONIC_15,ソニック15,down
SONIC_17,ソニック17,down
SONIC_19,ソニック19,down
SONIC_21,ソニック21,down
SONIC_23,ソニック23,down
SONIC_25,ソニック25,down
SONIC_27,ソニック27,down
SONIC_29,ソニック29,down
SONIC_31,ソニック31,down
SONIC_33,ソニック33,down
SONIC_35,ソニック35,down
SONIC_37,ソニック37,down
SONIC_39,ソニック39,down
SONIC_41,ソニック41,down
SONIC_43,ソニック43,down
SONIC_45,ソニック45,down
SONIC_47,ソニック47,down
SONIC_49,ソニック49,down
SONIC_51,ソニック51,down
SONIC_53,ソニック53,down
SONIC_55,ソニック55,down
SONIC_57,ソニック57,down
SONIC_59,ソニック59,down
SONIC_61,ソニック61,down
SONIC_63,ソニック63,down
SONIC_2,ソニック2,up
SONIC_4,ソニック4,up
SONIC_6,ソニック6,up
SONIC_8,ソニック8,up
SONIC_10,ソニック10,up
SONIC_12,ソニック12,up
SONIC_14,ソニック14,up
SONIC_16,ソニック16,up
SONIC_18,ソニック18,up
SONIC_20,ソニック20,up
SONIC_22,ソニック22,up
SONIC_24,ソニック24,up
SONIC_26,ソニック26,up
SONIC_28,ソニック28,up
SONIC_30,ソニック30,up
SONIC_32,ソニック32,up
SONIC_34,ソニック34,up
SONIC_36,ソニック36,up
SONIC_38,ソニック38,up
SONIC_40,ソニック40,up
SONIC_42,ソニック42,up
SONIC_44,ソニック44,up
SONIC_46,ソニック46,up
SONIC_48,ソニック48,up
SONIC_50,ソニック50,up
SONIC_52,ソニック52,up
SONIC_54,ソニック54,up
SONIC_56,ソニック56,up
SONIC_58,ソニック58,up
SONIC_60,ソニック60,up
SONIC_62,ソニック62,up
SONIC_64,ソニック64,up
