train_id,stop_order,station_id,arrival,departure
SONIC_1,1,HAKATA,,06:00
SONIC_1,2,KOKURA,06:40,06:42
SONIC_1,3,NAKATSU,07:20,07:21
SONIC_1,4,USA,07:40,07:41
SONIC_1,5,BEPPU,08:05,08:06
SONIC_1,6,OITA,08:15,
SONIC_3,1,HAKATA,,07:00
SONIC_3,2,KOKURA,07:40,07:42
SONIC_3,3,NAKATSU,08:20,08:21
SONIC_3,4,USA,08:40,08:41
SONIC_3,5,BEPPU,09:05,09:06
SONIC_3,6,OITA,09:15,
SONIC_5,1,HAKATA,,08:00
SONIC_5,2,KOKURA,08:40,08:42
SONIC_5,3,NAKATSU,09:20,09:21
SONIC_5,4,USA,09:40,09:41
SONIC_5,5,BEPPU,10:05,10:06
SONIC_5,6,OITA,10:15,
SONIC_7,1,HAKATA,,09:00
SONIC_7,2,KOKURA,09:40,09:42
SONIC_7,3,NAKATSU,10:20,10:21
SONIC_7,4,USA,10:40,10:41
SONIC_7,5,BEPPU,11:05,11:06
SONIC_7,6,OITA,11:15,
SONIC_9,1,HAKATA,,10:00
SONIC_9,2,KOKURA,10:40,10:42
SONIC_9,3,NAKATSU,11:20,11:21
SONIC_9,4,USA,11:40,11:41
SONIC_9,5,BEPPU,12:05,12:06
SONIC_9,6,OITA,12:15,
SONIC_11,1,HAKATA,,11:00
SONIC_11,2,KOKURA,11:40,11:42
SONIC_11,3,NAKATSU,12:20,12:21
SONIC_11,4,USA,12:40,12:41
SONIC_11,5,BEPPU,13:05,13:06
SONIC_11,6,OITA,13:15,
SONIC_13,1,HAKATA,,12:00
SONIC_13,2,KOKURA,12:40,12:42
SONIC_13,3,NAKATSU,13:20,13:21
SONIC_13,4,USA,13:40,13:41
SONIC_13,5,BEPPU,14:05,14:06
SONIC_13,6,OITA,14:15,
SONIC_15,1,HAKATA,,13:00
SONIC_15,2,KOKURA,13:40,13:42
SONIC_15,3,NAKATSU,14:20,14:21
SONIC_15,4,USA,14:40,14:41
SONIC_15,5,BEPPU,15:05,15:06
SONIC_15,6,OITA,15:15,
SONIC_17,1,HAKATA,,14:00
SONIC_17,2,KOKURA,14:40,14:42
SONIC_17,3,NAKATSU,15:20,15:21
SONIC_17,4,USA,15:40,15:41
SONIC_17,5,BEPPU,16:05,16:06
SONIC_17,6,OITA,16:15,
SONIC_19,1,HAKATA,,15:00
SONIC_19,2,KOKURA,15:40,15:42
SONIC_19,3,NAKATSU,16:20,16:21
SONIC_19,4,USA,16:40,16:41
SONIC_19,5,BEPPU,17:05,17:06
SONIC_19,6,OITA,17:15,
SONIC_21,1,HAKATA,,16:00
SONIC_21,2,KOKURA,16:40,16:42
SONIC_21,3,NAKATSU,17:20,17:21
SONIC_21,4,USA,17:40,17:41
SONIC_21,5,BEPPU,18:05,18:06
SONIC_21,6,OITA,18:15,
SONIC_23,1,HAKATA,,17:00
SONIC_23,2,KOKURA,17:40,17:42
SONIC_23,3,NAKATSU,18:20,18:21
SONIC_23,4,USA,18:40,18:41
SONIC_23,5,BEPPU,19:05,19:06
SONIC_23,6,OITA,19:15,
SONIC_25,1,HAKATA,,18:00
SONIC_25,2,KOKURA,18:40,18:42
SONIC_25,3,NAKATSU,19:20,19:21
SONIC_25,4,USA,19:40,19:41
SONIC_25,5,BEPPU,20:05,20:06
SONIC_25,6,OITA,20:15,
SONIC_27,1,HAKATA,,19:00
SONIC_27,2,KOKURA,19:40,19:42
SONIC_27,3,NAKATSU,20:20,20:21
SONIC_27,4,USA,20:40,20:41
SONIC_27,5,BEPPU,21:05,21:06
SONIC_27,6,OITA,21:15,
SONIC_29,1,HAKATA,,20:00
SONIC_29,2,KOKURA,20:40,20:42
SONIC_29,3,NAKATSU,21:20,21:21
SONIC_29,4,USA,21:40,21:41
SONIC_29,5,BEPPU,22:05,22:06
SONIC_29,6,OITA,22:15,
SONIC_31,1,HAKATA,,21:00
SONIC_31,2,KOKURA,21:40,21:42
SONIC_31,3,NAKATSU,22:20,22:21
SONIC_31,4,USA,22:40,22:41
SONIC_31,5,BEPPU,23:05,23:06
SONIC_31,6,OITA,23:15,
SONIC_2,1,OITA,,06:00
SONIC_2,2,BEPPU,06:09,06:10
SONIC_2,3,USA,06:34,06:35
SONIC_2,4,NAKATSU,06:54,06:55
SONIC_2,5,KOKURA,07:33,07:35
SONIC_2,6,HAKATA,08:15,
SONIC_4,1,OITA,,07:00
SONIC_4,2,BEPPU,07:09,07:10
SONIC_4,3,USA,07:34,07:35
SONIC_4,4,NAKATSU,07:54,07:55
SONIC_4,5,KOKURA,08:33,08:35
SONIC_4,6,HAKATA,09:15,
SONIC_6,1,OITA,,08:00
SONIC_6,2,BEPPU,08:09,08:10
SONIC_6,3,USA,08:34,08:35
SONIC_6,4,NAKATSU,08:54,08:55
SONIC_6,5,KOKURA,09:33,09:35
SONIC_6,6,HAKATA,10:15,
SONIC_8,1,OITA,,09:00
SONIC_8,2,BEPPU,09:09,09:10
SONIC_8,3,USA,09:34,09:35
SONIC_8,4,NAKATSU,09:54,09:55
SONIC_8,5,KOKURA,10:33,10:35
SONIC_8,6,HAKATA,11:15,
SONIC_10,1,OITA,,10:00
SONIC_10,2,BEPPU,10:09,10:10
SONIC_10,3,USA,10:34,10:35
SONIC_10,4,NAKATSU,10:54,10:55
SONIC_10,5,KOKURA,11:33,11:35
SONIC_10,6,HAKATA,12:15,
SONIC_12,1,OITA,,11:00
SONIC_12,2,BEPPU,11:09,11:10
SONIC_12,3,USA,11:34,11:35
SONIC_12,4,NAKATSU,11:54,11:55
SONIC_12,5,KOKURA,12:33,12:35
SONIC_12,6,HAKATA,13:15,
SONIC_14,1,OITA,,12:00
