train_id,stop_order,station_id,arrival,departure
SPACIA_1,1,ASAKUSA,,07:30
SPACIA_1,2,TOKYO_SKYTREE,07:33,07:34
SPACIA_1,3,KITASENJU,07:42,07:43
SPACIA_1,4,KASUKABE,08:00,08:01
SPACIA_1,5,TOCHIGI,08:35,08:36
SPACIA_1,6,SHIN_KANUMA,08:55,08:56
SPACIA_1,7,SHIMOIMAICHI,09:08,09:09
SPACIA_1,8,TOBU_NIKKO,09:20,
SPACIA_3,1,ASAKUSA,,08:30
SPACIA_3,2,TOKYO_SKYTREE,08:33,08:34
SPACIA_3,3,KITASENJU,08:42,08:43
SPACIA_3,4,KASUKABE,09:00,09:01
SPACIA_3,5,TOCHIGI,09:35,09:36
SPACIA_3,6,SHIN_KANUMA,09:55,09:56
SPACIA_3,7,SHIMOIMAICHI,10:08,10:09
SPACIA_3,8,TOBU_NIKKO,10:20,
SPACIA_5,1,ASAKUSA,,09:30
SPACIA_5,2,TOKYO_SKYTREE,09:33,09:34
SPACIA_5,3,KITASENJU,09:42,09:43
SPACIA_5,4,KASUKABE,10:00,10:01
SPACIA_5,5,TOCHIGI,10:35,10:36
SPACIA_5,6,SHIN_KANUMA,10:55,10:56
SPACIA_5,7,SHIMOIMAICHI,11:08,11:09
SPACIA_5,8,TOBU_NIKKO,11:20,
SPACIA_7,1,ASAKUSA,,10:30
SPACIA_7,2,TOKYO_SKYTREE,10:33,10:34
SPACIA_7,3,KITASENJU,10:42,10:43
SPACIA_7,4,KASUKABE,11:00,11:01
SPACIA_7,5,TOCHIGI,11:35,11:36
SPACIA_7,6,SHIN_KANUMA,11:55,11:56
SPACIA_7,7,SHIMOIMAICHI,12:08,12:09
SPACIA_7,8,TOBU_NIKKO,12:20,
SPACIA_9,1,ASAKUSA,,11:30
SPACIA_9,2,TOKYO_SKYTREE,11:33,11:34
SPACIA_9,3,KITASENJU,11:42,11:43
SPACIA_9,4,KASUKABE,12:00,12:01
SPACIA_9,5,TOCHIGI,12:35,12:36
SPACIA_9,6,SHIN_KANUMA,12:55,12:56
SPACIA_9,7,SHIMOIMAICHI,13:08,13:09
SPACIA_9,8,TOBU_NIKKO,13:20,
SPACIA_11,1,ASAKUSA,,12:30
SPACIA_11,2,TOKYO_SKYTREE,12:33,12:34
SPACIA_11,3,KITASENJU,12:42,12:43
SPACIA_11,4,KASUKABE,13:00,13:01
