train_id,name,direction
SPACIA_1,けごん1号,down
SPACIA_3,けごん3号,down
SPACIA_5,けごん5号,down
SPACIA_7,けごん7号,down
SPACIA_9,けごん9号,down
SPACIA_11,けごん11号,down
SPACIA_13,けごん13号,down
SPACIA_15,けごん15号,down
SPACIA_17,けごん17号,down
SPACIA_19,けごん19号,down
SPACIA_21,けごん21号,down
SPACIA_23,けごん23号,down
SPACIA_25,けごん25号,down
SPACIA_27,けごん27号,down
SPACIA_2,けごん2号,up
SPACIA_4,けごん4号,up
SPACIA_6,けごん6号,up
SPACIA_8,けごん8号,up
SPACIA_10,けごん10号,up
SPACIA_12,けごん12号,up
SPACIA_14,けごん14号,up
SPACIA_16,けごん16号,up
SPACIA_18,けごん18号,up
SPACIA_20,けごん20号,up
SPACIA_22,けごん22号,up
SPACIA_24,けごん24号,up
SPACIA_26,けごん26号,up
SPACIA_28,けごん28号,up
