train_id,stop_order,station_id,arrival,departure
SPACIA_1,1,ASAKUSA,,06:30
SPACIA_1,2,TOKYO_SKYTREE,06:33,06:34
SPACIA_1,3,KITASENJU,06:42,06:43
SPACIA_1,4,KASUKABE,07:00,07:01
SPACIA_1,5,TOCHIGI,07:35,07:36
SPACIA_1,6,SHIN_KANUMA,07:55,07:56
SPACIA_1,7,SHIMOIMAICHI,08:08,08:09
SPACIA_1,8,TOBU_NIKKO,08:20,
SPACIA_3,1,ASAKUSA,,07:30
SPACIA_3,2,TOKYO_SKYTREE,07:33,07:34
SPACIA_3,3,KITASENJU,07:42,07:43
SPACIA_3,4,KASUKABE,08:00,08:01
SPACIA_3,5,TOCHIGI,08:35,08:36
SPACIA_3,6,SHIN_KANUMA,08:55,08:56
SPACIA_3,7,SHIMOIMAICHI,09:08,09:09
SPACIA_3,8,TOBU_NIKKO,09:20,
SPACIA_5,1,ASAKUSA,,07:50
SPACIA_5,2,TOKYO_SKYTREE,07:53,07:54
SPACIA_5,3,KITASENJU,08:02,08:03
SPACIA_5,4,KASUKABE,08:20,08:21
SPACIA_5,5,TOCHIGI,08:55,08:56
SPACIA_5,6,SHIN_KANUMA,09:15,09:16
SPACIA_5,7,SHIMOIMAICHI,09:28,09:29
SPACIA_5,8,TOBU_NIKKO,09:40,
SPACIA_7,1,ASAKUSA,,09:00
SPACIA_7,2,TOKYO_SKYTREE,09:03,09:04
SPACIA_7,3,KITASENJU,09:12,09:13
SPACIA_7,4,KASUKABE,09:30,09:31
SPACIA_7,5,TOCHIGI,10:05,10:06
SPACIA_7,6,SHIN_KANUMA,10:25,10:26
SPACIA_7,7,SHIMOIMAICHI,10:38,10:39
SPACIA_7,8,TOBU_NIKKO,10:50,
SPACIA_9,1,ASAKUSA,,10:00
SPACIA_9,2,TOKYO_SKYTREE,10:03,10:04
SPACIA_9,3,KITASENJU,10:12,10:13
SPACIA_9,4,KASUKABE,10:30,10:31
SPACIA_9,5,TOCHIGI,11:05,11:06
SPACIA_9,6,SHIN_KANUMA,11:25,11:26
SPACIA_9,7,SHIMOIMAICHI,11:38,11:39
SPACIA_9,8,TOBU_NIKKO,11:50,
SPACIA_11,1,ASAKUSA,,11:00
SPACIA_11,2,TOKYO_SKYTREE,11:03,11:04
SPACIA_11,3,KITASENJU,11:12,11:13
SPACIA_11,4,KASUKABE,11:30,11:31
SPACIA_11,5,TOCHIGI,12:05,12:06
SPACIA_11,6,SHIN_KANUMA,12:25,12:26
SPACIA_11,7,SHIMOIMAICHI,12:38,12:39
SPACIA_11,8,TOBU_NIKKO,12:50,
SPACIA_13,1,ASAKUSA,,12:00
SPACIA_13,2,TOKYO_SKYTREE,12:03,12:04
SPACIA_13,3,KITASENJU,12:12,12:13
SPACIA_13,4,KASUKABE,12:30,12:31
SPACIA_13,5,TOCHIGI,13:05,13:06
SPACIA_13,6,SHIN_KANUMA,13:25,13:26
SPACIA_13,7,SHIMOIMAICHI,13:38,13:39
SPACIA_13,8,TOBU_NIKKO,13:50,
SPACIA_15,1,ASAKUSA,,13:00
SPACIA_15,2,TOKYO_SKYTREE,13:03,13:04
SPACIA_15,3,KITASENJU,13:12,13:13
SPACIA_15,4,KASUKABE,13:30,13:31
SPACIA_15,5,TOCHIGI,14:05,14:06
SPACIA_15,6,SHIN_KANUMA,14:25,14:26
SPACIA_15,7,SHIMOIMAICHI,14:38,14:39
SPACIA_15,8,TOBU_NIKKO,14:50,
SPACIA_17,1,ASAKUSA,,14:00
SPACIA_17,2,TOKYO_SKYTREE,14:03,14:04
SPACIA_17,3,KITASENJU,14:12,14:13
SPACIA_17,4,KASUKABE,14:30,14:31
SPACIA_17,5,TOCHIGI,15:05,15:06
SPACIA_17,6,SHIN_KANUMA,15:25,15:26
SPACIA_17,7,SHIMOIMAICHI,15:38,15:39
SPACIA_17,8,TOBU_NIKKO,15:50,
SPACIA_19,1,ASAKUSA,,15:00
SPACIA_19,2,TOKYO_SKYTREE,15:03,15:04
SPACIA_19,3,KITASENJU,15:12,15:13
SPACIA_19,4,KASUKABE,15:30,15:31
SPACIA_19,5,TOCHIGI,16:05,16:06
