train_id,stop_order,station_id,arrival,departure
SUNRISE_IZUMO_D1,1,TOKYO,,21:26
SUNRISE_IZUMO_D1,2,YOKOHAMA,21:50,21:51
SUNRISE_IZUMO_D1,3,ATAMI,22:49,22:50
SUNRISE_IZUMO_D1,4,NUMAZU,23:05,23:06
SUNRISE_IZUMO_D1,5,FUJI,23:19,23:20
SUNRISE_IZUMO_D1,6,SHIZUOKA,23:46,23:47
SUNRISE_IZUMO_D1,7,HAMAMATSU,24:37,24:38
SUNRISE_IZUMO_D1,8,HIMEJI,29:25,29:26
SUNRISE_IZUMO_D1,9,OKAYAMA,30:27,30:34
SUNRISE_IZUMO_D1,10,KURASHIKI,30:43,30:44
SUNRISE_IZUMO_D1,11,BITCHU_TAKAHASHI,31:04,31:05
SUNRISE_IZUMO_D1,12,NIIMI,31:42,31:44
SUNRISE_IZUMO_D1,13,YONAGO,33:05,33:06
SUNRISE_IZUMO_D1,14,YASUGI,33:15,33:16
SUNRISE_IZUMO_D1,15,MATSUE,33:31,33:32
SUNRISE_IZUMO_D1,16,TAMATSUKURI_ONSEN,33:41,33:42
SUNRISE_IZUMO_D1,17,IZUMOSHI,33:58,
SUNRISE_IZUMO_U1,1,IZUMOSHI,,18:57
SUNRISE_IZUMO_U1,2,TAMATSUKURI_ONSEN,19:06,19:07
SUNRISE_IZUMO_U1,3,MATSUE,19:17,19:18
SUNRISE_IZUMO_U1,4,YASUGI,19:25,19:26
SUNRISE_IZUMO_U1,5,YONAGO,19:40,19:41
SUNRISE_IZUMO_U1,6,NIIMI,21:00,21:02
SUNRISE_IZUMO_U1,7,BITCHU_TAKAHASHI,21:32,21:33
SUNRISE_IZUMO_U1,8,KURASHIKI,21:56,21:57
SUNRISE_IZUMO_U1,9,OKAYAMA,22:31,22:34
SUNRISE_IZUMO_U1,10,HIMEJI,23:33,23:34
SUNRISE_IZUMO_U1,11,SANNOMIYA,24:11,24:12
SUNRISE_IZUMO_U1,12,OSAKA,24:33,24:34
SUNRISE_IZUMO_U1,13,HAMAMATSU,28:38,28:39
SUNRISE_IZUMO_U1,14,SHIZUOKA,29:36,29:37
SUNRISE_IZUMO_U1,15,FUJI,30:00,30:01
SUNRISE_IZUMO_U1,16,NUMAZU,30:14,30:15
SUNRISE_IZUMO_U1,17,ATAMI,30:32,30:33
SUNRISE_IZUMO_U1,18,YOKOHAMA,30:51,30:52
SUNRISE_IZUMO_U1,19,TOKYO,31:08,
