train_id,stop_order,station_id,arrival,departure
SUNRISE_SETO_D1,1,TOKYO,,22:00
SUNRISE_SETO_D1,2,YOKOHAMA,22:24,22:25
SUNRISE_SETO_D1,3,ATAMI,23:23,23:24
SUNRISE_SETO_D1,4,NUMAZU,23:39,23:40
SUNRISE_SETO_D1,5,FUJI,23:53,23:54
SUNRISE_SETO_D1,6,SHIZUOKA,24:20,24:21
SUNRISE_SETO_D1,7,HAMAMATSU,25:11,25:12
SUNRISE_SETO_D1,8,HIMEJI,29:25,29:26
SUNRISE_SETO_D1,9,OKAYAMA,30:27,30:31
SUNRISE_SETO_D1,10,KOJIMA,30:51,30:52
SUNRISE_SETO_D1,11,SAKAIDE,31:09,31:10
SUNRISE_SETO_D1,12,TAKAMATSU,31:27,
SUNRISE_SETO_U1,1,TAKAMATSU,,21:26
SUNRISE_SETO_U1,2,SAKAIDE,21:37,21:38
SUNRISE_SETO_U1,3,KOJIMA,21:55,21:56
SUNRISE_SETO_U1,4,OKAYAMA,22:13,22:34
SUNRISE_SETO_U1,5,HIMEJI,23:33,23:34
SUNRISE_SETO_U1,6,SANNOMIYA,24:11,24:12
SUNRISE_SETO_U1,7,OSAKA,24:33,24:34
SUNRISE_SETO_U1,8,HAMAMATSU,28:38,28:39
SUNRISE_SETO_U1,9,SHIZUOKA,29:36,29:37
SUNRISE_SETO_U1,10,FUJI,30:00,30:01
SUNRISE_SETO_U1,11,NUMAZU,30:14,30:15
SUNRISE_SETO_U1,12,ATAMI,30:32,30:33
SUNRISE_SETO_U1,13,YOKOHAMA,31:08,31:09
SUNRISE_SETO_U1,14,TOKYO,31:11,
