train_id,stop_order,station_id,arrival,departure
HAKUTO_1,1,KYOTO,,07:50
HAKUTO_1,2,SHIN_OSAKA,08:20,08:21
HAKUTO_1,3,OSAKA,08:25,08:26
HAKUTO_1,4,SANNOMIYA,08:55,08:56
HAKUTO_1,5,HIMEJI,09:30,09:31
HAKUTO_1,6,KAMIGORI,09:45,09:46
HAKUTO_1,7,CHIZU,10:15,10:16
HAKUTO_1,8,TOTTORI,10:50,10:51
HAKUTO_1,9,KURAYOSHI,11:20,
HAKUTO_3,1,KYOTO,,09:24
HAKUTO_3,2,SHIN_OSAKA,09:54,09:55
HAKUTO_3,3,OSAKA,09:59,10:00
HAKUTO_3,4,SANNOMIYA,10:29,10:30
HAKUTO_3,5,HIMEJI,11:04,11:05
HAKUTO_3,6,KAMIGORI,11:19,11:20
HAKUTO_3,7,CHIZU,11:49,11:50
HAKUTO_3,8,TOTTORI,12:24,12:25
HAKUTO_3,9,KURAYOSHI,12:54,
HAKUTO_5,1,KYOTO,,11:24
HAKUTO_5,2,SHIN_OSAKA,11:54,11:55
HAKUTO_5,3,OSAKA,11:59,12:00
HAKUTO_5,4,SANNOMIYA,12:29,12:30
HAKUTO_5,5,HIMEJI,13:04,13:05
HAKUTO_5,6,KAMIGORI,13:19,13:20
HAKUTO_5,7,CHIZU,13:49,13:50
HAKUTO_5,8,TOTTORI,14:24,14:25
HAKUTO_5,9,KURAYOSHI,14:54,
HAKUTO_7,1,KYOTO,,13:24
HAKUTO_7,2,SHIN_OSAKA,13:54,13:55
HAKUTO_7,3,OSAKA,13:59,14:00
HAKUTO_7,4,SANNOMIYA,14:29,14:30
HAKUTO_7,5,HIMEJI,15:04,15:05
HAKUTO_7,6,KAMIGORI,15:19,15:20
HAKUTO_7,7,CHIZU,15:49,15:50
HAKUTO_7,8,TOTTORI,16:24,16:25
HAKUTO_7,9,KURAYOSHI,16:54,
HAKUTO_9,1,KYOTO,,15:24
HAKUTO_9,2,SHIN_OSAKA,15:54,15:55
HAKUTO_9,3,OSAKA,15:59,16:00
HAKUTO_9,4,SANNOMIYA,16:29,16:30
HAKUTO_9,5,HIMEJI,17:04,17:05
HAKUTO_9,6,KAMIGORI,17:19,17:20
